, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Tocantins - Desemprego,Tocantins - Consumo de Cimento (t),Tocantins - PIB - Estadual,Tocantins - PIB - Construção Civil,Tocantins - PIB - Per Capita,Tocantins - PIB - Preços de Mercado,Tocantins - Produção de Cimento (t),Tocantins - IDH
2006-1,0.4093210137705744,-7965.495545452277,3.8684439286332686,1.0704709367180183,0.5246513831169914,183454449.8472789,7526671.781861113,0.5580933471517024,8.067823318709818,37.092,16711716.70659196,1511198.7846426202,10.47483745939426,27009303.98252078,12.733,0.7123777052086413
2006-2,0.4028183365263698,-7956.205189035386,3.846872965752776,1.272740378704435,0.5117940136540285,183612058.601541,7531879.804076586,0.5540061208774786,8.065776000478033,29.357,16731486.836070012,1513069.877144941,10.48074369012451,27045796.934490938,12.733,0.7126421658784563
2006-3,0.3998570076790366,-8153.367564422752,3.842818789820434,1.087038179944784,0.5216724461884032,183769667.35580307,7537087.826292059,0.558308779155122,8.063728682246248,29.126,16751256.965548066,1514940.9696472613,10.48664992085476,27082289.88646109,12.733,0.7129066265482713
2006-4,0.3979963710958243,-8423.448244351577,3.836249908110392,1.2439483036977474,0.5491307539299164,183927276.1100652,7542295.848507533,0.5671710316312383,8.061681364014463,18.553,16771027.09502612,1516812.0621495815,10.492556151585012,27118782.83843125,12.733,0.7131710872180863
2006-5,0.4056653747218318,-8229.867308086905,3.840605092822108,0.9925459420462728,0.5836820001689738,184084884.86432725,7547503.870723005,0.5968232499556683,8.059634045782678,22.552,16790797.224504173,1518683.1546519022,10.498462382315262,27155275.790401407,12.733,0.7134355478879013
2006-6,0.4149031030845876,-8333.395980655183,3.8357922282673904,1.1619063477174951,0.6123741776559579,184242493.6185893,7552711.892938478,0.6052265435927703,8.057586727550893,18.245,16810567.353982225,1520554.2471542226,10.504368613045513,27191768.742371563,12.733,0.7137000085577163
2006-7,0.4267485653722618,-8363.641502791654,3.834296240076312,1.0107148892098956,0.6206261710016543,184400102.37285143,7557919.915153951,0.6134655051430675,8.055539409319108,27.738,16830337.483460277,1522425.339656543,10.510274843775765,27228261.69434172,12.733,0.7139644692275313
2006-8,0.4258794259587617,-8483.803210688488,3.837301314139748,1.137471455329126,0.6093984595457096,184557711.1271135,7563127.937369425,0.6251193452031805,8.053492091087323,28.597,16850107.61293833,1524296.4321588636,10.516181074506015,27264754.646311875,12.733,0.7142289298973463
2006-9,0.427904503700878,-8564.573776025667,3.830845488644045,1.0587078803302106,0.6087555012956766,184715319.8813756,7568335.959584897,0.6374779078573267,8.051444772855538,26.18,16869877.74241638,1526167.524661184,10.522087305236266,27301247.59828203,12.733,0.7144933905671613
2006-10,0.4308949403404751,-8753.077264130869,3.820865481468113,1.421378557730808,0.6272259685547825,184872928.63563767,7573543.98180037,0.6494765821002537,8.049397454623753,27.381,16889647.871894434,1528038.6171635045,10.527993535966516,27337740.550252188,12.733,0.7147578512369763
2006-11,0.4297781875807803,-8585.918047929645,3.797759546537678,1.4120349588618786,0.6138016533493752,185030537.38989973,7578752.004015843,0.6544472076430272,8.047350136391968,25.572,16909418.00137249,1529909.7096658251,10.533899766696766,27374233.502222344,12.733,0.7150223119067913
2006-12,0.4275878752901689,-8102.613779191029,3.778681269312833,1.1875702591687969,0.5948781830476984,185188146.14416185,7583960.026231317,0.6529124218025248,8.045302818160183,22.114,16929188.130850542,1531780.8021681455,10.539805997427017,27410726.4541925,12.733,0.7152867725766063
2007-1,0.4261722902551189,-8429.349883699913,3.758139256867763,1.0484592446587069,0.5915910920220523,185345754.8984239,7589168.048446789,0.652250285916937,8.043255499928398,27.135,16948958.260328595,1533651.894670466,10.545712228157267,27447219.406162657,12.733,0.7155512332464213
2007-2,0.4272545197346237,-8207.504212454718,3.739732339264414,0.8421045009906388,0.5821912594010402,185495361.54458392,7594051.910447072,0.6486758561842155,8.040740802895163,22.195,16966072.60359127,1535239.3765492267,10.550103773471866,27482028.401375,12.733,0.7157787040882673
2007-3,0.421374616153345,-8302.699392306728,3.706955628134506,1.018140906308683,0.5624597981278792,185644968.19074392,7598935.772447355,0.6396733150346336,8.038226105861927,25.91,16983186.946853947,1536826.8584279874,10.554495318786463,27516837.39658734,12.733,0.7160061749301131
2007-4,0.4226987158945232,-8434.701866226666,3.675935689954143,0.9033883329680754,0.5607781390026951,185794574.836904,7603819.634447637,0.6337527638093442,8.035711408828693,31.577,17000301.290116623,1538414.3403067482,10.558886864101066,27551646.39179968,12.733,0.716233645771959
2007-5,0.4265292995204747,-8141.051175182823,3.63852003418216,0.9401668232327632,0.5641176200703027,185944181.483064,7608703.49644792,0.653237645563625,8.033196711795458,38.954,17017415.633379303,1540001.822185509,10.563278409415664,27586455.387012016,12.733,0.716461116613805
