,Piauí - Depósito Poupança (R$),Piauí - IDH Renda,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Piauí - IDH Longevidade,Piauí - IDH,Piauí- custo m2 (R$),Piauí - Produção de Cimento (t),Piauí - Consumo de Cimento (t),Piauí - IDH Educacao,Piauí - PIB - Estadual,Piauí - PIB - Construção Civil,Piauí - PIB - Per Capita,Piauí - PIB - Preços de Mercado,Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%),Piauí - Desemprego
2016-11,3724714.346919117,0.6496560728162305,1.58239547094384,1001.8281423182272,1216.298324461328,29.166257267859766,19.271978481685355,59.72729503268692,1.4568958957446374,0.752704878292107,0.6897913992941328,22872.730046622688,28.31883388866593,82.17771651718795,0.6727521679105166,26565646.25693651,1433512.9029314085,6.500205510511485,20223548.411684822,3111067.868641125,7802005.247088698,326.9734003768556,10587512.611494165,0.3923024529656499,3.7392056894335934,0.4114160891944031,0.3907469610472366,-2953.9693584836964,2.086506575082691,193.39165227367104,198103710.1228366,407.8917355912226,1.1479049091605034,11.17816512756437
2016-12,3739532.015371698,0.6495268902304293,1.850642222302865,1001.9811577308536,1159.6321207699991,28.39189069532581,20.21874714578617,65.38657506773488,1.345196572455302,0.7526112506744457,0.689825141542683,22979.9566387373,27.48130827547817,74.06450000000001,0.6729687324732667,26576902.592889905,1433519.3282025077,6.501243351315799,20226987.421018165,3102944.3501696377,7800310.290324205,318.270666236674,10898685.552629258,0.377390938464421,3.733037971414247,0.4077513114353103,0.3851019690388544,-2879.5516234189686,2.094478154479812,193.5750336787663,198178277.90311152,408.9675448006736,1.0441767846983232,11.175600727863849
2017-1,3754349.68382428,0.6493977076446281,1.8327213219790413,1002.1175761462354,1139.6777117622512,27.810494552297357,21.01917158490989,70.15233395468611,1.2308756352029058,0.7525176230567845,0.6898588837912333,23081.154733829106,26.634725199258952,72.379,0.6731852970360168,26588158.9288433,1433525.753473607,6.502281192120114,20230426.4303515,3094724.2437621527,7798615.333559711,310.5255902176114,10787624.167112684,0.3569248836113066,3.7604487321695688,0.4075350767989002,0.3803888051781477,-5075.622232112225,2.0938758344390687,193.7584150838615,198252845.68338645,410.4402424193167,0.7621157752691586,11.173036328163327
2017-2,3765639.2447372233,0.6493552660358753,2.2967101623482664,1002.3189961750752,1122.0945536591,27.45347771433971,21.644847524378683,73.56143179135584,1.1173529610815416,0.7523927565647904,0.6898275116987427,23186.503241988423,25.778866022724745,54.656,0.6732473068620473,26586926.04026044,1433667.8218216598,6.501967445767142,20229207.81052139,3090715.1187863583,7796393.517478655,302.20879774745333,10303707.629504388,0.3681934792243305,3.8046973407167632,0.3978047684696698,0.3762996326553245,-4201.060854040392,2.101650850838241,194.246306164024,198326864.97537887,411.37069898708864,0.8016855852337811,11.161722908569605
2017-3,3776928.805650167,0.6493128244271225,1.9825213520294185,1002.6573664539446,1118.763437844825,27.267726326875398,21.760146843402897,74.39405790427226,1.0867847527283103,0.7522678900727964,0.689796139606252,23290.35487397112,24.965908964839947,69.984,0.6733093166880777,26585693.151677582,1433809.8901697127,6.50165369941417,20227989.19069128,3087179.2725097025,7794171.701397599,294.5570417235589,10201749.845553417,0.3837494708257729,3.8770292145772665,0.3875997638487952,0.3800045315218657,-4604.7344280517855,2.113289173700002,194.7341972441864,198400884.26737133,412.2787251985624,0.8150651151170567,11.150409488975878
2017-4,3788218.3665631097,0.6492703828183697,1.9054882118316248,1003.2848048736796,1139.7823923917422,27.16782650158217,21.18942898146489,72.40223133560555,1.134815015040737,0.7521430235808023,0.6897647675137613,23394.428307079863,24.14200562364388,58.643,0.6733713265141081,26584460.263094723,1433951.9585177656,6.501339953061199,20226770.57086117,3085621.878259212,7791949.885316542,289.16499067525854,10038719.54485756,0.4054428465788985,3.876345311058806,0.3886971443037969,0.3821056011581457,-5041.93583143556,2.127631534792117,195.22208832434885,198474903.55936372,413.2020439855629,0.7925222034658698,11.139096069382154
2017-5,3799507.927476053,0.6492279412096168,2.713508713721512,1003.652426770739,1175.770444950448,27.234270748305395,20.535013627465315,69.71026839104668,1.1579955511261208,0.7520181570888083,0.6897333954212707,23497.952129375688,23.47477089097584,72.337,0.6734333363401385,26583227.374511868,1434094.0268658183,6.501026206708227,20225551.951031063,3081133.230153783,7789728.069235486,285.1166009403658,10042384.529008197,0.435891393897483,3.842674905127215,0.3866356488127153,0.3779774472025649,-4656.590400431132,2.144624778414481,195.5819053334755,198548922.8513562,414.11208057407765,0.6561728681094356,11.12778264978843
2017-6,3810797.4883889966,0.649185499600864,2.1984481893145147,1003.8962821912152,1232.1714212967513,27.48623247717197,19.40687555412234,64.91981801281511,1.2611461054642863,0.7518932905968142,0.6897020233287801,23602.77339347947,22.886931572371,70.968,0.6734953461661689,26581994.48592901,1434236.0952138714,6.500712460355255,20224333.331200957,3077159.621682599,7787506.25315443,281.4051665918031,10051859.955499152,0.4573226001100615,3.767804043237205,0.388570077523086,0.3679963198646961,-5068.400972271061,2.162820271284532,195.9417223426022,198622942.14334863,415.0454864574057,1.0279727308864324,11.116469230194705
2017-7,3822087.04930194,0.6491430579921111,2.1435805946409574,1003.679427987784,1289.0928032924614,27.9868133609061,18.59365861110684,60.55734339442467,1.3584703847337884,0.7517684241048201,0.6896706512362893,23708.14526416257,22.325956713889877,75.913,0.6735573559921993,26580761.59734615,1434378.1635619244,6.500398714002284,20223114.711370844,3070152.5703672767,7785284.437073373,278.4186121630757,10019899.67831547,0.4758652393700967,3.720095789672884,0.3783354712469384,0.3728976057660844,-5595.499878102875,2.1827530258841654,196.30153935172885,198696961.4353411,415.9493894573252,0.6597887866917255,11.10515581060098
2017-8,3833376.610214884,0.6491006163833584,2.168704903296258,1002.93676662006,1317.068922494916,28.55672046984177,18.45027730883859,58.24010133831127,1.387073097557322,0.7516435576128261,0.6896392791437986,23810.76031202113,21.765063497103437,74.774,0.6736193658182298,26579528.70876329,1434520.2319099773,6.500084967649311,20221896.09154073,3068648.238409975,7783062.620992317,273.65548150898854,10017351.157342926,0.4715205842663207,3.6835799665820175,0.3781503578714068,0.366903937105431,-5783.316459502323,2.20699398468004,196.77835465072275,198770980.72733355,416.8596921654043,0.5839846844524282,11.093842391007255
