,Bahia - value,Bahia- custo m2 (R$),Bahia - Consumo de Cimento (t),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Bahia - IDH Educacao,Bahia - IDH Longevidade,Bahia - IDH,Bahia - Produção de Cimento (t),Bahia - Depósito Poupança (R$),Bahia - IDH Renda,Bahia - PIB - Estadual,Bahia - PIB - Construção Civil,Bahia - PIB - Per Capita,Bahia - PIB - Preços de Mercado,Bahia - Desemprego,Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%)
2011-5,0.3760671685620511,18543.069370397163,311.649,1.4008908122896042,1008.298399980132,1290.1395984301305,24.501949378179667,20.838497976974303,80.57930631518175,1.0825175409366967,0.6332724896295759,0.7879302901717156,0.6908550835847665,103.50140418588371,16161807.6878354,0.6562122455577326,147930261.27940208,8692960.960438833,8.764569516551576,125125061.53055286,9.908340546457543,1813031.375311252,7796126.30187882,185.6702366794567,5757497.69580094,0.4794375297414004,3.333500000000001,0.631128227052354,0.4647701832003508,-9993.389038138808,2.1045733049199136,173.56700888087894,192412343.33687523,334.3322857327884,0.9645144336524022
2011-6,0.3775235723736418,18619.71627420164,284.493,1.2431326662191142,1009.3242363071304,1325.2014500967423,24.223967078184565,20.30725013430401,79.34572033211133,1.186905949957222,0.6335410248905254,0.7879556421157393,0.690938872379095,104.0229749475978,16292198.196750777,0.6563299325405474,148168549.42766714,8688817.538339308,8.765883751083022,125167500.98094994,10.364211337938713,1839504.3973113808,7798502.437145213,184.6193901334277,5831145.897125605,0.4943626052826666,3.3642000000000003,0.5950919575302004,0.460777089427583,-9975.112230204764,2.095226448555367,174.01053312408214,192518075.857005,336.10791478900336,0.8288299944369717
2011-7,0.3788912060661856,18668.13631492248,315.672,1.235230666779295,1009.4606986064456,1373.9485717188063,24.264252854269664,20.19663270722969,78.61801625501536,1.330734139814423,0.6338095601514748,0.7879809940597631,0.6910226611734234,104.61687179088392,16422588.705666147,0.6564476195233622,148406837.57593215,8684674.116239782,8.76719798561447,125209940.431347,10.82008212941988,1868925.5545245265,7800878.572411605,184.62914301662644,5874517.372275309,0.4999529609128011,3.4055400000000007,0.5975398841785342,0.4586625612219078,-9903.241596764476,2.0859703688695106,174.45405736728534,192623808.3771348,337.9259091390509,0.8811708978486625
2011-8,0.3802438031306185,18717.44494546488,343.997,1.6367610464266538,1009.3016025654606,1380.361972191973,24.37954223638856,20.32069693976637,78.69822847913163,1.5043357547197271,0.6340780954124243,0.7880063460037869,0.6911064499677518,105.469108326359,16552979.214581523,0.6565653065061768,148645125.7241972,8680530.694140255,8.768512220145915,125252379.8817441,11.275952920901046,1897916.3903671813,7803254.707677998,185.99681092531827,5929179.957706182,0.5104707470584671,3.451948,0.5950647433019467,0.4606629482097047,-9768.231853083638,2.087218082990609,175.19370581801144,192729540.8972645,339.7435031281796,0.8353216021324007
2011-9,0.3817637508268751,18765.53844746935,337.718,2.100252712527865,1008.8808715215828,1427.3094389435244,24.72362424224636,20.58915047822976,78.40713364233797,1.6688581723569345,0.6343466306733738,0.7880316979478107,0.6911902387620803,106.47030782089338,16683369.7234969,0.6566829934889916,148883413.87246227,8676387.27204073,8.76982645467736,125294819.33214118,11.731823712382214,1928378.7889783413,7805630.84294439,189.47431376168907,5940280.036134298,0.5256001504469264,3.4954976,0.6015952884327453,0.4606035369977562,-9679.164240091171,2.075344728788324,175.9333542687375,192835273.4173943,341.56729685182097,0.9932758224293476
2011-10,0.3830115825239965,18815.54646561169,316.069,2.100462408584394,1008.0660824021932,1484.9566803949986,25.16008896256036,21.031342398841783,78.53016388481274,1.6958773326485468,0.6346151659343233,0.7880570498918344,0.6912740275564087,107.38120017389168,16813760.232412275,0.6568006804718064,149121702.02072734,8672243.849941205,8.771140689208808,125337258.78253826,12.18769450386338,1959904.0358691043,7808006.978210783,194.88246387438537,6283798.032664096,0.5230163290600557,3.52948912,0.6045280531318781,0.4616014514378777,-9537.77691961498,2.077328519541877,176.6730027194636,192941005.93752408,343.35374325642675,0.8529009397936996
2011-11,0.3843615155211398,18865.208276194397,283.237,2.2550622273001037,1007.837547130046,1550.3398646800615,25.49063685885041,21.202976862440376,77.85401576560959,1.6683237647198237,0.6348837011952728,0.7880824018358582,0.6913578163507371,108.2051448450829,16944150.74132765,0.6569183674546211,149359990.16899237,8668100.42784168,8.772454923740254,125379698.23293534,12.643565295344548,1988806.964969489,7810383.113477174,198.08112301122443,6720960.102087679,0.5203108881755449,3.560997344,0.6075073462033619,0.4639560877440755,-9968.453886702957,2.074663694821419,177.46181197885645,193046738.45765385,345.12786962823395,0.9080862842620008
2011-12,0.3857185401251063,18914.834131793832,300.385,2.0551554696824725,1007.6511331687144,1624.6937635414467,25.85934290066653,21.38473689747676,77.0434369908668,1.6183238439773897,0.6351522364562222,0.788107753779882,0.6914416051450655,109.04686367071268,17074541.250243023,0.6570360544374358,149598278.3172574,8663957.005742155,8.773769158271701,125422137.68333244,13.099436086825715,2011378.0001677184,7812759.248743567,201.00715145602803,6940099.1718623545,0.5250917546367961,3.6000972928,0.5951869340064411,0.4721630104203435,-9986.589161982563,2.076644486808949,178.25062123824932,193152470.9777836,346.9001209543717,0.921343506933786
2012-1,0.3870849372071353,18967.14915554309,322.696,1.6224437134210865,1007.6139384040188,1635.333916841492,26.08355942944237,21.443730681895552,76.3372016525358,1.58097920618021,0.6354207717171717,0.7881331057239057,0.6915253939393939,109.7085562079984,17204931.7591584,0.6571537414202506,149836566.46552247,8659813.58364263,8.775083392803147,125464577.1337295,13.55530687830688,2030664.3930274416,7815135.384009959,203.318663821252,6889093.539510006,0.5361604483491258,3.64021892736,0.6110671295983301,0.4733415062904513,-10404.150759011012,2.0905714352596823,179.03943049764217,193258203.49791336,349.2229964597706,0.6957659642201535
2012-2,0.3886787997802831,19019.41902594396,280.763,1.8643444673125489,1007.86526422302,1545.7063194195096,26.01511895850539,21.49490519852228,76.8874005963119,1.5853889208321983,0.635715360409652,0.7881201411803217,0.6916193202861953,110.13254842408745,17385785.06164916,0.6573592254685631,150048679.11179334,8655122.310304422,8.775983457439985,125499908.3707834,13.62346763684064,2053715.878639032,7816645.273799296,204.8226115318083,6640103.790218472,0.547043585265198,3.676063244032,0.5998092162889704,0.476080947409229,-9928.241624071832,2.1011962123086314,179.8784378778589,193353913.43027985,350.6033579807423,0.709225961971412
