,Mato Grosso - IDH Renda
2012-6,0.7387762930022509
2012-7,0.7385460554737908
2012-8,0.7383158179453306
2012-9,0.7380855804168706
2012-10,0.7378553428884105
2012-11,0.7376251053599504
2012-12,0.7373948678314903
2013-1,0.7371646303030303
2013-2,0.7372004957912458
2013-3,0.7372363612794612
2013-4,0.7372722267676768
2013-5,0.7373080922558922
2013-6,0.7373439577441078
2013-7,0.7373798232323232
2013-8,0.7374156887205388
2013-9,0.7374515542087543
2013-10,0.7374874196969697
2013-11,0.7375232851851853
2013-12,0.7375591506734007
2014-1,0.7375950161616163
2014-2,0.7375922037738497
2014-3,0.7375893913860831
2014-4,0.7375865789983166
2014-5,0.73758376661055
2014-6,0.7375809542227835
2014-7,0.7375781418350169
2014-8,0.7375753294472503
2014-9,0.7375725170594838
2014-10,0.7375697046717172
2014-11,0.7375668922839507
2014-12,0.7375640798961841
2015-1,0.7375612675084176
2015-2,0.7371305627461484
2015-3,0.7366998579838793
2015-4,0.7362691532216101
2015-5,0.7358384484593409
2015-6,0.7354077436970717
2015-7,0.7349770389348026
2015-8,0.7345463341725335
2015-9,0.7341156294102643
2015-10,0.7336849246479951
2015-11,0.7332542198857259
2015-12,0.7328235151234568
2016-1,0.7323928103611876
2016-2,0.7324185134699845
2016-3,0.7324442165787814
2016-4,0.7324699196875782
2016-5,0.7324956227963751
2016-6,0.732521325905172
2016-7,0.7325470290139688
2016-8,0.7325727321227657
2016-9,0.7325984352315627
2016-10,0.7326241383403596
2016-11,0.7326498414491565
2016-12,0.7326755445579533
2017-1,0.7327012476667502
2017-2,0.7327595904521044
2017-3,0.7328179332374585
2017-4,0.7328762760228127
2017-5,0.7329346188081668
2017-6,0.732992961593521
2017-7,0.7330513043788751
2017-8,0.7331096471642293
2017-9,0.7331679899495835
2017-10,0.7332263327349376
2017-11,0.7332846755202919
2017-12,0.733343018305646
2018-1,0.7334013610910002
2018-2,0.733404401705326
2018-3,0.7334074423196517
2018-4,0.7334104829339775
2018-5,0.7334135235483032
2018-6,0.733416564162629
2018-7,0.7334196047769548
2018-8,0.7334226453912804
2018-9,0.7334256860056062
2018-10,0.733428726619932
2018-11,0.7334317672342577
2018-12,0.7334348078485835
2019-1,0.7334378484629093
2019-2,0.7333578321633859
2019-3,0.7332778158638624
2019-4,0.7331977995643391
2019-5,0.7331177832648156
2019-6,0.7330377669652922
2019-7,0.7329577506657687
2019-8,0.7328777343662454
2019-9,0.732797718066722
2019-10,0.7327177017671985
2019-11,0.7326376854676752
2019-12,0.7325576691681517
2020-1,0.7324776528686283
2020-2,0.7324358169055118
2020-3,0.7323939809423954
2020-4,0.7323521449792789
2020-5,0.7323103090161626
2020-6,0.7322684730530461
2020-7,0.7322266370899296
2020-8,0.7321848011268132
2020-9,0.7321429651636967
2020-10,0.7321011292005803
2020-11,0.7320592932374639
2020-12,0.7320174572743474
2021-1,0.731975621311231
2021-2,0.7319527093514675
2021-3,0.7319297973917042
2021-4,0.7319068854319407
2021-5,0.7318839734721774
2021-6,0.7318610615124139
2021-7,0.7318381495526505
2021-8,0.7318152375928871
2021-9,0.7317923256331237
2021-10,0.7317694136733603
2021-11,0.7317465017135969
2021-12,0.7317235897538336
2022-1,0.7317006777940701
2022-2,0.73178931929251
2022-3,0.7318779607909499
2022-4,0.7319666022893898
2022-5,0.7320552437878298
2022-6,0.7321438852862697
2022-7,0.7322325267847096
2022-8,0.7323211682831495
2022-9,0.7324098097815894
2022-10,0.7324984512800294
2022-11,0.7325870927784693
2022-12,0.7326757342769092
2023-1,0.7327643757753491
