,Acre - IDH Renda
2012-3,0.660869496204868
2012-4,0.6609744565843811
2012-5,0.6610794169638944
2012-6,0.6611843773434076
2012-7,0.6612893377229208
2012-8,0.661394298102434
2012-9,0.6614992584819472
2012-10,0.6616042188614605
2012-11,0.6617091792409737
2012-12,0.6618141396204869
2013-1,0.6619191000000001
2013-2,0.661862982638889
2013-3,0.6618068652777779
2013-4,0.6617507479166668
2013-5,0.6616946305555557
2013-6,0.6616385131944446
2013-7,0.6615823958333333
2013-8,0.6615262784722222
2013-9,0.6614701611111111
2013-10,0.66141404375
2013-11,0.6613579263888889
2013-12,0.6613018090277778
2014-1,0.6612456916666667
2014-2,0.6611848978587963
2014-3,0.6611241040509259
2014-4,0.6610633102430556
2014-5,0.6610025164351853
2014-6,0.6609417226273149
2014-7,0.6608809288194445
2014-8,0.6608201350115741
2014-9,0.6607593412037037
2014-10,0.6606985473958333
2014-11,0.6606377535879631
2014-12,0.6605769597800927
2015-1,0.6605161659722223
2015-2,0.6607358866687711
2015-3,0.66095560736532
2015-4,0.6611753280618687
2015-5,0.6613950487584176
2015-6,0.6616147694549664
2015-7,0.6618344901515152
2015-8,0.662054210848064
2015-9,0.6622739315446129
2015-10,0.6624936522411617
2015-11,0.6627133729377106
2015-12,0.6629330936342593
2016-1,0.6631528143308082
2016-2,0.6630706386817992
2016-3,0.6629884630327901
2016-4,0.6629062873837811
2016-5,0.6628241117347721
2016-6,0.662741936085763
2016-7,0.662659760436754
2016-8,0.662577584787745
2016-9,0.662495409138736
2016-10,0.6624132334897269
2016-11,0.6623310578407179
2016-12,0.6622488821917089
2017-1,0.6621667065426998
2017-2,0.6621831209862051
2017-3,0.6621995354297104
2017-4,0.6622159498732157
2017-5,0.6622323643167211
2017-6,0.6622487787602264
2017-7,0.6622651932037316
2017-8,0.6622816076472369
2017-9,0.6622980220907422
2017-10,0.6623144365342475
2017-11,0.6623308509777528
2017-12,0.6623472654212581
2018-1,0.6623636798647634
2018-2,0.6624194653182843
2018-3,0.6624752507718052
2018-4,0.6625310362253263
2018-5,0.6625868216788472
2018-6,0.6626426071323681
2018-7,0.662698392585889
2018-8,0.66275417803941
2018-9,0.6628099634929309
2018-10,0.6628657489464518
2018-11,0.6629215343999728
2018-12,0.6629773198534937
2019-1,0.6630331053070146
2019-2,0.6629348712563102
2019-3,0.6628366372056058
2019-4,0.6627384031549013
2019-5,0.6626401691041969
2019-6,0.6625419350534925
2019-7,0.662443701002788
2019-8,0.6623454669520836
2019-9,0.6622472329013792
2019-10,0.6621489988506748
2019-11,0.6620507647999703
2019-12,0.6619525307492659
2020-1,0.6618542966985614
2020-2,0.6618077383402172
2020-3,0.661761179981873
2020-4,0.6617146216235288
2020-5,0.6616680632651845
2020-6,0.6616215049068402
2020-7,0.661574946548496
2020-8,0.6615283881901518
2020-9,0.6614818298318076
2020-10,0.6614352714734633
2020-11,0.661388713115119
2020-12,0.6613421547567748
2021-1,0.6612955963984306
2021-2,0.6612448054620551
2021-3,0.6611940145256796
2021-4,0.661143223589304
2021-5,0.6610924326529285
2021-6,0.661041641716553
2021-7,0.6609908507801775
2021-8,0.660940059843802
2021-9,0.6608892689074265
2021-10,0.660838477971051
2021-11,0.6607876870346754
2021-12,0.6607368960982999
2022-1,0.6606861051619244
2022-2,0.6607291817161813
2022-3,0.6607722582704384
2022-4,0.6608153348246955
2022-5,0.6608584113789524
2022-6,0.6609014879332094
2022-7,0.6609445644874664
2022-8,0.6609876410417235
2022-9,0.6610307175959804
2022-10,0.6610737941502374
2022-11,0.6611168707044944
2022-12,0.6611599472587515
2023-1,0.6612030238130084
