,Bahia - IDH Renda
2018-6,0.6622807751414407
2018-7,0.6621879340840788
2018-8,0.6620950930267171
2018-9,0.6620022519693554
2018-10,0.6619094109119936
2018-11,0.6618165698546319
2018-12,0.6617237287972701
2019-1,0.6616308877399084
2019-2,0.6616129399197562
2019-3,0.661594992099604
2019-4,0.6615770442794517
2019-5,0.6615590964592996
2019-6,0.6615411486391474
2019-7,0.6615232008189952
2019-8,0.661505252998843
2019-9,0.6614873051786908
2019-10,0.6614693573585386
2019-11,0.6614514095383863
2019-12,0.6614334617182341
2020-1,0.661415513898082
2020-2,0.6613277526397341
2020-3,0.6612399913813862
2020-4,0.6611522301230384
2020-5,0.6610644688646905
2020-6,0.6609767076063426
2020-7,0.6608889463479948
2020-8,0.6608011850896468
2020-9,0.6607134238312989
2020-10,0.6606256625729511
2020-11,0.6605379013146032
2020-12,0.6604501400562554
2021-1,0.6603623787979075
2021-2,0.6602211846978916
2021-3,0.6600799905978758
2021-4,0.6599387964978599
2021-5,0.6597976023978441
2021-6,0.6596564082978282
2021-7,0.6595152141978124
2021-8,0.6593740200977966
2021-9,0.6592328259977807
2021-10,0.6590916318977649
2021-11,0.658950437797749
2021-12,0.6588092436977332
2022-1,0.6586680495977173
2022-2,0.6587488681552758
2022-3,0.6588296867128343
2022-4,0.6589105052703927
2022-5,0.6589913238279511
2022-6,0.6590721423855096
2022-7,0.6591529609430681
2022-8,0.6592337795006266
2022-9,0.659314598058185
2022-10,0.6593954166157434
2022-11,0.6594762351733019
2022-12,0.6595570537308604
2023-1,0.6596378722884189
