,Pernambuco - IDH Renda
2020-6,0.6639411260629091
2020-7,0.6638239080049742
2020-8,0.6637066899470392
2020-9,0.6635894718891042
2020-10,0.6634722538311693
2020-11,0.6633550357732343
2020-12,0.6632378177152993
2021-1,0.6631205996573644
2021-2,0.6630912102608293
2021-3,0.6630618208642941
2021-4,0.663032431467759
2021-5,0.6630030420712238
2021-6,0.6629736526746888
2021-7,0.6629442632781537
2021-8,0.6629148738816185
2021-9,0.6628854844850834
2021-10,0.6628560950885483
2021-11,0.6628267056920132
2021-12,0.662797316295478
2022-1,0.6627679268989429
2022-2,0.6628873808906016
2022-3,0.6630068348822602
2022-4,0.6631262888739189
2022-5,0.6632457428655776
2022-6,0.6633651968572363
2022-7,0.663484650848895
2022-8,0.6636041048405535
2022-9,0.6637235588322122
2022-10,0.6638430128238709
2022-11,0.6639624668155295
2022-12,0.6640819208071882
2023-1,0.6642013747988469
