,Santa Catarina - IDH Renda
2013-7,0.7764131944444445
2013-8,0.776495949074074
2013-9,0.7765787037037037
2013-10,0.7766614583333333
2013-11,0.7767442129629629
2013-12,0.7768269675925926
2014-1,0.7769097222222222
2014-2,0.7769715952932099
2014-3,0.7770334683641975
2014-4,0.7770953414351851
2014-5,0.7771572145061728
2014-6,0.7772190875771605
2014-7,0.7772809606481481
2014-8,0.7773428337191357
2014-9,0.7774047067901234
2014-10,0.7774665798611111
2014-11,0.7775284529320987
2014-12,0.7775903260030863
2015-1,0.777652199074074
2015-2,0.776965111181257
2015-3,0.7762780232884399
2015-4,0.7755909353956228
2015-5,0.7749038475028058
2015-6,0.7742167596099888
2015-7,0.7735296717171718
2015-8,0.7728425838243547
2015-9,0.7721554959315376
2015-10,0.7714684080387206
2015-11,0.7707813201459035
2015-12,0.7700942322530865
2016-1,0.7694071443602695
2016-2,0.7694102287872412
2016-3,0.7694133132142129
2016-4,0.7694163976411846
2016-5,0.7694194820681564
2016-6,0.7694225664951281
2016-7,0.7694256509220998
2016-8,0.7694287353490716
2016-9,0.7694318197760434
2016-10,0.7694349042030151
2016-11,0.7694379886299868
2016-12,0.7694410730569585
2017-1,0.7694441574839302
2017-2,0.7694929768588085
2017-3,0.7695417962336868
2017-4,0.769590615608565
2017-5,0.7696394349834432
2017-6,0.7696882543583216
2017-7,0.7697370737331998
2017-8,0.769785893108078
2017-9,0.7698347124829563
2017-10,0.7698835318578345
2017-11,0.7699323512327128
2017-12,0.7699811706075911
2018-1,0.7700299899824693
2018-2,0.7700150656641547
2018-3,0.77000014134584
2018-4,0.7699852170275254
2018-5,0.7699702927092108
2018-6,0.7699553683908962
2018-7,0.7699404440725817
2018-8,0.769925519754267
2018-9,0.7699105954359524
2018-10,0.7698956711176378
2018-11,0.7698807467993232
2018-12,0.7698658224810085
2019-1,0.7698508981626939
2019-2,0.7698346170881689
2019-3,0.7698183360136438
2019-4,0.7698020549391188
2019-5,0.7697857738645937
2019-6,0.7697694927900687
2019-7,0.7697532117155437
2019-8,0.7697369306410186
2019-9,0.7697206495664936
2019-10,0.7697043684919684
2019-11,0.7696880874174434
2019-12,0.7696718063429183
2020-1,0.7696555252683933
2020-2,0.7696074610658812
2020-3,0.7695593968633689
2020-4,0.7695113326608568
2020-5,0.7694632684583447
2020-6,0.7694152042558324
2020-7,0.7693671400533203
2020-8,0.7693190758508082
2020-9,0.7692710116482959
2020-10,0.7692229474457838
2020-11,0.7691748832432717
2020-12,0.7691268190407594
2021-1,0.7690787548382473
2021-2,0.7691248060112643
2021-3,0.7691708571842814
2021-4,0.7692169083572984
2021-5,0.7692629595303153
2021-6,0.7693090107033324
2021-7,0.7693550618763494
2021-8,0.7694011130493664
2021-9,0.7694471642223835
2021-10,0.7694932153954004
2021-11,0.7695392665684174
2021-12,0.7695853177414345
2022-1,0.7696313689144515
2022-2,0.7697119095880458
2022-3,0.7697924502616401
2022-4,0.7698729909352344
2022-5,0.7699535316088288
2022-6,0.7700340722824232
2022-7,0.7701146129560175
2022-8,0.7701951536296118
2022-9,0.7702756943032061
2022-10,0.7703562349768005
2022-11,0.7704367756503948
2022-12,0.7705173163239891
2023-1,0.7705978569975834
