,Alagoas - IDH Renda
2019-9,0.6310430441533389
2019-10,0.63100049446872
2019-11,0.6309579447841009
2019-12,0.6309153950994819
2020-1,0.6308728454148629
2020-2,0.6308340033346724
2020-3,0.630795161254482
2020-4,0.6307563191742915
2020-5,0.6307174770941012
2020-6,0.6306786350139107
2020-7,0.6306397929337203
2020-8,0.6306009508535299
2020-9,0.6305621087733394
2020-10,0.6305232666931491
2020-11,0.6304844246129586
2020-12,0.6304455825327682
2021-1,0.6304067404525777
2021-2,0.6302961854560063
2021-3,0.630185630459435
2021-4,0.6300750754628636
2021-5,0.6299645204662923
2021-6,0.6298539654697208
2021-7,0.6297434104731494
2021-8,0.6296328554765781
2021-9,0.6295223004800067
2021-10,0.6294117454834354
2021-11,0.629301190486864
2021-12,0.6291906354902926
2022-1,0.6290800804937212
