,Tocantins - IDH Renda
2013-6,0.6757232906670875
2013-7,0.6757348563762625
2013-8,0.6757464220854376
2013-9,0.6757579877946127
2013-10,0.6757695535037878
2013-11,0.6757811192129628
2013-12,0.675792684922138
2014-1,0.675804250631313
2014-2,0.6757751134829193
2014-3,0.6757459763345257
2014-4,0.675716839186132
2014-5,0.6756877020377383
2014-6,0.6756585648893447
2014-7,0.675629427740951
2014-8,0.6756002905925573
2014-9,0.6755711534441637
2014-10,0.67554201629577
2014-11,0.6755128791473763
2014-12,0.6754837419989828
2015-1,0.6754546048505891
2015-2,0.6762191780645788
2015-3,0.6769837512785684
2015-4,0.6777483244925581
2015-5,0.6785128977065477
2015-6,0.6792774709205374
2015-7,0.680042044134527
2015-8,0.6808066173485167
2015-9,0.6815711905625064
2015-10,0.682335763776496
2015-11,0.6831003369904857
2015-12,0.6838649102044753
2016-1,0.684629483418465
2016-2,0.6846039492019382
2016-3,0.6845784149854114
2016-4,0.6845528807688847
2016-5,0.6845273465523578
2016-6,0.6845018123358311
2016-7,0.6844762781193043
2016-8,0.6844507439027775
2016-9,0.6844252096862508
2016-10,0.6843996754697239
2016-11,0.6843741412531972
2016-12,0.6843486070366703
2017-1,0.6843230728201436
2017-2,0.6843633991293872
2017-3,0.6844037254386306
2017-4,0.6844440517478741
2017-5,0.6844843780571177
2017-6,0.6845247043663611
2017-7,0.6845650306756047
2017-8,0.6846053569848483
2017-9,0.6846456832940917
2017-10,0.6846860096033353
2017-11,0.6847263359125788
2017-12,0.6847666622218223
2018-1,0.6848069885310658
2018-2,0.6847903748078163
2018-3,0.6847737610845668
2018-4,0.6847571473613173
2018-5,0.6847405336380677
2018-6,0.6847239199148183
2018-7,0.6847073061915687
2018-8,0.6846906924683193
2018-9,0.6846740787450698
2018-10,0.6846574650218202
2018-11,0.6846408512985708
2018-12,0.6846242375753212
2019-1,0.6846076238520717
2019-2,0.6845061664570117
2019-3,0.6844047090619516
2019-4,0.6843032516668915
2019-5,0.6842017942718315
2019-6,0.6841003368767714
2019-7,0.6839988794817113
2019-8,0.6838974220866513
2019-9,0.6837959646915912
2019-10,0.6836945072965311
2019-11,0.6835930499014711
2019-12,0.683491592506411
2020-1,0.6833901351113509
2020-2,0.6833173331046187
2020-3,0.6832445310978865
2020-4,0.6831717290911543
2020-5,0.6830989270844222
2020-6,0.68302612507769
2020-7,0.6829533230709578
2020-8,0.6828805210642256
2020-9,0.6828077190574934
2020-10,0.6827349170507613
2020-11,0.6826621150440291
2020-12,0.6825893130372969
2021-1,0.6825165110305647
2021-2,0.6824522421747357
2021-3,0.6823879733189065
2021-4,0.6823237044630776
2021-5,0.6822594356072484
2021-6,0.6821951667514194
2021-7,0.6821308978955904
2021-8,0.6820666290397613
2021-9,0.6820023601839323
2021-10,0.6819380913281032
2021-11,0.6818738224722742
2021-12,0.6818095536164451
2022-1,0.6817452847606161
2022-2,0.6817282035845602
2022-3,0.6817111224085043
2022-4,0.6816940412324484
2022-5,0.6816769600563923
2022-6,0.6816598788803364
2022-7,0.6816427977042805
2022-8,0.6816257165282246
2022-9,0.6816086353521686
2022-10,0.6815915541761126
2022-11,0.6815744730000567
2022-12,0.6815573918240008
2023-1,0.6815403106479448
