,Mato Grosso do Sul - IDH Renda
2009-3,0.7598492611130379
2009-4,0.759630760125171
2009-5,0.7594122591373039
2009-6,0.759193758149437
2009-7,0.75897525716157
2009-8,0.7587567561737031
2009-9,0.7585382551858362
2009-10,0.7583197541979692
2009-11,0.7581012532101022
2009-12,0.7578827522222352
2010-1,0.7576642512343683
2010-2,0.7574621002868369
2010-3,0.7572599493393055
2010-4,0.7570577983917741
2010-5,0.7568556474442428
2010-6,0.7566534964967114
2010-7,0.75645134554918
2010-8,0.7562491946016486
2010-9,0.7560470436541172
2010-10,0.755844892706586
2010-11,0.7556427417590545
2010-12,0.7554405908115231
2011-1,0.7552384398639918
2011-2,0.755051213730533
2011-3,0.7548639875970742
2011-4,0.7546767614636155
2011-5,0.7544895353301567
2011-6,0.7543023091966979
2011-7,0.7541150830632393
2011-8,0.7539278569297805
2011-9,0.7537406307963217
2011-10,0.7535534046628629
2011-11,0.7533661785294041
2011-12,0.7531789523959455
2012-1,0.7529917262624867
2012-2,0.7526172077860673
2012-3,0.752242689309648
2012-4,0.7518681708332287
2012-5,0.7514936523568093
2012-6,0.75111913388039
2012-7,0.7507446154039706
2012-8,0.7503700969275513
2012-9,0.749995578451132
2012-10,0.7496210599747126
2012-11,0.7492465414982933
2012-12,0.748872023021874
2013-1,0.7484975045454546
2013-2,0.7486329038825759
2013-3,0.748768303219697
2013-4,0.7489037025568182
2013-5,0.7490391018939394
2013-6,0.7491745012310607
2013-7,0.7493099005681818
2013-8,0.749445299905303
2013-9,0.7495806992424242
2013-10,0.7497160985795455
2013-11,0.7498514979166666
2013-12,0.7499868972537878
2014-1,0.750122296590909
2014-2,0.750227312539457
2014-3,0.750332328488005
2014-4,0.750437344436553
2014-5,0.7505423603851009
2014-6,0.750647376333649
2014-7,0.7507523922821969
2014-8,0.7508574082307449
2014-9,0.7509624241792929
2014-10,0.7510674401278409
2014-11,0.7511724560763888
2014-12,0.7512774720249369
2015-1,0.7513824879734848
2015-2,0.7506385101053145
2015-3,0.7498945322371442
2015-4,0.7491505543689738
2015-5,0.7484065765008034
2015-6,0.7476625986326331
2015-7,0.7469186207644627
2015-8,0.7461746428962924
2015-9,0.745430665028122
2015-10,0.7446866871599517
2015-11,0.7439427092917814
2015-12,0.743198731423611
2016-1,0.7424547535554407
2016-2,0.7425794107793455
2016-3,0.7427040680032504
2016-4,0.7428287252271553
2016-5,0.7429533824510601
2016-6,0.743078039674965
2016-7,0.7432026968988699
2016-8,0.7433273541227746
2016-9,0.7434520113466795
2016-10,0.7435766685705844
2016-11,0.7437013257944892
2016-12,0.7438259830183941
2017-1,0.743950640242299
2017-2,0.7439729935774679
2017-3,0.7439953469126368
2017-4,0.7440177002478058
2017-5,0.7440400535829746
2017-6,0.7440624069181436
2017-7,0.7440847602533125
2017-8,0.7441071135884815
2017-9,0.7441294669236505
2017-10,0.7441518202588193
2017-11,0.7441741735939883
2017-12,0.7441965269291572
2018-1,0.7442188802643261
2018-2,0.7442659929936013
2018-3,0.7443131057228766
2018-4,0.7443602184521517
2018-5,0.7444073311814269
2018-6,0.7444544439107021
2018-7,0.7445015566399773
2018-8,0.7445486693692525
2018-9,0.7445957820985277
2018-10,0.7446428948278029
2018-11,0.744690007557078
2018-12,0.7447371202863533
2019-1,0.7447842330156285
2019-2,0.7447447196293833
2019-3,0.744705206243138
2019-4,0.7446656928568928
2019-5,0.7446261794706476
2019-6,0.7445866660844023
2019-7,0.7445471526981571
2019-8,0.7445076393119119
2019-9,0.7444681259256666
2019-10,0.7444286125394214
2019-11,0.7443890991531762
2019-12,0.7443495857669309
2020-1,0.7443100723806857
2020-2,0.7442518153532667
2020-3,0.7441935583258475
2020-4,0.7441353012984285
2020-5,0.7440770442710094
2020-6,0.7440187872435904
2020-7,0.7439605302161714
2020-8,0.7439022731887522
2020-9,0.7438440161613332
2020-10,0.7437857591339141
2020-11,0.7437275021064951
2020-12,0.743669245079076
2021-1,0.7436109880516569
2021-2,0.7436080409914422
2021-3,0.7436050939312275
2021-4,0.7436021468710128
2021-5,0.743599199810798
2021-6,0.7435962527505834
2021-7,0.7435933056903686
2021-8,0.7435903586301539
2021-9,0.7435874115699392
2021-10,0.7435844645097245
2021-11,0.7435815174495097
2021-12,0.7435785703892951
2022-1,0.7435756233290803
2022-2,0.7436557416876339
2022-3,0.7437358600461876
2022-4,0.7438159784047413
2022-5,0.7438960967632949
2022-6,0.7439762151218485
2022-7,0.7440563334804022
2022-8,0.7441364518389559
2022-9,0.7442165701975095
2022-10,0.7442966885560631
2022-11,0.7443768069146168
2022-12,0.7444569252731705
2023-1,0.7445370436317241
