,Roraima - IDH Renda
2011-3,0.7273449523231303
2011-4,0.7269917206737087
2011-5,0.7266384890242871
2011-6,0.7262852573748654
2011-7,0.7259320257254438
2011-8,0.7255787940760221
2011-9,0.7252255624266004
2011-10,0.7248723307771788
2011-11,0.7245190991277571
2011-12,0.7241658674783356
2012-1,0.7238126358289139
2012-2,0.7232290676916558
2012-3,0.7226454995543978
2012-4,0.7220619314171399
2012-5,0.7214783632798819
2012-6,0.7208947951426239
2012-7,0.720311227005366
2012-8,0.719727658868108
2012-9,0.71914409073085
2012-10,0.7185605225935919
2012-11,0.7179769544563339
2012-12,0.717393386319076
2013-1,0.716809818181818
2013-2,0.7168084974747473
2013-3,0.7168071767676766
2013-4,0.7168058560606059
2013-5,0.7168045353535352
2013-6,0.7168032146464645
2013-7,0.7168018939393938
2013-8,0.716800573232323
2013-9,0.7167992525252523
2013-10,0.7167979318181816
2013-11,0.7167966111111109
2013-12,0.7167952904040402
2014-1,0.7167939696969695
2014-2,0.7167508722643096
2014-3,0.7167077748316497
2014-4,0.7166646773989898
2014-5,0.7166215799663298
2014-6,0.7165784825336698
2014-7,0.7165353851010099
2014-8,0.71649228766835
2014-9,0.7164491902356901
2014-10,0.7164060928030301
2014-11,0.7163629953703703
2014-12,0.7163198979377103
2015-1,0.7162768005050504
2015-2,0.7152149503749616
2015-3,0.7141531002448729
2015-4,0.7130912501147841
2015-5,0.7120293999846953
2015-6,0.7109675498546065
2015-7,0.7099056997245178
2015-8,0.708843849594429
2015-9,0.7077819994643403
2015-10,0.7067201493342514
2015-11,0.7056582992041627
2015-12,0.7045964490740739
2016-1,0.7035345989439852
2016-2,0.703417436814773
2016-3,0.7033002746855607
2016-4,0.7031831125563485
2016-5,0.7030659504271363
2016-6,0.702948788297924
2016-7,0.7028316261687118
2016-8,0.7027144640394996
2016-9,0.7025973019102872
2016-10,0.702480139781075
2016-11,0.7023629776518628
2016-12,0.7022458155226505
2017-1,0.7021286533934383
2017-2,0.7020387189494492
2017-3,0.7019487845054602
2017-4,0.7018588500614711
2017-5,0.7017689156174819
2017-6,0.7016789811734928
2017-7,0.7015890467295037
2017-8,0.7014991122855146
2017-9,0.7014091778415256
2017-10,0.7013192433975364
2017-11,0.7012293089535473
2017-12,0.7011393745095582
2018-1,0.7010494400655691
2018-2,0.7010801176418234
2018-3,0.7011107952180777
2018-4,0.7011414727943321
2018-5,0.7011721503705864
2018-6,0.7012028279468407
2018-7,0.701233505523095
2018-8,0.7012641830993493
2018-9,0.7012948606756036
2018-10,0.701325538251858
2018-11,0.7013562158281124
2018-12,0.7013868934043667
2019-1,0.701417570980621
2019-2,0.7012540677304742
2019-3,0.7010905644803274
2019-4,0.7009270612301806
2019-5,0.7007635579800336
2019-6,0.7006000547298868
2019-7,0.70043655147974
2019-8,0.7002730482295932
2019-9,0.7001095449794464
