,Sergipe - IDH Renda
2014-8,0.6687754118502737
2014-9,0.6686679642466331
2014-10,0.6685605166429924
2014-11,0.6684530690393519
2014-12,0.6683456214357113
2015-1,0.6682381738320707
2015-2,0.6686881890003252
2015-3,0.6691382041685798
2015-4,0.6695882193368343
2015-5,0.6700382345050888
2015-6,0.6704882496733433
2015-7,0.6709382648415978
2015-8,0.6713882800098524
2015-9,0.6718382951781069
2015-10,0.6722883103463614
2015-11,0.672738325514616
2015-12,0.6731883406828705
2016-1,0.673638355851125
2016-2,0.6735901615772698
2016-3,0.6735419673034148
2016-4,0.6734937730295596
2016-5,0.6734455787557045
2016-6,0.6733973844818494
2016-7,0.6733491902079942
2016-8,0.6733009959341392
2016-9,0.673252801660284
2016-10,0.673204607386429
2016-11,0.6731564131125738
2016-12,0.6731082188387187
2017-1,0.6730600245648636
2017-2,0.672984721720658
2017-3,0.6729094188764524
2017-4,0.6728341160322469
2017-5,0.6727588131880412
2017-6,0.6726835103438357
2017-7,0.67260820749963
2017-8,0.6725329046554245
2017-9,0.6724576018112189
2017-10,0.6723822989670133
2017-11,0.6723069961228078
2017-12,0.6722316932786021
2018-1,0.6721563904343966
2018-2,0.6721727267255663
2018-3,0.672189063016736
2018-4,0.6722053993079056
2018-5,0.6722217355990753
2018-6,0.672238071890245
2018-7,0.6722544081814146
2018-8,0.6722707444725843
2018-9,0.672287080763754
2018-10,0.6723034170549237
2018-11,0.6723197533460934
2018-12,0.672336089637263
2019-1,0.6723524259284327
2019-2,0.6723247927915269
2019-3,0.672297159654621
2019-4,0.6722695265177152
2019-5,0.6722418933808094
2019-6,0.6722142602439036
2019-7,0.6721866271069978
2019-8,0.6721589939700919
2019-9,0.6721313608331861
2019-10,0.6721037276962804
2019-11,0.6720760945593744
2019-12,0.6720484614224687
2020-1,0.6720208282855629
2020-2,0.6719452284998474
2020-3,0.671869628714132
2020-4,0.6717940289284166
2020-5,0.6717184291427012
2020-6,0.6716428293569857
2020-7,0.6715672295712702
2020-8,0.6714916297855549
2020-9,0.6714160299998394
2020-10,0.671340430214124
2020-11,0.6712648304284086
2020-12,0.6711892306426932
2021-1,0.6711136308569777
2021-2,0.6709932795755912
2021-3,0.6708729282942046
2021-4,0.6707525770128181
2021-5,0.6706322257314316
2021-6,0.670511874450045
2021-7,0.6703915231686586
2021-8,0.670271171887272
2021-9,0.6701508206058855
2021-10,0.670030469324499
2021-11,0.6699101180431124
2021-12,0.6697897667617259
2022-1,0.6696694154803393
2022-2,0.6697275171127661
2022-3,0.6697856187451929
2022-4,0.6698437203776197
2022-5,0.6699018220100466
2022-6,0.6699599236424734
2022-7,0.6700180252749002
2022-8,0.670076126907327
2022-9,0.6701342285397538
2022-10,0.6701923301721806
2022-11,0.6702504318046074
2022-12,0.6703085334370342
2023-1,0.670366635069461
