,Distrito Federal - IDH Renda
2016-10,0.8359635921609343
2016-11,0.8358853197649126
2016-12,0.8358070473688909
2017-1,0.8357287749728691
2017-2,0.8357267202378151
2017-3,0.835724665502761
2017-4,0.835722610767707
2017-5,0.835720556032653
2017-6,0.8357185012975991
2017-7,0.8357164465625451
2017-8,0.835714391827491
2017-9,0.835712337092437
2017-10,0.835710282357383
2017-11,0.8357082276223289
2017-12,0.8357061728872749
2018-1,0.8357041181522209
2018-2,0.8356564220776165
2018-3,0.8356087260030122
2018-4,0.8355610299284078
2018-5,0.8355133338538033
2018-6,0.835465637779199
2018-7,0.8354179417045946
2018-8,0.8353702456299902
2018-9,0.8353225495553859
2018-10,0.8352748534807815
2018-11,0.835227157406177
2018-12,0.8351794613315727
2019-1,0.8351317652569683
2019-2,0.8351251877210363
2019-3,0.8351186101851041
2019-4,0.8351120326491721
2019-5,0.8351054551132401
2019-6,0.8350988775773079
2019-7,0.8350923000413759
2019-8,0.8350857225054439
2019-9,0.8350791449695117
2019-10,0.8350725674335797
2019-11,0.8350659898976477
2019-12,0.8350594123617155
2020-1,0.8350528348257835
2020-2,0.8350077805441607
2020-3,0.8349627262625379
2020-4,0.8349176719809149
2020-5,0.8348726176992921
2020-6,0.8348275634176693
2020-7,0.8347825091360463
2020-8,0.8347374548544235
2020-9,0.8346924005728007
2020-10,0.8346473462911779
2020-11,0.834602292009555
2020-12,0.8345572377279321
2021-1,0.8345121834463093
2021-2,0.8345690939269631
2021-3,0.834626004407617
2021-4,0.8346829148882708
2021-5,0.8347398253689247
2021-6,0.8347967358495786
2021-7,0.8348536463302324
2021-8,0.8349105568108862
2021-9,0.8349674672915401
2021-10,0.835024377772194
2021-11,0.8350812882528478
2021-12,0.8351381987335017
2022-1,0.8351951092141555
2022-2,0.8353026479203234
2022-3,0.8354101866264912
2022-4,0.8355177253326591
2022-5,0.8356252640388269
2022-6,0.8357328027449947
2022-7,0.8358403414511626
2022-8,0.8359478801573305
2022-9,0.8360554188634983
2022-10,0.8361629575696661
2022-11,0.8362704962758339
2022-12,0.8363780349820018
2023-1,0.8364855736881697
