,Piauí - IDH Renda
2019-10,0.6478678973213453
2019-11,0.6477960384370995
2019-12,0.6477241795528538
2020-1,0.647652320668608
2020-2,0.6475815049160975
2020-3,0.6475106891635869
2020-4,0.6474398734110764
2020-5,0.6473690576585659
2020-6,0.6472982419060553
2020-7,0.6472274261535448
2020-8,0.6471566104010342
2020-9,0.6470857946485237
2020-10,0.6470149788960131
2020-11,0.6469441631435027
2020-12,0.6468733473909921
2021-1,0.6468025316384816
2021-2,0.6467101265751367
2021-3,0.6466177215117919
2021-4,0.646525316448447
2021-5,0.6464329113851022
2021-6,0.6463405063217573
2021-7,0.6462481012584125
2021-8,0.6461556961950677
2021-9,0.6460632911317229
2021-10,0.645970886068378
2021-11,0.6458784810050332
2021-12,0.6457860759416884
2022-1,0.6456936708783435
2022-2,0.6456686229304521
