,Paraná - IDH Renda
2010-12,0.7737231292637984
2011-1,0.7734917516448542
2011-2,0.7732690719333501
2011-3,0.7730463922218461
2011-4,0.7728237125103421
2011-5,0.7726010327988381
2011-6,0.772378353087334
2011-7,0.7721556733758299
2011-8,0.7719329936643259
2011-9,0.7717103139528219
2011-10,0.7714876342413178
2011-11,0.7712649545298138
2011-12,0.7710422748183098
2012-1,0.7708195951068058
2012-2,0.7704183936206326
2012-3,0.7700171921344594
2012-4,0.7696159906482861
2012-5,0.7692147891621129
2012-6,0.7688135876759398
2012-7,0.7684123861897665
2012-8,0.7680111847035933
2012-9,0.7676099832174201
2012-10,0.767208781731247
2012-11,0.7668075802450738
2012-12,0.7664063787589005
2013-1,0.7660051772727273
2013-2,0.7660677132260102
2013-3,0.766130249179293
2013-4,0.7661927851325758
2013-5,0.7662553210858587
2013-6,0.7663178570391415
2013-7,0.7663803929924243
2013-8,0.7664429289457072
2013-9,0.76650546489899
2013-10,0.7665680008522728
2013-11,0.7666305368055557
2013-12,0.7666930727588385
2014-1,0.7667556087121213
2014-2,0.7667955782170666
2014-3,0.7668355477220119
2014-4,0.7668755172269572
2014-5,0.7669154867319025
2014-6,0.7669554562368477
2014-7,0.766995425741793
2014-8,0.7670353952467384
2014-9,0.7670753647516836
2014-10,0.7671153342566288
2014-11,0.7671553037615741
2014-12,0.7671952732665195
2015-1,0.7672352427714647
2015-2,0.7664656091219966
2015-3,0.7656959754725283
2015-4,0.7649263418230602
2015-5,0.764156708173592
2015-6,0.7633870745241238
2015-7,0.7626174408746557
2015-8,0.7618478072251875
2015-9,0.7610781735757193
2015-10,0.7603085399262511
2015-11,0.759538906276783
2015-12,0.7587692726273148
2016-1,0.7579996389778466
2016-2,0.7580299392731333
2016-3,0.7580602395684201
2016-4,0.7580905398637068
2016-5,0.7581208401589935
2016-6,0.7581511404542802
2016-7,0.758181440749567
2016-8,0.7582117410448537
2016-9,0.7582420413401404
2016-10,0.7582723416354271
2016-11,0.7583026419307138
2016-12,0.7583329422260006
2017-1,0.7583632425212873
2017-2,0.7583811458737213
2017-3,0.7583990492261553
2017-4,0.7584169525785893
2017-5,0.7584348559310232
2017-6,0.7584527592834572
2017-7,0.7584706626358912
2017-8,0.7584885659883253
2017-9,0.7585064693407593
2017-10,0.7585243726931932
2017-11,0.7585422760456272
2017-12,0.7585601793980612
2018-1,0.7585780827504952
2018-2,0.758574886407696
2018-3,0.7585716900648967
2018-4,0.7585684937220973
2018-5,0.7585652973792981
2018-6,0.7585621010364989
2018-7,0.7585589046936996
2018-8,0.7585557083509002
2018-9,0.758552512008101
2018-10,0.7585493156653018
2018-11,0.7585461193225025
2018-12,0.7585429229797032
2019-1,0.7585397266369039
2019-2,0.7584832094144562
2019-3,0.7584266921920085
2019-4,0.7583701749695608
2019-5,0.7583136577471131
2019-6,0.7582571405246654
2019-7,0.7582006233022178
2019-8,0.7581441060797701
2019-9,0.7580875888573224
2019-10,0.7580310716348747
2019-11,0.757974554412427
2019-12,0.7579180371899793
2020-1,0.7578615199675316
2020-2,0.757815016330922
2020-3,0.7577685126943123
2020-4,0.7577220090577028
2020-5,0.7576755054210932
2020-6,0.7576290017844836
2020-7,0.7575824981478739
2020-8,0.7575359945112643
2020-9,0.7574894908746547
2020-10,0.757442987238045
2020-11,0.7573964836014355
2020-12,0.7573499799648259
2021-1,0.7573034763282163
2021-2,0.7573512299367633
2021-3,0.7573989835453104
2021-4,0.7574467371538576
2021-5,0.7574944907624046
2021-6,0.7575422443709516
2021-7,0.7575899979794988
2021-8,0.7576377515880459
2021-9,0.757685505196593
2021-10,0.75773325880514
2021-11,0.7577810124136871
2021-12,0.7578287660222343
2022-1,0.7578765196307813
2022-2,0.7579816447794994
2022-3,0.7580867699282174
2022-4,0.7581918950769354
2022-5,0.7582970202256535
2022-6,0.7584021453743716
2022-7,0.7585072705230895
2022-8,0.7586123956718076
2022-9,0.7587175208205257
2022-10,0.7588226459692438
2022-11,0.7589277711179618
2022-12,0.7590328962666798
2023-1,0.7591380214153979
