,São Paulo - IDH Renda
2019-9,0.7851108356157837
2019-10,0.7850687701558965
2019-11,0.7850267046960092
2019-12,0.7849846392361219
2020-1,0.7849425737762347
2020-2,0.7848966841836303
2020-3,0.7848507945910261
2020-4,0.7848049049984218
2020-5,0.7847590154058175
2020-6,0.7847131258132133
2020-7,0.784667236220609
2020-8,0.7846213466280046
2020-9,0.7845754570354004
2020-10,0.7845295674427961
2020-11,0.7844836778501918
2020-12,0.7844377882575876
2021-1,0.7843918986649833
2021-2,0.7844175948669907
2021-3,0.7844432910689981
2021-4,0.7844689872710056
2021-5,0.7844946834730131
2021-6,0.7845203796750205
2021-7,0.784546075877028
2021-8,0.7845717720790354
2021-9,0.7845974682810428
2021-10,0.7846231644830504
2021-11,0.7846488606850578
2021-12,0.7846745568870652
2022-1,0.7847002530890727
