,Rio de Janeiro - IDH Renda
2017-5,0.768907523634985
2017-6,0.7689656671911247
2017-7,0.7690238107472642
2017-8,0.7690819543034038
2017-9,0.7691400978595434
2017-10,0.769198241415683
2017-11,0.7692563849718226
2017-12,0.7693145285279621
2018-1,0.7693726720841018
2018-2,0.7694664044483752
2018-3,0.7695601368126488
2018-4,0.7696538691769222
2018-5,0.7697476015411957
2018-6,0.7698413339054693
2018-7,0.7699350662697427
2018-8,0.7700287986340162
2018-9,0.7701225309982898
2018-10,0.7702162633625632
2018-11,0.7703099957268367
2018-12,0.7704037280911102
2019-1,0.7704974604553837
2019-2,0.7704709260648942
2019-3,0.7704443916744047
2019-4,0.7704178572839151
2019-5,0.7703913228934256
2019-6,0.7703647885029361
2019-7,0.7703382541124466
2019-8,0.7703117197219571
2019-9,0.7702851853314676
2019-10,0.7702586509409781
2019-11,0.7702321165504885
2019-12,0.770205582159999
2020-1,0.7701790477695095
2020-2,0.770081919343521
2020-3,0.7699847909175324
2020-4,0.7698876624915438
2020-5,0.7697905340655553
2020-6,0.7696934056395667
2020-7,0.7695962772135782
2020-8,0.7694991487875896
2020-9,0.769402020361601
2020-10,0.7693048919356125
2020-11,0.7692077635096239
2020-12,0.7691106350836353
2021-1,0.7690135066576468
2021-2,0.769006033223235
2021-3,0.7689985597888233
2021-4,0.7689910863544115
2021-5,0.7689836129199997
2021-6,0.768976139485588
2021-7,0.7689686660511762
2021-8,0.7689611926167644
2021-9,0.7689537191823527
2021-10,0.7689462457479409
2021-11,0.7689387723135291
2021-12,0.7689312988791174
2022-1,0.7689238254447056
2022-2,0.7689990059404989
2022-3,0.7690741864362921
2022-4,0.7691493669320852
2022-5,0.7692245474278785
2022-6,0.7692997279236717
2022-7,0.769374908419465
2022-8,0.7694500889152582
2022-9,0.7695252694110515
2022-10,0.7696004499068447
2022-11,0.7696756304026379
2022-12,0.7697508108984311
2023-1,0.7698259913942244
