,Rio Grande do Norte - IDH Renda
2010-5,0.6606309605329374
2010-6,0.6609359153468063
2010-7,0.6612408701606751
2010-8,0.6615458249745441
2010-9,0.661850779788413
2010-10,0.6621557346022819
2010-11,0.6624606894161509
2010-12,0.6627656442300197
2011-1,0.6630705990438887
2011-2,0.6633728874038614
2011-3,0.663675175763834
2011-4,0.6639774641238066
2011-5,0.6642797524837794
2011-6,0.664582040843752
2011-7,0.6648843292037248
2011-8,0.6651866175636973
2011-9,0.66548890592367
2011-10,0.6657911942836428
2011-11,0.6660934826436153
2011-12,0.666395771003588
2012-1,0.6666980593635607
2012-2,0.6671559338357893
2012-3,0.6676138083080179
2012-4,0.6680716827802463
2012-5,0.6685295572524749
2012-6,0.6689874317247034
2012-7,0.6694453061969319
2012-8,0.6699031806691604
2012-9,0.670361055141389
2012-10,0.6708189296136176
2012-11,0.6712768040858461
2012-12,0.6717346785580746
2013-1,0.6721925530303031
2013-2,0.6722911124263469
2013-3,0.6723896718223906
2013-4,0.6724882312184344
2013-5,0.6725867906144781
2013-6,0.6726853500105219
2013-7,0.6727839094065657
2013-8,0.6728824688026095
2013-9,0.6729810281986532
2013-10,0.673079587594697
2013-11,0.6731781469907407
2013-12,0.6732767063867845
2014-1,0.6733752657828282
2014-2,0.6733987051285424
2014-3,0.6734221444742564
2014-4,0.6734455838199706
2014-5,0.6734690231656846
2014-6,0.6734924625113987
2014-7,0.6735159018571129
2014-8,0.6735393412028269
2014-9,0.673562780548541
2014-10,0.673586219894255
2014-11,0.6736096592399692
2014-12,0.6736330985856832
2015-1,0.6736565379313973
2015-2,0.6745126170185122
2015-3,0.675368696105627
2015-4,0.6762247751927419
2015-5,0.6770808542798568
2015-6,0.6779369333669716
2015-7,0.6787930124540864
2015-8,0.6796490915412012
2015-9,0.6805051706283161
2015-10,0.6813612497154309
2015-11,0.6822173288025458
2015-12,0.6830734078896606
2016-1,0.6839294869767755
2016-2,0.6839062255144783
2016-3,0.6838829640521812
2016-4,0.683859702589884
2016-5,0.6838364411275868
2016-6,0.6838131796652896
2016-7,0.6837899182029925
2016-8,0.6837666567406954
2016-9,0.6837433952783982
2016-10,0.683720133816101
2016-11,0.6836968723538038
2016-12,0.6836736108915067
2017-1,0.6836503494292095
2017-2,0.6836249732885218
2017-3,0.6835995971478339
2017-4,0.6835742210071462
2017-5,0.6835488448664583
2017-6,0.6835234687257705
2017-7,0.6834980925850827
2017-8,0.6834727164443949
2017-9,0.6834473403037071
2017-10,0.6834219641630193
2017-11,0.6833965880223315
2017-12,0.6833712118816436
2018-1,0.6833458357409559
2018-2,0.6834317890420237
2018-3,0.6835177423430916
2018-4,0.6836036956441593
2018-5,0.6836896489452272
2018-6,0.6837756022462951
2018-7,0.6838615555473629
2018-8,0.6839475088484308
2018-9,0.6840334621494987
2018-10,0.6841194154505665
2018-11,0.6842053687516343
2018-12,0.6842913220527022
2019-1,0.68437727535377
2019-2,0.684364981985238
2019-3,0.684352688616706
2019-4,0.6843403952481739
2019-5,0.6843281018796419
2019-6,0.6843158085111098
2019-7,0.6843035151425778
2019-8,0.6842912217740457
2019-9,0.6842789284055136
2019-10,0.6842666350369816
2019-11,0.6842543416684496
2019-12,0.6842420482999175
2020-1,0.6842297549313855
2020-2,0.6841633136808657
2020-3,0.6840968724303459
2020-4,0.6840304311798261
2020-5,0.6839639899293063
2020-6,0.6838975486787865
2020-7,0.6838311074282666
2020-8,0.6837646661777468
2020-9,0.683698224927227
2020-10,0.6836317836767072
2020-11,0.6835653424261874
2020-12,0.6834989011756676
2021-1,0.6834324599251478
2021-2,0.6833448270457928
2021-3,0.6832571941664379
2021-4,0.683169561287083
2021-5,0.683081928407728
2021-6,0.6829942955283731
2021-7,0.6829066626490181
2021-8,0.6828190297696631
2021-9,0.6827313968903083
2021-10,0.6826437640109533
2021-11,0.6825561311315983
2021-12,0.6824684982522434
2022-1,0.6823808653728884
2022-2,0.6823079931408649
2022-3,0.6822351209088413
2022-4,0.6821622486768177
2022-5,0.6820893764447942
2022-6,0.6820165042127706
2022-7,0.681943631980747
2022-8,0.6818707597487234
2022-9,0.6817978875166998
2022-10,0.6817250152846762
2022-11,0.6816521430526526
2022-12,0.6815792708206291
2023-1,0.6815063985886055
