,Pará - IDH Renda
2019-10,0.6523407036890345
2019-11,0.6522367370485311
2019-12,0.6521327704080279
2020-1,0.6520288037675246
2020-2,0.6520365977354604
2020-3,0.6520443917033962
2020-4,0.6520521856713319
2020-5,0.6520599796392678
2020-6,0.6520677736072036
2020-7,0.6520755675751393
2020-8,0.6520833615430751
2020-9,0.6520911555110109
2020-10,0.6520989494789468
2020-11,0.6521067434468826
2020-12,0.6521145374148183
2021-1,0.6521223313827541
2021-2,0.6520323490447447
2021-3,0.6519423667067352
2021-4,0.6518523843687258
2021-5,0.6517624020307163
2021-6,0.651672419692707
2021-7,0.6515824373546975
2021-8,0.6514924550166881
2021-9,0.6514024726786787
2021-10,0.6513124903406692
2021-11,0.6512225080026598
2021-12,0.6511325256646503
2022-1,0.6510425433266409
2022-2,0.6510883201700246
2022-3,0.6511340970134082
2022-4,0.6511798738567919
2022-5,0.6512256507001755
2022-6,0.6512714275435592
2022-7,0.6513172043869428
2022-8,0.6513629812303264
2022-9,0.6514087580737101
2022-10,0.6514545349170937
2022-11,0.6515003117604774
2022-12,0.651546088603861
2023-1,0.6515918654472447
