,Amazonas - IDH Renda
2019-9,0.657524991327987
2019-10,0.6575430269803297
2019-11,0.6575610626326726
2019-12,0.6575790982850154
2020-1,0.6575971339373581
2020-2,0.657594081921732
2020-3,0.657591029906106
2020-4,0.6575879778904798
2020-5,0.6575849258748538
2020-6,0.6575818738592277
2020-7,0.6575788218436016
2020-8,0.6575757698279756
2020-9,0.6575727178123495
2020-10,0.6575696657967235
2020-11,0.6575666137810974
2020-12,0.6575635617654714
2021-1,0.6575605097498453
2021-2,0.657564756035829
2021-3,0.6575690023218126
2021-4,0.6575732486077963
2021-5,0.6575774948937799
2021-6,0.6575817411797636
2021-7,0.6575859874657473
2021-8,0.657590233751731
2021-9,0.6575944800377147
2021-10,0.6575987263236983
2021-11,0.657602972609682
2021-12,0.6576072188956656
2022-1,0.6576114651816494
