,Amapá - IDH Renda
2017-4,0.6678549250189962
2017-5,0.6677501466858037
2017-6,0.667645368352611
2017-7,0.6675405900194185
2017-8,0.6674358116862258
2017-9,0.6673310333530331
2017-10,0.6672262550198406
2017-11,0.6671214766866479
2017-12,0.6670166983534553
2018-1,0.6669119200202627
2018-2,0.6667900406264768
2018-3,0.6666681612326909
2018-4,0.666546281838905
2018-5,0.6664244024451191
2018-6,0.6663025230513333
2018-7,0.6661806436575474
2018-8,0.6660587642637614
2018-9,0.6659368848699756
2018-10,0.6658150054761898
2018-11,0.6656931260824038
2018-12,0.6655712466886179
2019-1,0.6654493672948321
2019-2,0.6654451958349444
2019-3,0.6654410243750568
2019-4,0.6654368529151692
2019-5,0.6654326814552816
2019-6,0.6654285099953939
2019-7,0.6654243385355063
2019-8,0.6654201670756186
2019-9,0.665415995615731
2019-10,0.6654118241558433
2019-11,0.6654076526959557
2019-12,0.6654034812360681
2020-1,0.6653993097761804
2020-2,0.6654023348502425
2020-3,0.6654053599243044
2020-4,0.6654083849983664
2020-5,0.6654114100724283
2020-6,0.6654144351464903
2020-7,0.6654174602205523
2020-8,0.6654204852946143
2020-9,0.6654235103686763
2020-10,0.6654265354427382
2020-11,0.6654295605168002
2020-12,0.6654325855908622
2021-1,0.6654356106649242
2021-2,0.6654540622608706
2021-3,0.6654725138568169
2021-4,0.6654909654527634
2021-5,0.6655094170487098
2021-6,0.6655278686446562
2021-7,0.6655463202406026
2021-8,0.6655647718365489
2021-9,0.6655832234324953
2021-10,0.6656016750284417
2021-11,0.6656201266243882
2021-12,0.6656385782203346
2022-1,0.6656570298162809
2022-2,0.665790795193677
2022-3,0.6659245605710731
2022-4,0.6660583259484691
2022-5,0.6661920913258652
2022-6,0.6663258567032613
2022-7,0.6664596220806573
2022-8,0.6665933874580534
2022-9,0.6667271528354495
2022-10,0.6668609182128455
2022-11,0.6669946835902416
2022-12,0.6671284489676377
2023-1,0.6672622143450337
