,Roraima - IDH,Roraima - IDH Longevidade,Roraima - Consumo de Cimento (t),Roraima- custo m2 (R$),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Roraima - IDH Educacao,Roraima - Depósito Poupança (R$),Roraima - PIB - Estadual,Roraima - PIB - Construção Civil,Roraima - PIB - Per Capita,Roraima - PIB - Preços de Mercado,Roraima - IDH Renda,Roraima - Desemprego,Roraima - value,Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%)
2006-10,0.7362680737503953,0.7499381402070932,3.35,15516.575048648245,0.2190498964068796,998.0473776225537,2098.325613363608,29.011637794118545,18.114933276616785,49.87360027566366,3.4869873048639835,0.7314882617516609,261911.680501614,6467344.749989938,340826.16863256955,12.20944348988956,5453903.483039251,0.7472254443763887,8.054030879589348,0.2580088848739841,702426.9953394711,7573543.98180037,222.68985059654605,3137629.6446888424,0.6272259685547825,3.126495376005314,0.6494765821002537,0.4308949403404751,-8753.077264130869,3.820865481468113,150.62091571199022,184872928.63563767,243.1082823431769,1.3883378064077412
2006-11,0.7362861897233042,0.7501577430361336,2.334,15598.05188670105,0.1721238972515444,997.9665828902886,2108.5590226370678,29.10727940996872,17.988370632700935,48.97291159900705,3.537560854836258,0.7316555618946898,266447.7335813403,6473702.21101784,340573.5068125453,12.210480707012762,5455460.11298353,0.7468196819764994,8.052000305247645,0.2600516906891791,715811.6582559105,7578752.004015843,219.95090827883052,3371346.513797879,0.6138016533493752,3.1112815731886654,0.6544472076430272,0.4297781875807803,-8585.918047929645,3.797759546537678,151.30727369782838,185030537.38989973,244.58619112418265,1.392456147938836
2006-12,0.7363043056962131,0.7503773458651741,3.251,15680.231960267753,0.1267207602345061,997.8881046453153,2118.377304483781,29.200897719313065,17.864775264155693,48.09307057909059,3.586827722065539,0.7318228620377187,270983.78666106664,6480059.672045741,340320.84499252104,12.211517924135965,5457016.74292781,0.7464139195766101,8.049969730905945,0.2621895455005125,727560.5307190763,7583960.026231317,217.7367940152106,3478580.7521593445,0.5948781830476984,3.0963175435420256,0.6529124218025248,0.4275878752901689,-8102.613779191029,3.778681269312833,151.99363168366656,185188146.14416185,246.01294427055387,1.1927122116957445
2007-1,0.736322421669122,0.7505969486942146,2.53,15757.688251322208,0.0829544757285218,997.8121282453088,2127.751885647468,29.29231022097057,17.744403055133567,47.23590756847271,3.63467950424973,0.7319901621807476,275519.839740793,6486417.133073642,340068.1831724968,12.212555141259168,5458573.37287209,0.7460081571767208,8.047939156564242,0.264426809686758,738539.8377949974,7589168.048446789,214.8697613113524,3465619.8819014444,0.5915910920220523,3.081628815810877,0.652250285916937,0.4261722902551189,-8429.349883699913,3.758139256867763,152.67998966950472,185345754.8984239,247.44436787345552,1.0523384765809212
2007-2,0.736333410813758,0.7507833622504292,2.885,15837.063629532711,0.0409390341063495,997.7388390479445,2136.654192871847,29.381334413760268,17.62750988978707,46.40325291971182,3.681007799086738,0.732125546734365,291883.6929576265,6492201.750346102,340299.92727514537,12.214460420797236,5459861.700443506,0.7456172195207369,8.04520168885824,0.2669719783511917,751771.8737028147,7594051.910447072,210.2471208130518,3321575.2056041574,0.5821912594010402,3.0672409187407026,0.6486758561842155,0.4272545197346237,-8207.504212454718,3.739732339264414,153.32631902904507,185495361.54458392,249.54686218214692,0.8648345966337321
2007-3,0.7363443999583942,0.7509697758066437,3.519,15916.718887965337,0.0007884257407493,997.6684224108976,2145.055652900637,29.467787796501163,17.514351652268708,45.596936985366334,3.725704204274463,0.7322609312879824,308247.54617446,6497986.367618561,340531.67137779394,12.216365700335306,5461150.0280149225,0.745226281864753,8.04246422115224,0.2698335078827927,765537.1422995625,7598935.772447355,206.0752754548079,3315160.34317312,0.5624597981278792,3.0531793810769865,0.6396733150346336,0.421374616153345,-8302.699392306728,3.706955628134506,153.97264838858544,185644968.19074392,251.65055665221337,1.0136782679054217
2007-4,0.7363553891030302,0.7511561893628583,2.635,15997.847223444673,0.0,997.6010636918436,2152.927692477557,29.551487868012277,17.405184226731002,44.81879011799469,3.768660317510811,0.7323963158415998,324611.3993912935,6503770.984891021,340763.41548044246,12.218270979873374,5462438.355586338,0.7448353442087692,8.039726753446239,0.2724076417913859,779563.6032004755,7603819.634447637,202.60709188519417,3271622.245505456,0.5607781390026951,3.0394697315652115,0.6337527638093442,0.4226987158945232,-8434.701866226666,3.675935689954143,154.6189777481258,185794574.836904,253.7161436166845,0.9058292634380308
2007-5,0.7363663782476664,0.7513426029190728,2.555,16081.319252378837,0.0,997.5369482484574,2160.241738346325,29.63225212711261,17.30026349732645,44.07064267015531,3.8097677364936873,0.7325317003952171,340975.252608127,6509555.602163481,340995.15958309104,12.220176259411442,5463726.683157754,0.7444444065527853,8.036989285740237,0.275094482622054,793632.7491000076,7608703.49644792,199.70760205242289,3308180.387129716,0.5641176200703027,3.026137498950861,0.653237645563625,0.4265292995204747,-8141.051175182823,3.63852003418216,154.96803306283462,185944181.483064,255.3073002060301,0.9385189527188756
2007-6,0.7363773673923024,0.7515290164752875,3.21,16164.026544968425,0.0,997.4762614384146,2166.96921725066,29.709898072621183,17.19984534820757,43.3543249944066,3.8489180589209946,0.7326670849488345,357339.1058249605,6515340.2194359405,341226.9036857396,12.22208153894951,5465015.01072917,0.7440534688968015,8.034251818034235,0.2778939853078836,810591.0704600966,7613587.358448203,196.56657159174367,3356492.918711034,0.557268421320419,3.0132082119794177,0.6449100186574492,0.427912233110958,-8026.170619784551,3.601931188268772,155.31708837754346,186093788.129224,256.8884825968233,0.8300336615044933
2007-7,0.7363883565369385,0.7517154300315021,3.001,16248.210705149588,0.0,997.4191886193904,2173.0815559342823,29.78424320335701,17.104185663526877,42.671667443306994,3.886002882490639,0.7328024695024519,373702.959041794,6521124.8367084,341458.6477883882,12.223986818487578,5466303.338300586,0.7436625312408176,8.031514350328234,0.2808101985193369,828801.1639120209,7618471.220448485,195.4713076894235,3377509.25255415,0.5417029185846474,3.000707399396365,0.63275579381832,0.4270491588284315,-7955.022260278307,3.560009340555952,155.6661436922523,186243394.77538395,258.4449215140347,1.091015693647252
2007-8,0.7363993456815746,0.7519018435877166,3.026,16333.01713764176,0.0,997.36591514906,2178.5501811409085,29.855105018139117,17.01354032743687,42.02450036941492,3.920913804900525,0.7329378540560693,390066.8122586275,6526909.453980859,341690.3918910368,12.225892098025648,5467591.665872002,0.7432715935848337,8.028776882622234,0.2838260181296809,848753.4468744235,7623355.082448767,197.1352047608322,3406326.0515670376,0.5383365294217008,2.9886605899471874,0.6268005040535086,0.4251241376010696,-7983.790257906689,3.5118118337828608,155.9131643598258,186393001.421544,260.02128743696466,0.9546102545549062
2007-9,0.7364103348262107,0.7520882571439312,2.157,16420.760939035288,0.0,997.3166263850987,2183.346519614259,29.92230101578649,16.92816522409007,41.41465412528878,3.953542423848553,0.7330732386096867,406430.665475461,6532694.071253319,341922.13599368534,12.227797377563716,5468879.993443418,0.7428806559288499,8.026039414916232,0.2869613867544752,870183.122157289,7628238.94444905,200.3440969182776,3402053.412048238,0.5168062325264737,2.977093312377366,0.6258989699329778,0.4202971223147698,-7895.376088335307,3.469607481841116,156.1601850273993,186542608.067704,261.62706060654693,0.864747358475212
2007-10,0.7364213239708468,0.7522746707001458,3.655,16516.50832344713,0.0,997.271507685182,2187.441998098052,29.985648695118165,16.848316237638983,40.84395906348701,3.983780337032632,0.7332086231633039,422794.5186922945,6538478.688525779,342153.8800963339,12.229702657101784,5470168.321014835,0.742489718272866,8.02330194721023,0.2897825939129768,894141.7138063426,7633122.806449333,203.09658677706912,3603293.506709055,0.492773472916794,2.9660310954323856,0.617964982686669,0.422186667969427,-7988.122113095049,3.4226070580234054,156.40720569497282,186692214.713864,263.21698626253544,1.014249422320608
2007-11,0.7364323131154829,0.7524610842563604,2.908,16612.468636882564,0.0,997.2307444069846,2190.808043336006,30.044965554953144,16.774249252236118,40.31424553656803,4.011519142150664,0.7333440077169213,439158.371909128,6544263.305798238,342385.62419898243,12.231607936639854,5471456.648586251,0.7420987806168822,8.02056447950423,0.291850469222026,916094.9671927262,7638006.668449616,207.2025845452835,3871253.3801534586,0.4788592048124005,2.955499467857729,0.6145670424343683,0.4244249038787387,-8017.515428278837,3.3732677481944013,156.62927034318636,186841821.360024,264.78802556753885,0.9820548143806294
2007-12,0.736443302260119,0.7526474978125749,3.85,16710.226047683645,0.0,997.1945219081824,2193.4160820718403,30.10006909411045,16.70622015203399,39.82734389709024,4.036650436900552,0.7334793922705387,455522.2251259615,6550047.923070698,342617.368301631,12.233513216177922,5472744.976157666,0.7417078429608983,8.017827011798229,0.2939573204396987,935002.9361998136,7642890.530449898,213.4071359189383,4005644.122666503,0.4548379030142503,2.945523958398879,0.6103282941034248,0.4244999572063965,-7877.11519891132,3.3132900029546954,156.85133499139988,186991428.006184,266.31848259790274,0.8767487704205519
2008-1,0.736454291404755,0.7528339113687895,5.564,16807.573888664025,0.0,997.1630255464504,2195.2375410492737,30.150776811409084,16.644484821185106,39.3850844976121,4.059065818980203,0.7336147768241561,471886.078342795,6555832.540343158,342849.1124042796,12.23541849571599,5474033.303729082,0.7413169053049145,8.015089544092227,0.296103412329058,954710.380678508,7647774.392450181,221.65031253411155,3972676.139799992,0.4442798633210167,2.93613009580132,0.6123131329450783,0.4249975168895801,-8333.785630800456,3.2555579562369243,157.07339963961343,187141034.652344,268.4476130189723,1.011775380520748
2008-2,0.736458349283495,0.7529878613947056,4.858,16905.884019128654,0.0,997.1364406794638,2196.2438470120246,30.196906205668068,16.58929914384198,38.98929769069199,4.078656886087519,0.7337178120219159,467128.8555496033,6560484.5518921325,343056.3101445557,12.234838815704402,5474722.663233675,0.7409386330959301,8.017692148310797,0.298288963810476,977120.2633756644,7652174.341637064,232.3578277110445,3831646.827575299,0.4446804445496704,2.927343408810533,0.6130114959204532,0.4302154047083354,-7957.479510093275,3.199376609861489,157.22858077228662,187282618.10601315,270.5463010069343,0.95509159572242
2008-3,0.7364624071622348,0.7531418114206218,4.369,17005.46167902884,0.0,997.114952664898,2196.4064267038125,30.23827477570641,16.54091900415712,38.64181382888837,4.095315235920406,0.7338208472196757,462371.6327564115,6565136.563441107,343263.5078848318,12.234259135692817,5475412.022738269,0.7405603608869458,8.020294752529368,0.30051414673284,1002832.9288108344,7656574.290823947,242.89215150548253,3809138.2345990585,0.4484128206903977,2.919189426172004,0.6213585443907181,0.4313867734467428,-7892.607761543437,3.141468520965748,157.38376190495984,187424201.5596823,272.6387317265813,0.8861972393237405
2008-4,0.7364664650409747,0.7532957614465379,5.565,17095.43672812323,0.0,997.0987468604284,2195.6967068683552,30.274700020343136,16.49960028628304,38.344463264759625,4.108932466176768,0.7339238824174354,457614.4099632198,6569788.5749900825,343470.70562510786,12.233679455681228,5476101.382242861,0.7401820886779614,8.022897356747938,0.3027790828959709,1027504.4384372998,7660974.24001083,252.40034143486488,3805747.865320872,0.4473258895577853,2.9116936766312143,0.6263187436812404,0.4338669727481246,-8007.976541076512,3.0675634134381013,157.53894303763303,187565785.01335144,274.1767312352824,1.0102274736240415
2008-5,0.7364705229197146,0.753449711472454,4.825,17183.684078283644,0.0,997.08800862373,2194.0861142493727,30.305999438397244,16.46559887437225,38.09907635086421,4.119400174554508,0.7340269176151951,452857.187170028,6574440.586539057,343677.903365384,12.233099775669638,5476790.741747455,0.7398038164689771,8.025499960966508,0.3050838426869919,1051085.473449627,7665374.189197713,258.0351262596198,3847010.3706679856,0.4544319127338644,2.9048816889336475,0.646709513314914,0.4321500462512327,-7622.164669581103,2.983508587016217,157.71854443257627,187707368.4670206,275.67454765459144,0.9183439034290336
2008-6,0.7364745807984544,0.7536036614983701,3.693,17271.625877138307,0.0,997.082923312478,2191.546075590583,30.33199052868776,16.43917065257726,37.90748343976053,4.126609958751531,0.7341299528129549,448099.96437683626,6579092.598088032,343885.1011056601,12.232520095658051,5477480.101252047,0.7394255442599927,8.02810256518508,0.3070033640119355,1073849.582377385,7669774.1383845955,263.36760075171605,3906865.856563772,0.4203655844188621,2.898778991824788,0.6287480084855108,0.416568100772241,-7526.222983080984,2.8968331481222203,157.8981458275195,187848951.92068976,277.17517909434486,0.831892211523938
2008-7,0.7364786386771943,0.7537576115242863,3.922,17358.389559429816,0.0,997.0836762843484,2188.048017635705,30.352490790033684,16.420571505050575,37.771514884007,4.130453416465742,0.7342329880107147,443342.7415836445,6583744.609637007,344092.2988459362,12.231940415646465,5478169.460756641,0.7390472720510084,8.03070516940365,0.308936487869653,1099889.4111654025,7674174.087571479,271.2240031589069,3952591.039190352,0.3823654090466765,2.893411114050117,0.599023956748628,0.4017041211332135,-7372.476799457021,2.8193033709764,158.07774722246273,187990535.3743589,278.67170510278925,0.9469908098354584
2008-8,0.7364826965559342,0.7539115615502024,4.293,17443.686002537386,0.0,997.0904528970156,2183.5633671284577,30.36731772125404,16.410057315944716,37.69300103616205,4.130822145395045,0.7343360232084745,438585.5187904528,6588396.621185982,344299.4965862123,12.231360735634874,5478858.8202612335,0.738668999842024,8.03330777362222,0.3108862036928181,1129391.1987085575,7678574.036758362,277.14389415029365,3979631.106186825,0.377094781251677,2.888803584355119,0.5717904557609863,0.3911930100262941,-7330.909560613458,2.746140251198851,158.2647084581022,188132118.82802805,280.18081957333715,0.9812442861378704
2008-9,0.736486754434674,0.7540655115761186,3.131,17532.880725341147,0.0,997.1034385081553,2178.06355081256,30.37628882116784,16.407883969412186,37.6737722487841,4.127607743237343,0.7344390584062342,433828.295997261,6593048.632734956,344506.6943264884,12.230781055623288,5479548.179765826,0.7382907276330397,8.035910377840791,0.3128514049318083,1159763.921974792,7682973.985945245,283.8182952324954,4008598.191619436,0.4025579714905743,2.884981931485277,0.5509061927111456,0.393954511741958,-7785.307445305803,2.665912474404139,158.45166969374168,188273702.2816972,281.69120671574126,1.0935181371164024
2008-10,0.736490812313414,0.7542194616020347,4.837,17615.03218434172,0.0,997.1228184754426,2171.51999543173,30.379221588594092,16.4143073496055,37.715658874431575,4.120701807690542,0.7345420936039939,429071.0732040692,6597700.644283931,344713.8920667645,12.2302013756117,5480237.53927042,0.7379124554240554,8.03851298205936,0.3144186412784793,1186398.82413667,7687373.935132128,295.33935864725913,4263818.5410232525,0.412023328025164,2.881971684186075,0.5338333005653052,0.4032616547632046,-7703.954458964581,2.598260780235978,158.63863092938115,188415285.7353664,283.16492203528696,0.94244302845466
2008-11,0.7364948701921539,0.7543734116279508,6.646,17696.45069731506,0.0,997.148778156553,2163.9041277296874,30.375933522351826,16.42958334067717,37.820491265662895,4.1099959364525445,0.7346451288017537,424313.8504108775,6602352.655832905,344921.0898070406,12.22962169560011,5480926.898775012,0.737534183215071,8.04111558627793,0.3155698607969384,1206234.5492222924,7691773.884319011,310.0969471649507,4581129.885282537,0.4176314374021105,2.879798371202994,0.5233099682890817,0.4104528122004031,-7476.287871104045,2.5386157863332808,159.1005672607899,188556869.1890356,284.6606851529394,1.062701899829496
2008-12,0.7364989280708937,0.7545273616538669,8.306,17768.058632225544,0.0,997.1815029091616,2155.187374450151,30.36624212126003,16.4539678267797,37.99009977503648,4.095381727221256,0.7347481639995135,419556.6276176857,6607004.667381881,345128.2875473167,12.229042015588524,5481616.258279606,0.7371559110060867,8.043718190496502,0.3167028846766886,1219337.8746717924,7696173.833505894,321.9672537513736,4747766.385371158,0.4199544942195133,2.87848752128152,0.524103085853287,0.4155686208661097,-7673.72643892393,2.504755709594416,159.56250359219862,188698452.64270467,286.259724822218,1.101310555483456
2009-1,0.7365029859496336,0.754681311679783,3.789,17838.73958471448,0.0,997.221178090944,2145.3411623368384,30.349964884137734,16.487716692065604,38.22631475511075,4.076750777694581,0.7348511991972733,414799.404824494,6611656.678930855,345335.4852875928,12.228462335576936,5482305.617784198,0.7367776387971023,8.046320794715072,0.317815401802733,1228788.884778817,7700573.782692777,331.8520846216965,4684355.071416738,0.4453642148556728,2.8780646631671347,0.5263722830788128,0.4265478197554145,-8468.75016667358,2.46038988184506,160.02443992360736,188840036.09637383,288.2775366408382,0.7501827891642874
2009-2,0.7365003081248539,0.7548035239179282,4.322,17909.590224171465,0.0,997.2679890595748,2134.3369181334697,30.326919309803948,16.531085820687398,38.53096655844412,4.053994685570423,0.7349214512727293,413674.4637557861,6626327.936072345,345637.735174468,12.227402856775551,5486654.093466044,0.7364098727382116,8.04322978112268,0.3189049649071407,1237163.7518901215,7704524.6839363,341.05203172474296,4496965.662895579,0.4617677479747263,2.8785553256053213,0.5227829360821162,0.4330860958676656,-8362.130172448553,2.419211323171128,160.62060444548413,188999683.0050093,290.3153452415065,0.8379855344167224
2009-3,0.7364976303000742,0.7549257361560733,6.586,17978.116889368175,0.0,997.32212117273,2122.1460685837637,30.296922897077685,16.584331096797584,38.90588553759503,4.027005048546686,0.7349917033481854,412549.5226870784,6640999.193213834,345939.9850613433,12.22634337797417,5491002.5691478895,0.7360421066793207,8.040138767530287,0.3197607401429764,1247147.527333788,7708475.585179822,349.5767808247252,4433471.851642464,0.4744121661088831,2.879985037341564,0.5234789989371754,0.4381030668091561,-8556.283355305572,2.384914975903917,161.2167689673609,189159329.91364485,291.7641550908637,0.7389127280648995
2009-4,0.7364949524752944,0.7550479483942183,3.765,18045.488277151904,0.0,997.3837597880846,2108.740040431438,30.25979314477796,16.64770840454868,39.35290204512187,3.995673464321276,0.7350619554236415,411424.5816183705,6655670.450355324,346242.23494821857,12.225283899172789,5495351.044829736,0.7356743406204299,8.037047753937895,0.320371499985021,1257743.255844782,7712426.486423344,353.6033789337442,4387994.548467608,0.4999622144350261,2.8823793271213445,0.5478423802413089,0.45007711682254,-8805.162211693303,2.3630365952461503,161.8129334892377,189318976.8222804,293.19184808410324,0.72952096312357
2009-5,0.7364922746505147,0.7551701606323634,3.991,18111.227074166334,0.0,997.4530902633136,2094.090260420213,30.215347551723788,16.721473628093193,39.87384643358311,3.9598915305920954,0.7351322074990975,410299.6405496626,6670341.7074968135,346544.4848350938,12.224224420371405,5499699.520511582,0.7353065745615391,8.033956740345504,0.3213503542338706,1273653.156635714,7716377.387666867,352.9888345157645,4399982.319256014,0.4981088282193594,2.885763723690147,0.6069054336378797,0.450431778065969,-8667.302626906909,2.3525692667827225,162.41246682916747,189478623.73091587,294.61818674794546,0.7956723216115966
2009-6,0.736489596825735,0.7552923728705085,3.566,18175.412539917103,0.0381497929132614,997.5302979560928,2078.1681552938057,30.16340361673418,16.80588265158363,40.470549055537134,3.919550845057048,0.7352024595745535,409174.6994809549,6685012.964638303,346846.734721969,12.22316494157002,5504047.996193427,0.7349388085026483,8.030865726753111,0.3222943516137037,1292234.6824960993,7720328.288910389,345.32839376954,4416281.033776725,0.4904351794060748,2.8901637557934547,0.5851435517618442,0.4443889715056729,-8866.763268778828,2.338774353162325,163.01200016909723,189638270.6395514,296.03809070625255,0.7718384341547616
2009-7,0.7364869190009553,0.7554145851086537,7.338,18239.851029609938,0.0964946070716326,997.615568224097,2060.9451517959365,30.103778838628145,16.90119135917251,41.14484026354235,3.874543005414041,0.7352727116500096,408049.758412247,6699684.2217797935,347148.9846088443,12.222105462768637,5508396.471875273,0.7345710424437575,8.027774713160719,0.3232004815383122,1313170.5678263628,7724279.190153912,326.935099739555,4393687.545662547,0.4945814397751699,2.895604952176751,0.5788217871313215,0.4406435988198508,-9104.309037125651,2.304832376935664,163.611533509027,189797917.5481869,297.4339550370137,0.932626674231297
2009-8,0.7364842411761756,0.7555367973467988,6.946,18302.80226072137,0.1600099752965724,997.7090864250016,2042.3926766703232,30.036290716224705,17.007655635012338,41.89855041015723,3.8247596093609753,0.7353429637254657,406924.8173435392,6714355.478921283,347451.23449571955,12.221045983967256,5512744.947557119,0.7342032763848667,8.024683699568326,0.324065589355026,1332816.0500644925,7728230.091397434,306.15148915915097,4370580.310383854,0.519129981023956,2.9021128415855184,0.5750680318928113,0.4435740975951859,-9151.584889714371,2.2790124389025963,164.279526340619,189957564.45682243,298.8406575808099,0.9077579231188913
