,Roraima - PIB - Estadual,Roraima - PIB - Construção Civil,Roraima - PIB - Per Capita,Roraima - PIB - Preços de Mercado
2008-3,6565136.563441107,343263.5078848318,12.234259135692815,5475412.022738269
2008-4,6569788.5749900825,343470.70562510786,12.233679455681227,5476101.382242861
2008-5,6574440.586539057,343677.903365384,12.233099775669638,5476790.741747455
2008-6,6579092.598088032,343885.1011056601,12.232520095658051,5477480.101252047
2008-7,6583744.609637007,344092.2988459362,12.231940415646463,5478169.460756641
2008-8,6588396.621185982,344299.4965862123,12.231360735634874,5478858.8202612335
2008-9,6593048.632734956,344506.6943264884,12.230781055623288,5479548.179765826
2008-10,6597700.644283931,344713.8920667645,12.2302013756117,5480237.53927042
2008-11,6602352.655832905,344921.0898070406,12.22962169560011,5480926.898775012
2008-12,6607004.667381881,345128.2875473167,12.229042015588524,5481616.258279606
2009-1,6611656.678930855,345335.4852875928,12.228462335576936,5482305.617784198
2009-2,6626327.936072345,345637.735174468,12.227402856775551,5486654.093466044
2009-3,6640999.193213834,345939.9850613433,12.22634337797417,5491002.5691478895
2009-4,6655670.450355324,346242.23494821857,12.225283899172787,5495351.0448297355
2009-5,6670341.7074968135,346544.4848350938,12.224224420371403,5499699.520511582
2009-6,6685012.964638303,346846.734721969,12.223164941570019,5504047.996193427
2009-7,6699684.2217797935,347148.9846088443,12.222105462768637,5508396.471875273
2009-8,6714355.478921283,347451.23449571955,12.221045983967255,5512744.947557119
2009-9,6729026.736062773,347753.48438259476,12.21998650516587,5517093.423238964
2009-10,6743697.993204262,348055.73426947,12.218927026364486,5521441.89892081
2009-11,6758369.250345752,348357.98415634525,12.217867547563104,5525790.374602656
2009-12,6773040.507487241,348660.2340432205,12.216808068761722,5530138.850284501
2010-1,6787711.764628731,348962.48393009574,12.215748589960338,5534487.325966347
2010-2,6801066.291524462,348851.5246036832,12.21500146527482,5537826.171481446
2010-3,6814420.818420195,348740.5652772706,12.214254340589303,5541165.016996547
2010-4,6827775.345315928,348629.6059508581,12.213507215903785,5544503.862511646
2010-5,6841129.872211659,348518.64662444557,12.21276009121827,5547842.708026745
2010-6,6854484.399107391,348407.687298033,12.212012966532752,5551181.553541846
2010-7,6867838.926003124,348296.72797162045,12.211265841847235,5554520.399056945
2010-8,6881193.452898856,348185.7686452079,12.210518717161717,5557859.244572044
2010-9,6894547.979794588,348074.80931879533,12.2097715924762,5561198.090087145
2010-10,6907902.50669032,347963.8499923828,12.209024467790684,5564536.935602244
2010-11,6921257.033586052,347852.8906659703,12.208277343105166,5567875.781117343
2010-12,6934611.560481785,347741.9313395577,12.207530218419649,5571214.626632444
2011-1,6947966.087377517,347630.97201314516,12.206783093734131,5574553.472147543
2011-2,6960313.663807742,347612.66036815767,12.20509610302549,5577466.510966401
2011-3,6972661.240237967,347594.34872317023,12.20340911231685,5580379.549785258
2011-4,6985008.816668192,347576.0370781828,12.201722121608208,5583292.588604117
2011-5,6997356.393098418,347557.7254331953,12.200035130899568,5586205.627422974
2011-6,7009703.969528643,347539.4137882078,12.198348140190927,5589118.666241832
2011-7,7022051.545958868,347521.10214322037,12.196661149482285,5592031.70506069
2011-8,7034399.122389093,347502.79049823293,12.194974158773645,5594944.743879547
2011-9,7046746.698819319,347484.47885324544,12.193287168065003,5597857.782698405
2011-10,7059094.2752495445,347466.16720825795,12.191600177356364,5600770.821517263
2011-11,7071441.851679769,347447.8555632705,12.189913186647722,5603683.860336121
2011-12,7083789.428109994,347429.5439182831,12.188226195939082,5606596.899154979
2012-1,7096137.00454022,347411.2322732956,12.18653920523044,5609509.937973836
2012-2,7108112.961837524,347592.30463834,12.18618115481974,5612733.436348241
2012-3,7120088.919134826,347773.3770033845,12.185823104409042,5615956.934722645
2012-4,7132064.87643213,347954.44936842896,12.185465053998342,5619180.433097049
2012-5,7144040.833729434,348135.5217334734,12.185107003587644,5622403.931471453
2012-6,7156016.791026737,348316.59409851785,12.184748953176944,5625627.429845857
2012-7,7167992.74832404,348497.6664635623,12.184390902766246,5628850.928220261
2012-8,7179968.705621344,348678.7388286068,12.184032852355546,5632074.426594665
2012-9,7191944.662918647,348859.8111936512,12.183674801944846,5635297.92496907
2012-10,7203920.6202159505,349040.88355869567,12.183316751534148,5638521.423343474
2012-11,7215896.577513254,349221.95592374017,12.182958701123448,5641744.921717878
2012-12,7227872.534810557,349403.0282887846,12.18260065071275,5644968.420092282
2013-1,7239848.492107861,349584.10065382905,12.18224260030205,5648191.918466686
2013-2,7248971.092393148,349142.9036516056,12.179964956348694,5649839.365605278
