Ano,Inadimplência da carteira de crédito  - total - (%)
2020-1,3.042536396599222
2020-2,3.111848472366085
2020-3,3.1768769737930613
2020-4,3.1457450892318293
2020-5,3.0465244126049784
2020-6,2.9004539003673617
2020-7,2.7593956625944682
2020-8,2.619969912592366
2020-9,2.4798731150373667
2020-10,2.3619686055259463
2020-11,2.268368344112663
2020-12,2.228067389927722
2021-1,2.205287146808077
2021-2,2.20267090734716
2021-3,2.2175916108310476
2021-4,2.2460525036356414
2021-5,2.276728822893338
2021-6,2.2845562653057963
2021-7,2.2942570176398265
2021-8,2.2917626565891243
2021-9,2.29120393484579
2021-10,2.294593318286983
2021-11,2.3291594506265545
2021-12,2.376750553782707
2022-1,2.4511820008818526
2022-2,2.517586510932912
2022-3,2.589753702362953
2022-4,2.631468042659173
2022-5,2.678244349004425
2022-6,2.7159424783327197
