data,Pernambuco - PIB - Per Capita,Pernambuco - PIB - Preços de Mercado,Pernambuco - PIB - Estadual,Pernambuco - PIB - Construção Civil,Pernambuco - População,Pernambuco - INCC (%),Pernambuco - IPCA - Variação mensal durante o Plano Real (%),Pernambuco - IGP-DI,Pernambuco - Taxa Selic (%),Pernambuco - IDH - Longevidade,Pernambuco - IDH - Renda,Pernambuco - IDH - Educação,Pernambuco - NFSP - Fluxo Mensal (Milhões de reais),Pernambuco - Estoque liquido de capital fixo - (R$),Pernambuco - Desemprego,Pernambuco - Produção de Cimento (t),Pernambuco - Valor,Pernambuco - Consumo de Cimento (t)
2005-04-01,4999144.340094,3235022.00917655,0.6005763805166667,5298716.78526618,8323911.0,0.67,1.79,0.99,0.068961,0.705,0.615,0.372,1.37,6344077.42160595,12.4756508899,125068.0,0.309,83152.0
2005-05-01,4999144.340094,3235022.00917655,0.6005763805166667,5298716.78526618,8323911.0,0.72,2.68,0.51,0.07010755,0.705,0.615,0.372,1.37,6344077.42160595,12.4756508899,48595.0,0.304,81128.0
2005-06-01,4999144.340094,3235022.00917655,0.6005763805166667,5298716.78526618,8323911.0,2.09,3.18,-0.25,0.07106719048,0.705,0.615,0.372,1.18,6344077.42160595,12.4756508899,43740.0,0.3,64348.0
2005-07-01,4999144.340094,3235022.00917655,0.6005763805166667,5298716.78526618,8323911.0,0.76,3.16,-0.45,0.071533,0.705,0.615,0.372,0.95,6344077.42160595,12.4756508899,841151.0,0.32,81509.0
2005-08-01,4999144.340094,3235022.00917655,0.6005763805166667,5298716.78526618,8323911.0,0.11,3.42,-0.4,0.07145590476,0.705,0.615,0.372,0.76,6344077.42160595,12.4756508899,157121.0,0.3,65400.0
2005-09-01,4999144.340094,3235022.00917655,0.6005763805166667,5298716.78526618,8323911.0,0.02,3.59,-0.79,0.07154213043,0.705,0.615,0.372,0.55,6344077.42160595,12.4756508899,28394.0,0.28,73556.0
2005-10-01,4999144.340094,3235022.00917655,0.6005763805166667,5298716.78526618,8323911.0,0.24,3.95,-0.13,0.07107052381,0.705,0.615,0.372,0.29,6344077.42160595,12.4756508899,27836.0,0.289,82506.0
2005-11-01,4999144.340094,3235022.00917655,0.6005763805166667,5298716.78526618,8323911.0,0.19,4.73,0.63,0.0698922,0.705,0.615,0.372,0.25,6344077.42160595,12.4756508899,-1.0,0.27,79647.0
2005-12-01,4999144.340094,3235022.00917655,0.6005763805166667,5298716.78526618,8323911.0,0.28,5.31,0.33,0.0686031,0.705,0.615,0.372,0.24,6344077.42160595,12.4756508899,19094.0,0.27,101349.0
2006-01-01,5138495.660832916,3572301.32276475,0.6107373699749999,4600092.32534922,8413593.0,0.37,5.69,0.07,0.06651395455,0.705,0.615,0.372,0.25,6344077.42160595,12.68598052,-1.0,0.27,106786.0
2006-02-01,5138495.660832916,3572301.32276475,0.6107373699749999,4600092.32534922,8413593.0,0.34,0.59,0.72,0.06452986364,0.705,0.615,0.372,0.27,6428173.06422105,12.68598052,37543.0,0.27,94145.0
2006-03-01,5138495.660832916,3572301.32276475,0.6107373699749999,4600092.32534922,8413593.0,0.19,1.0,-0.06,0.06327316667,0.705,0.615,0.372,0.37,6428173.06422105,12.68598052,60502.0,0.27,116660.0
2006-04-01,5138495.660832916,3572301.32276475,0.6107373699749999,4600092.32534922,8413593.0,0.2,1.44,-0.45,0.06142243478,0.705,0.615,0.372,0.29,6428173.06422105,12.68598052,149130.0,0.27,83930.0
2006-05-01,5138495.660832916,3572301.32276475,0.6107373699749999,4600092.32534922,8413593.0,0.36,1.65,0.02,0.05957944444,0.705,0.615,0.372,0.12,6428173.06422105,12.68598052,60416.0,0.27,100055.0
2006-06-01,5138495.660832916,3572301.32276475,0.6107373699749999,4600092.32534922,8413593.0,1.32,1.75,0.38,0.05789063636,0.705,0.615,0.372,0.13,6428173.06422105,12.68598052,39775.0,0.27,85454.0
2006-07-01,5138495.660832916,3572301.32276475,0.6107373699749999,4600092.32534922,8413593.0,0.9,1.54,0.67,0.05608404762,0.705,0.615,0.372,0.21,6428173.06422105,12.68598052,883614.0,0.27,88345.0
2006-08-01,5138495.660832916,3572301.32276475,0.6107373699749999,4600092.32534922,8413593.0,0.47,1.73,0.17,0.05540461905,0.705,0.615,0.372,0.33,6428173.06422105,12.68598052,150172.0,0.27,103376.0
2006-09-01,5138495.660832916,3572301.32276475,0.6107373699749999,4600092.32534922,8413593.0,0.24,1.78,0.41,0.05429469565,0.705,0.615,0.372,0.44,6428173.06422105,12.68598052,33001.0,0.267,104198.0
2006-10-01,5138495.660832916,3572301.32276475,0.6107373699749999,4600092.32534922,8413593.0,0.11,2.0,0.24,0.0526018,0.705,0.615,0.372,0.6,6428173.06422105,12.68598052,25167.0,0.267,101954.0
2006-11-01,5138495.660832916,3572301.32276475,0.6107373699749999,4600092.32534922,8413593.0,0.21,2.33,0.81,0.05183728571,0.705,0.615,0.372,0.57,6428173.06422105,12.68598052,-1.0,0.272,104742.0
2006-12-01,5138495.660832916,3572301.32276475,0.6107373699749999,4600092.32534922,8413593.0,0.23,2.65,0.57,0.0507845,0.705,0.615,0.372,0.59,6428173.06422105,12.68598052,20379.0,0.28,103693.0
2007-01-01,5301777.199128667,3935502.485352183,0.6235475417499999,3756664.42022434,8502603.0,0.36,3.14,0.26,0.049164,0.705,0.615,0.372,0.69,6428173.06422105,11.2950465899,-1.0,0.272,116887.0
2007-02-01,5301777.199128667,3935502.485352183,0.6235475417499999,3756664.42022434,8502603.0,0.45,0.44,0.43,0.04896572727,0.705,0.615,0.372,0.68,6529451.68540568,11.2950465899,44970.0,0.264,92475.0
2007-03-01,5301777.199128667,3935502.485352183,0.6235475417499999,3756664.42022434,8502603.0,0.21,0.88,0.23,0.04827277778,0.705,0.615,0.372,0.6,6529451.68540568,11.2950465899,62348.0,0.27,105918.0
2007-04-01,5301777.199128667,3935502.485352183,0.6235475417499999,3756664.42022434,8502603.0,0.27,1.26,0.22,0.04758977273,0.705,0.615,0.372,0.57,6529451.68540568,11.2950465899,148469.0,0.27,92821.0
2007-05-01,5301777.199128667,3935502.485352183,0.6235475417499999,3756664.42022434,8502603.0,0.46,1.51,0.14,0.04703045,0.705,0.615,0.372,0.54,6529451.68540568,11.2950465899,60170.0,0.27,103828.0
2007-06-01,5301777.199128667,3935502.485352183,0.6235475417499999,3756664.42022434,8502603.0,1.15,1.79,0.16,0.046503,0.705,0.615,0.372,0.48,6529451.68540568,11.2950465899,57789.0,0.27,93844.0
2007-07-01,5301777.199128667,3935502.485352183,0.6235475417499999,3756664.42022434,8502603.0,0.92,2.08,0.26,0.0450878,0.705,0.615,0.372,0.39,6529451.68540568,11.2950465899,1028819.0,0.27,107275.0
2007-08-01,5301777.199128667,3935502.485352183,0.6235475417499999,3756664.42022434,8502603.0,0.31,2.32,0.37,0.04400663636,0.705,0.615,0.372,0.3,6529451.68540568,11.2950465899,180724.0,0.27,114591.0
2007-09-01,5301777.199128667,3935502.485352183,0.6235475417499999,3756664.42022434,8502603.0,0.26,2.8,1.39,0.04295447826,0.705,0.615,0.372,0.28,6529451.68540568,11.2950465899,25988.0,0.27,108729.0
2007-10-01,5301777.199128667,3935502.485352183,0.6235475417499999,3756664.42022434,8502603.0,0.51,2.99,1.17,0.04220568421,0.705,0.615,0.372,0.4,6529451.68540568,11.2950465899,23260.0,0.26,129513.0
2007-11-01,5301777.199128667,3935502.485352183,0.6235475417499999,3756664.42022434,8502603.0,0.51,3.3,0.75,0.04206336364,0.705,0.615,0.372,0.5,6529451.68540568,11.2950465899,-1.0,0.26,129760.0
2007-12-01,5301777.199128667,3935502.485352183,0.6235475417499999,3756664.42022434,8502603.0,0.36,3.69,1.05,0.042065,0.705,0.615,0.372,0.52,6529451.68540568,11.2950465899,39576.0,0.29,124946.0
2008-01-01,5594056.85946995,4419839.871380149,0.639845384025,4156683.30619068,8486638.0,0.59,4.46,1.47,0.042065,0.705,0.615,0.372,0.47,6529451.68540568,12.9813614718,-1.0,0.29,138629.0
2008-02-01,5594056.85946995,4419839.871380149,0.639845384025,4156683.30619068,8486638.0,0.38,0.54,0.99,0.04205845455,0.705,0.615,0.372,0.63,6647965.94362564,12.9813614718,44453.0,0.29,125365.0
2008-03-01,5594056.85946995,4419839.871380149,0.639845384025,4156683.30619068,8486638.0,0.4,1.03,0.38,0.04206310526,0.705,0.615,0.372,0.65,6647965.94362564,12.9813614718,71941.0,0.26,131963.0
2008-04-01,5594056.85946995,4419839.871380149,0.639845384025,4156683.30619068,8486638.0,0.66,1.52,0.7,0.0420614,0.705,0.615,0.372,0.7,6647965.94362564,12.9813614718,165285.0,0.26,141156.0
2008-05-01,5594056.85946995,4419839.871380149,0.639845384025,4156683.30619068,8486638.0,0.87,2.08,1.12,0.04274185714,0.705,0.615,0.372,0.83,6647965.94362564,12.9813614718,62390.0,0.27,135009.0
2008-06-01,5594056.85946995,4419839.871380149,0.639845384025,4156683.30619068,8486638.0,2.02,2.88,1.88,0.0436576,0.705,0.615,0.372,0.93,6647965.94362564,12.9813614718,78824.0,0.27,112269.0
2008-07-01,5594056.85946995,4419839.871380149,0.639845384025,4156683.30619068,8486638.0,1.92,3.64,1.89,0.04529861905,0.705,0.615,0.372,1.14,6647965.94362564,12.9813614718,1188804.0,0.27,140272.0
2008-08-01,5594056.85946995,4419839.871380149,0.639845384025,4156683.30619068,8486638.0,1.46,4.19,1.12,0.04627117391,0.705,0.615,0.372,1.33,6647965.94362564,12.9813614718,219104.0,0.27,139433.0
2008-09-01,5594056.85946995,4419839.871380149,0.639845384025,4156683.30619068,8486638.0,1.18,4.48,-0.38,0.04822657143,0.705,0.615,0.372,1.42,6647965.94362564,12.9813614718,44474.0,0.3,161268.0
2008-10-01,5594056.85946995,4419839.871380149,0.639845384025,4156683.30619068,8486638.0,0.95,4.76,0.36,0.04987840909,0.705,0.615,0.372,1.23,6647965.94362564,12.9813614718,27312.0,0.35,170072.0
2008-11-01,5594056.85946995,4419839.871380149,0.639845384025,4156683.30619068,8486638.0,0.77,5.23,1.09,0.05083973913,0.705,0.615,0.372,1.22,6647965.94362564,12.9813614718,-1.0,0.32,158634.0
2008-12-01,5594056.85946995,4419839.871380149,0.639845384025,4156683.30619068,8486638.0,0.5,5.61,0.07,0.050753,0.705,0.615,0.372,1.24,6647965.94362564,12.9813614718,35110.0,0.32,163083.0
2009-01-01,5771527.640974467,4960365.922484167,0.6607966710333334,4206687.61777116,8734194.0,0.17,5.9,-0.44,0.050823,0.705,0.615,0.372,1.13,6647965.94362564,10.7440265778,-1.0,0.32,157457.0
2009-02-01,5771527.640974467,4960365.922484167,0.6607966710333334,4206687.61777116,8734194.0,0.33,0.48,0.01,0.04964833333,0.705,0.615,0.372,0.95,6773699.30541316,10.7440265778,30287.0,0.32,128977.0
2009-03-01,5771527.640974467,4960365.922484167,0.6607966710333334,4206687.61777116,8734194.0,0.27,1.03,-0.13,0.047314,0.705,0.615,0.372,0.87,6773699.30541316,10.7440265778,52757.0,0.32,159122.0
2009-04-01,5771527.640974467,4960365.922484167,0.6607966710333334,4206687.61777116,8734194.0,-0.25,1.23,-0.84,0.04392790909,0.705,0.615,0.372,0.82,6773699.30541316,10.7440265778,160441.0,0.32,139260.0
2009-05-01,5771527.640974467,4960365.922484167,0.6607966710333334,4206687.61777116,8734194.0,-0.04,1.72,0.04,0.04181185,0.705,0.615,0.372,0.67,6773699.30541316,10.7440265778,75812.0,0.3012,141445.0
2009-06-01,5771527.640974467,4960365.922484167,0.6607966710333334,4206687.61777116,8734194.0,1.39,2.2,0.18,0.0384042,0.705,0.615,0.372,0.55,6773699.30541316,10.7440265778,74867.0,0.3012,135358.0
2009-07-01,5771527.640974467,4960365.922484167,0.6607966710333334,4206687.61777116,8734194.0,0.7,2.57,-0.32,0.03616333333,0.705,0.615,0.372,0.38,6773699.30541316,10.7440265778,1196230.0,0.3012,161457.0
2009-08-01,5771527.640974467,4960365.922484167,0.6607966710333334,4206687.61777116,8734194.0,0.26,2.81,-0.64,0.03422486957,0.705,0.615,0.372,0.19,6773699.30541316,10.7440265778,167508.0,0.3012,161217.0
2009-09-01,5771527.640974467,4960365.922484167,0.6607966710333334,4206687.61777116,8734194.0,-0.05,2.97,0.09,0.032927,0.705,0.615,0.372,0.02,6773699.30541316,10.7440265778,41131.0,0.3012,169015.0
2009-10-01,5771527.640974467,4960365.922484167,0.6607966710333334,4206687.61777116,8734194.0,0.15,3.21,0.25,0.032927,0.705,0.615,0.372,0.04,6773699.30541316,10.7440265778,28884.0,0.3012,176694.0
2009-11-01,5771527.640974467,4960365.922484167,0.6607966710333334,4206687.61777116,8734194.0,0.06,3.5,-0.04,0.032927,0.705,0.615,0.372,0.0,6773699.30541316,10.7440265778,-1.0,0.3012,177916.0
2009-12-01,5771527.640974467,4960365.922484167,0.6607966710333334,4206687.61777116,8734194.0,0.29,3.93,0.07,0.032927,0.705,0.615,0.372,-0.07,6773699.30541316,10.7440265778,36848.0,0.326,171020.0
2010-01-01,6134057.1601075,5657506.265947383,0.6962405133416666,5420887.84108602,8810256.0,0.1,4.31,-0.11,0.03292531818,0.705,0.615,0.372,-0.06,6773699.30541316,13.0949003744,-1.0,0.326,171600.0
2010-02-01,6134057.1601075,5657506.265947383,0.6962405133416666,5420887.84108602,8810256.0,0.64,0.75,1.01,0.03292515,0.705,0.615,0.372,-0.02,6930862.75002851,13.0949003744,49946.0,0.326,152381.0
2010-03-01,6134057.1601075,5657506.265947383,0.6962405133416666,5420887.84108602,8810256.0,0.36,1.54,1.09,0.032927,0.705,0.615,0.372,0.08,6930862.75002851,13.0949003744,56419.0,0.326,195572.0
2010-04-01,6134057.1601075,5657506.265947383,0.6962405133416666,5420887.84108602,8810256.0,0.75,2.06,0.63,0.032927,0.705,0.615,0.372,0.18,6930862.75002851,13.0949003744,169374.0,0.326,171479.0
2010-05-01,6134057.1601075,5657506.265947383,0.6962405133416666,5420887.84108602,8810256.0,0.84,2.65,0.72,0.0331908,0.705,0.615,0.372,0.29,6930862.75002851,13.0949003744,84929.0,0.326,174310.0
2010-06-01,6134057.1601075,5657506.265947383,0.6962405133416666,5420887.84108602,8810256.0,1.81,3.09,1.57,0.03565185714,0.705,0.615,0.372,0.43,6930862.75002851,13.0949003744,70881.0,0.326,175701.0
2010-07-01,6134057.1601075,5657506.265947383,0.6962405133416666,5420887.84108602,8810256.0,1.09,3.09,0.34,0.0376,0.705,0.615,0.372,0.6,6930862.75002851,13.0949003744,1243545.0,0.336,203870.0
2010-08-01,6134057.1601075,5657506.265947383,0.6962405133416666,5420887.84108602,8810256.0,0.44,3.1,0.22,0.03897777273,0.705,0.615,0.372,0.67,6930862.75002851,13.0949003744,181447.0,0.336,211944.0
2010-09-01,6134057.1601075,5657506.265947383,0.6962405133416666,5420887.84108602,8810256.0,0.14,3.14,1.1,0.040203,0.705,0.615,0.372,0.74,6930862.75002851,13.0949003744,45918.0,0.3398,214065.0
2010-10-01,6134057.1601075,5657506.265947383,0.6962405133416666,5420887.84108602,8810256.0,0.21,3.6,1.1,0.040203,0.705,0.615,0.372,0.85,6930862.75002851,13.0949003744,40008.0,0.3478,223199.0
2010-11-01,6134057.1601075,5657506.265947383,0.6962405133416666,5420887.84108602,8810256.0,0.2,4.38,1.03,0.040203,0.705,0.615,0.372,0.93,6930862.75002851,13.0949003744,44204.0,0.3478,243761.0
2010-12-01,6134057.1601075,5657506.265947383,0.6962405133416666,5420887.84108602,8810256.0,0.37,5.25,1.58,0.040203,0.705,0.615,0.372,0.99,6930862.75002851,13.0949003744,45167.0,0.3478,269049.0
2011-01-01,6912707.634485,6912707.634485,0.7693045556000001,7149704.34155221,8796448.0,0.67,5.91,0.38,0.04020769565,0.789,0.673,0.574,1.23,6930862.75002851,13.0949003744,24366.0,0.3478,214807.0
2011-02-01,6912707.634485,6912707.634485,0.7693045556000001,7149704.34155221,8796448.0,0.41,0.83,0.98,0.04089519048,0.789,0.673,0.574,1.22,7102235.53510611,13.0949003744,58269.0,0.36,177932.0
2011-03-01,6912707.634485,6912707.634485,0.7693045556000001,7149704.34155221,8796448.0,0.28,1.64,0.96,0.0420272,0.789,0.673,0.574,1.18,7102235.53510611,13.0949003744,73543.0,0.3766,195635.0
2011-04-01,6912707.634485,6912707.634485,0.7693045556000001,7149704.34155221,8796448.0,0.43,2.44,0.61,0.04364038095,0.789,0.673,0.574,1.15,7102235.53510611,13.0949003744,163256.0,0.38,174575.0
2011-05-01,6912707.634485,6912707.634485,0.7693045556000001,7149704.34155221,8796448.0,1.06,3.23,0.5,0.04404368421,0.789,0.673,0.574,1.17,7102235.53510611,13.0949003744,91405.0,0.39,204844.0
2011-06-01,6912707.634485,6912707.634485,0.7693045556000001,7149704.34155221,8796448.0,2.94,3.71,0.01,0.044698,0.789,0.673,0.574,1.11,7102235.53510611,13.0949003744,87279.0,0.3906,197308.0
2011-07-01,6912707.634485,6912707.634485,0.7693045556000001,7149704.34155221,8796448.0,0.37,3.87,-0.13,0.04533085714,0.789,0.673,0.574,0.91,7102235.53510611,13.0949003744,1359449.0,0.392,187852.0
2011-08-01,6912707.634485,6912707.634485,0.7693045556000001,7149704.34155221,8796448.0,0.45,4.04,-0.05,0.04587866667,0.789,0.673,0.574,0.84,7102235.53510611,13.0949003744,195595.0,0.3934,231788.0
2011-09-01,6912707.634485,6912707.634485,0.7693045556000001,7149704.34155221,8796448.0,0.13,4.42,0.61,0.04646017391,0.789,0.673,0.574,0.78,7102235.53510611,13.0949003744,58605.0,0.4294,247553.0
2011-10-01,6912707.634485,6912707.634485,0.7693045556000001,7149704.34155221,8796448.0,0.14,4.97,0.75,0.04464585714,0.789,0.673,0.574,0.73,7102235.53510611,13.0949003744,43176.0,0.436,215441.0
2011-11-01,6912707.634485,6912707.634485,0.7693045556000001,7149704.34155221,8796448.0,0.23,5.43,0.4,0.04391405,0.789,0.673,0.574,0.7,7102235.53510611,13.0949003744,70625.0,0.436,242116.0
2011-12-01,6912707.634485,6912707.634485,0.7693045556000001,7149704.34155221,8796448.0,0.72,5.97,0.43,0.042849,0.789,0.673,0.574,0.64,7102235.53510611,13.0949003744,144527.0,0.436,206262.0
2012-01-01,7204396.712644574,7803701.096995559,0.8126873215166667,8376554.80861333,8864906.0,0.11,6.5,-0.16,0.04106463636,0.789,0.673,0.574,0.46,7102235.53510611,9.541980938,42093.0,0.436,223244.0
2012-02-01,7204396.712644574,7803701.096995559,0.8126873215166667,8376554.80861333,8864906.0,0.89,0.56,0.3,0.0403295,0.789,0.673,0.574,0.38,7283723.05855449,9.541980938,56718.0,0.4294,201890.0
2012-03-01,7204396.712644574,7803701.096995559,0.8126873215166667,8376554.80861333,8864906.0,0.3,1.01,0.07,0.03927,0.789,0.673,0.574,0.3,7283723.05855449,9.541980938,73368.0,0.416,259377.0
2012-04-01,7204396.712644574,7803701.096995559,0.8126873215166667,8376554.80861333,8864906.0,0.51,1.22,0.56,0.037179,0.789,0.673,0.574,0.26,7283723.05855449,9.541980938,171353.0,0.416,228092.0
2012-05-01,7204396.712644574,7803701.096995559,0.8126873215166667,8376554.80861333,8864906.0,0.75,1.87,1.02,0.035474,0.789,0.673,0.574,0.25,7283723.05855449,9.541980938,107678.0,0.416,244391.0
2012-06-01,7204396.712644574,7803701.096995559,0.8126873215166667,8376554.80861333,8864906.0,1.88,2.24,0.91,0.03373136364,0.789,0.673,0.574,0.35,7283723.05855449,9.541980938,91447.0,0.4208,199660.0
2012-07-01,7204396.712644574,7803701.096995559,0.8126873215166667,8376554.80861333,8864906.0,0.73,2.32,0.69,0.0319778,0.789,0.673,0.574,0.51,7283723.05855449,9.541980938,1364325.0,0.4208,214103.0
2012-08-01,7204396.712644574,7803701.096995559,0.8126873215166667,8376554.80861333,8864906.0,0.67,2.76,1.52,0.03080763636,0.789,0.673,0.574,0.61,7283723.05855449,9.541980938,208362.0,0.4208,242041.0
2012-09-01,7204396.712644574,7803701.096995559,0.8126873215166667,8376554.80861333,8864906.0,0.26,3.18,1.29,0.02997965217,0.789,0.673,0.574,0.79,7283723.05855449,9.541980938,60850.0,0.4208,213905.0
2012-10-01,7204396.712644574,7803701.096995559,0.8126873215166667,8376554.80861333,8864906.0,0.22,3.77,0.88,0.028296,0.789,0.673,0.574,0.88,7283723.05855449,9.541980938,88225.0,0.4208,244302.0
2012-11-01,7204396.712644574,7803701.096995559,0.8126873215166667,8376554.80861333,8864906.0,0.21,4.38,-0.31,0.02770736364,0.789,0.673,0.574,0.89,7283723.05855449,9.541980938,67040.0,0.4208,237460.0
2012-12-01,7204396.712644574,7803701.096995559,0.8126873215166667,8376554.80861333,8864906.0,0.33,5.01,0.25,0.027371,0.789,0.673,0.574,0.84,7283723.05855449,9.541980938,177834.0,0.4208,219765.0
2013-01-01,7740718.173804517,9050639.310338331,0.86672196905,8874519.0276754,8931028.0,0.16,5.84,0.66,0.02743595,0.79,0.673,0.62,0.88,7283723.05855449,10.286552892,47244.0,0.4342,248815.0
2013-02-01,7740718.173804517,9050639.310338331,0.86672196905,8874519.0276754,8931028.0,0.65,0.86,0.31,0.02726,0.79,0.673,0.62,0.98,7469859.82561107,10.286552892,55044.0,0.436,219363.0
