data,Minas_Gerais - PIB - Per Capita,Minas_Gerais - PIB - Preços de Mercado,Minas_Gerais - PIB - Estadual,Minas_Gerais - PIB - Construção Civil,Minas_Gerais - População,Minas_Gerais - INCC (%),Minas_Gerais - IPCA - Variação mensal durante o Plano Real (%),Minas_Gerais - IGP-DI,Minas_Gerais - Taxa Selic (%),Minas_Gerais - IDH - Longevidade,Minas_Gerais - IDH - Renda,Minas_Gerais - IDH - Educação,Minas_Gerais - NFSP - Fluxo Mensal (Milhões de reais),Minas_Gerais - Estoque liquido de capital fixo - (R$),Minas_Gerais - Desemprego,Minas_Gerais - Produção de Cimento (t),Minas_Gerais - Valor,Minas_Gerais - Consumo de Cimento (t)
2004-12-01,17176884.410816833,10315739.624341331,0.9258122976,8669385.838953,18553312.0,0.71,6.68,0.82,0.0621806,0.759,0.68,0.47,1.71,6261937.06181048,10.1698488235,16820.0,0.32,260237.0
2005-01-01,19204904.95436292,12427784.833742082,1.0111186726083334,9026853.05788613,18993720.0,0.51,7.6,0.52,0.06401773913,0.759,0.68,0.47,1.74,6261937.06181048,9.8350635575,449876.0,0.32,268591.0
2005-02-01,19204904.95436292,12427784.833742082,1.0111186726083334,9026853.05788613,18993720.0,0.75,0.58,0.33,0.0654687619,0.759,0.68,0.47,1.57,6344077.42160595,9.8350635575,-1.0,0.321,246372.0
2005-03-01,19204904.95436292,12427784.833742082,1.0111186726083334,9026853.05788613,18993720.0,0.44,1.17,0.4,0.06729072222,0.759,0.68,0.47,1.49,6344077.42160595,9.8350635575,49651.0,0.321,292439.0
2005-04-01,19204904.95436292,12427784.833742082,1.0111186726083334,9026853.05788613,18993720.0,0.67,1.79,0.99,0.068961,0.759,0.68,0.47,1.37,6344077.42160595,9.8350635575,124816.0,0.286,310034.0
2005-05-01,19204904.95436292,12427784.833742082,1.0111186726083334,9026853.05788613,18993720.0,0.72,2.68,0.51,0.07010755,0.759,0.68,0.47,1.37,6344077.42160595,9.8350635575,120121.0,0.28,322741.0
2005-06-01,19204904.95436292,12427784.833742082,1.0111186726083334,9026853.05788613,18993720.0,2.09,3.18,-0.25,0.07106719048,0.759,0.68,0.47,1.18,6344077.42160595,9.8350635575,23141.0,0.25,360513.0
2005-07-01,19204904.95436292,12427784.833742082,1.0111186726083334,9026853.05788613,18993720.0,0.76,3.16,-0.45,0.071533,0.759,0.68,0.47,0.95,6344077.42160595,9.8350635575,603132.0,0.2339999999999999,359804.0
2005-08-01,19204904.95436292,12427784.833742082,1.0111186726083334,9026853.05788613,18993720.0,0.11,3.42,-0.4,0.07145590476,0.759,0.68,0.47,0.76,6344077.42160595,9.8350635575,120031.0,0.22,406893.0
2005-09-01,19204904.95436292,12427784.833742082,1.0111186726083334,9026853.05788613,18993720.0,0.02,3.59,-0.79,0.07154213043,0.759,0.68,0.47,0.55,6344077.42160595,9.8350635575,49084.0,0.22,397527.0
2005-10-01,19204904.95436292,12427784.833742082,1.0111186726083334,9026853.05788613,18993720.0,0.24,3.95,-0.13,0.07107052381,0.759,0.68,0.47,0.29,6344077.42160595,9.8350635575,214625.0,0.22,406354.0
2005-11-01,19204904.95436292,12427784.833742082,1.0111186726083334,9026853.05788613,18993720.0,0.19,4.73,0.63,0.0698922,0.759,0.68,0.47,0.25,6344077.42160595,9.8350635575,-1.0,0.173,375773.0
2005-12-01,19204904.95436292,12427784.833742082,1.0111186726083334,9026853.05788613,18993720.0,0.28,5.31,0.33,0.0686031,0.759,0.68,0.47,0.24,6344077.42160595,9.8350635575,15891.0,0.166,357530.0
2006-01-01,19359363.54040784,13458701.641108831,1.006337302525,9374646.22956581,19237450.0,0.37,5.69,0.07,0.06651395455,0.759,0.68,0.47,0.25,6344077.42160595,9.394539677,511030.0,0.158,425400.0
2006-02-01,19359363.54040784,13458701.641108831,1.006337302525,9374646.22956581,19237450.0,0.34,0.59,0.72,0.06452986364,0.759,0.68,0.47,0.27,6428173.06422105,9.394539677,-1.0,0.15,375813.0
2006-03-01,19359363.54040784,13458701.641108831,1.006337302525,9374646.22956581,19237450.0,0.19,1.0,-0.06,0.06327316667,0.759,0.68,0.47,0.37,6428173.06422105,9.394539677,52615.0,0.15,441698.0
2006-04-01,19359363.54040784,13458701.641108831,1.006337302525,9374646.22956581,19237450.0,0.2,1.44,-0.45,0.06142243478,0.759,0.68,0.47,0.29,6428173.06422105,9.394539677,110412.0,0.15,389598.0
2006-05-01,19359363.54040784,13458701.641108831,1.006337302525,9374646.22956581,19237450.0,0.36,1.65,0.02,0.05957944444,0.759,0.68,0.47,0.12,6428173.06422105,9.394539677,124411.0,0.17,465695.0
2006-06-01,19359363.54040784,13458701.641108831,1.006337302525,9374646.22956581,19237450.0,1.32,1.75,0.38,0.05789063636,0.759,0.68,0.47,0.13,6428173.06422105,9.394539677,28251.0,0.174,418447.0
2006-07-01,19359363.54040784,13458701.641108831,1.006337302525,9374646.22956581,19237450.0,0.9,1.54,0.67,0.05608404762,0.759,0.68,0.47,0.21,6428173.06422105,9.394539677,782080.0,0.174,440917.0
2006-08-01,19359363.54040784,13458701.641108831,1.006337302525,9374646.22956581,19237450.0,0.47,1.73,0.17,0.05540461905,0.759,0.68,0.47,0.33,6428173.06422105,9.394539677,136813.0,0.174,479363.0
2006-09-01,19359363.54040784,13458701.641108831,1.006337302525,9374646.22956581,19237450.0,0.24,1.78,0.41,0.05429469565,0.759,0.68,0.47,0.44,6428173.06422105,9.394539677,33037.0,0.174,437792.0
2006-10-01,19359363.54040784,13458701.641108831,1.006337302525,9374646.22956581,19237450.0,0.11,2.0,0.24,0.0526018,0.759,0.68,0.47,0.6,6428173.06422105,9.394539677,227040.0,0.174,445573.0
2006-11-01,19359363.54040784,13458701.641108831,1.006337302525,9374646.22956581,19237450.0,0.21,2.33,0.81,0.05183728571,0.759,0.68,0.47,0.57,6428173.06422105,9.394539677,-1.0,0.174,401511.0
2006-12-01,19359363.54040784,13458701.641108831,1.006337302525,9374646.22956581,19237450.0,0.23,2.65,0.57,0.0507845,0.759,0.68,0.47,0.59,6428173.06422105,9.394539677,19215.0,0.171,354139.0
2007-01-01,20645921.717644,15325441.485079415,1.059887283625,9241095.64345983,19479356.0,0.36,3.14,0.26,0.049164,0.759,0.68,0.47,0.69,6428173.06422105,8.7383120132,609458.0,0.171,389550.0
2007-02-01,20645921.717644,15325441.485079415,1.059887283625,9241095.64345983,19479356.0,0.45,0.44,0.43,0.04896572727,0.759,0.68,0.47,0.68,6529451.68540568,8.7383120132,-1.0,0.171,355526.0
2007-03-01,20645921.717644,15325441.485079415,1.059887283625,9241095.64345983,19479356.0,0.21,0.88,0.23,0.04827277778,0.759,0.68,0.47,0.6,6529451.68540568,8.7383120132,50945.0,0.171,460107.0
2007-04-01,20645921.717644,15325441.485079415,1.059887283625,9241095.64345983,19479356.0,0.27,1.26,0.22,0.04758977273,0.759,0.68,0.47,0.57,6529451.68540568,8.7383120132,125556.0,0.171,424702.0
2007-05-01,20645921.717644,15325441.485079415,1.059887283625,9241095.64345983,19479356.0,0.46,1.51,0.14,0.04703045,0.759,0.68,0.47,0.54,6529451.68540568,8.7383120132,167904.0,0.172,466812.0
2007-06-01,20645921.717644,15325441.485079415,1.059887283625,9241095.64345983,19479356.0,1.15,1.79,0.16,0.046503,0.759,0.68,0.47,0.48,6529451.68540568,8.7383120132,35909.0,0.172,471673.0
2007-07-01,20645921.717644,15325441.485079415,1.059887283625,9241095.64345983,19479356.0,0.92,2.08,0.26,0.0450878,0.759,0.68,0.47,0.39,6529451.68540568,8.7383120132,744091.0,0.172,496171.0
2007-08-01,20645921.717644,15325441.485079415,1.059887283625,9241095.64345983,19479356.0,0.31,2.32,0.37,0.04400663636,0.759,0.68,0.47,0.3,6529451.68540568,8.7383120132,153345.0,0.178,531411.0
2007-09-01,20645921.717644,15325441.485079415,1.059887283625,9241095.64345983,19479356.0,0.26,2.8,1.39,0.04295447826,0.759,0.68,0.47,0.28,6529451.68540568,8.7383120132,40930.0,0.2067999999999999,483813.0
2007-10-01,20645921.717644,15325441.485079415,1.059887283625,9241095.64345983,19479356.0,0.51,2.99,1.17,0.04220568421,0.759,0.68,0.47,0.4,6529451.68540568,8.7383120132,204842.0,0.226,512562.0
2007-11-01,20645921.717644,15325441.485079415,1.059887283625,9241095.64345983,19479356.0,0.51,3.3,0.75,0.04206336364,0.759,0.68,0.47,0.5,6529451.68540568,8.7383120132,-1.0,0.262,457754.0
2007-12-01,20645921.717644,15325441.485079415,1.059887283625,9241095.64345983,19479356.0,0.36,3.69,1.05,0.042065,0.759,0.68,0.47,0.52,6529451.68540568,8.7383120132,14937.0,0.284,388355.0
2008-01-01,21889621.283266667,17294894.089861084,1.1159778668166669,11886616.0299943,19273533.0,0.59,4.46,1.47,0.042065,0.759,0.68,0.47,0.47,6529451.68540568,8.2195278868,672349.0,0.284,458485.0
2008-02-01,21889621.283266667,17294894.089861084,1.1159778668166669,11886616.0299943,19273533.0,0.38,0.54,0.99,0.04205845455,0.759,0.68,0.47,0.63,6647965.94362564,8.2195278868,-1.0,0.2842,402782.0
2008-03-01,21889621.283266667,17294894.089861084,1.1159778668166669,11886616.0299943,19273533.0,0.4,1.03,0.38,0.04206310526,0.759,0.68,0.47,0.65,6647965.94362564,8.2195278868,54152.0,0.2842,429874.0
2008-04-01,21889621.283266667,17294894.089861084,1.1159778668166669,11886616.0299943,19273533.0,0.66,1.52,0.7,0.0420614,0.759,0.68,0.47,0.7,6647965.94362564,8.2195278868,139837.0,0.2842,484463.0
2008-05-01,21889621.283266667,17294894.089861084,1.1159778668166669,11886616.0299943,19273533.0,0.87,2.08,1.12,0.04274185714,0.759,0.68,0.47,0.83,6647965.94362564,8.2195278868,240977.0,0.2842,498487.0
2008-06-01,21889621.283266667,17294894.089861084,1.1159778668166669,11886616.0299943,19273533.0,2.02,2.88,1.88,0.0436576,0.759,0.68,0.47,0.93,6647965.94362564,8.2195278868,30294.0,0.2842,506647.0
2008-07-01,21889621.283266667,17294894.089861084,1.1159778668166669,11886616.0299943,19273533.0,1.92,3.64,1.89,0.04529861905,0.759,0.68,0.47,1.14,6647965.94362564,8.2195278868,874658.0,0.292,559912.0
2008-08-01,21889621.283266667,17294894.089861084,1.1159778668166669,11886616.0299943,19273533.0,1.46,4.19,1.12,0.04627117391,0.759,0.68,0.47,1.33,6647965.94362564,8.2195278868,162213.0,0.292,539832.0
2008-09-01,21889621.283266667,17294894.089861084,1.1159778668166669,11886616.0299943,19273533.0,1.18,4.48,-0.38,0.04822657143,0.759,0.68,0.47,1.42,6647965.94362564,8.2195278868,62232.0,0.292,576883.0
2008-10-01,21889621.283266667,17294894.089861084,1.1159778668166669,11886616.0299943,19273533.0,0.95,4.76,0.36,0.04987840909,0.759,0.68,0.47,1.23,6647965.94362564,8.2195278868,274839.0,0.3,546723.0
2008-11-01,21889621.283266667,17294894.089861084,1.1159778668166669,11886616.0299943,19273533.0,0.77,5.23,1.09,0.05083973913,0.759,0.68,0.47,1.22,6647965.94362564,8.2195278868,-1.0,0.318,476676.0
2008-12-01,21889621.283266667,17294894.089861084,1.1159778668166669,11886616.0299943,19273533.0,0.5,5.61,0.07,0.050753,0.759,0.68,0.47,1.24,6647965.94362564,8.2195278868,31919.0,0.316,421590.0
2009-01-01,23209342.11664908,19947375.6135845,1.1692328444666666,10716049.1521093,19850072.0,0.17,5.9,-0.44,0.050823,0.759,0.68,0.47,1.13,6647965.94362564,6.7150496761,738878.0,0.318,436293.0
2009-02-01,23209342.11664908,19947375.6135845,1.1692328444666666,10716049.1521093,19850072.0,0.33,0.48,0.01,0.04964833333,0.759,0.68,0.47,0.95,6773699.30541316,6.7150496761,-1.0,0.336,396914.0
2009-03-01,23209342.11664908,19947375.6135845,1.1692328444666666,10716049.1521093,19850072.0,0.27,1.03,-0.13,0.047314,0.759,0.68,0.47,0.87,6773699.30541316,6.7150496761,46680.0,0.336,483839.0
2009-04-01,23209342.11664908,19947375.6135845,1.1692328444666666,10716049.1521093,19850072.0,-0.25,1.23,-0.84,0.04392790909,0.759,0.68,0.47,0.82,6773699.30541316,6.7150496761,117953.0,0.336,478991.0
2009-05-01,23209342.11664908,19947375.6135845,1.1692328444666666,10716049.1521093,19850072.0,-0.04,1.72,0.04,0.04181185,0.759,0.68,0.47,0.67,6773699.30541316,6.7150496761,192341.0,0.3242,515822.0
2009-06-01,23209342.11664908,19947375.6135845,1.1692328444666666,10716049.1521093,19850072.0,1.39,2.2,0.18,0.0384042,0.759,0.68,0.47,0.55,6773699.30541316,6.7150496761,31666.0,0.3226,513686.0
2009-07-01,23209342.11664908,19947375.6135845,1.1692328444666666,10716049.1521093,19850072.0,0.7,2.57,-0.32,0.03616333333,0.759,0.68,0.47,0.38,6773699.30541316,6.7150496761,879677.0,0.3192,576387.0
2009-08-01,23209342.11664908,19947375.6135845,1.1692328444666666,10716049.1521093,19850072.0,0.26,2.81,-0.64,0.03422486957,0.759,0.68,0.47,0.19,6773699.30541316,6.7150496761,147628.0,0.3192,557411.0
2009-09-01,23209342.11664908,19947375.6135845,1.1692328444666666,10716049.1521093,19850072.0,-0.05,2.97,0.09,0.032927,0.759,0.68,0.47,0.02,6773699.30541316,6.7150496761,76015.0,0.32,571514.0
2009-10-01,23209342.11664908,19947375.6135845,1.1692328444666666,10716049.1521093,19850072.0,0.15,3.21,0.25,0.032927,0.759,0.68,0.47,0.04,6773699.30541316,6.7150496761,271702.0,0.3184,542293.0
2009-11-01,23209342.11664908,19947375.6135845,1.1692328444666666,10716049.1521093,19850072.0,0.06,3.5,-0.04,0.032927,0.759,0.68,0.47,0.0,6773699.30541316,6.7150496761,-1.0,0.3184,522365.0
2009-12-01,23209342.11664908,19947375.6135845,1.1692328444666666,10716049.1521093,19850072.0,0.29,3.93,0.07,0.032927,0.759,0.68,0.47,-0.07,6773699.30541316,6.7150496761,37168.0,0.314,436839.0
2010-01-01,22619589.96205592,20862288.792439166,1.1290789759166666,18209560.6178633,20033665.0,0.1,4.31,-0.11,0.03292531818,0.759,0.68,0.47,-0.06,6773699.30541316,8.0993013048,701127.0,0.314,503680.0
2010-02-01,22619589.96205592,20862288.792439166,1.1290789759166666,18209560.6178633,20033665.0,0.64,0.75,1.01,0.03292515,0.759,0.68,0.47,-0.02,6930862.75002851,8.0993013048,-1.0,0.31,471305.0
2010-03-01,22619589.96205592,20862288.792439166,1.1290789759166666,18209560.6178633,20033665.0,0.36,1.54,1.09,0.032927,0.759,0.68,0.47,0.08,6930862.75002851,8.0993013048,51293.0,0.31,578572.0
2010-04-01,22619589.96205592,20862288.792439166,1.1290789759166666,18209560.6178633,20033665.0,0.75,2.06,0.63,0.032927,0.759,0.68,0.47,0.18,6930862.75002851,8.0993013048,150705.0,0.31,533165.0
2010-05-01,22619589.96205592,20862288.792439166,1.1290789759166666,18209560.6178633,20033665.0,0.84,2.65,0.72,0.0331908,0.759,0.68,0.47,0.29,6930862.75002851,8.0993013048,217623.0,0.32,560354.0
2010-06-01,22619589.96205592,20862288.792439166,1.1290789759166666,18209560.6178633,20033665.0,1.81,3.09,1.57,0.03565185714,0.759,0.68,0.47,0.43,6930862.75002851,8.0993013048,27388.0,0.3302,546486.0
2010-07-01,22619589.96205592,20862288.792439166,1.1290789759166666,18209560.6178633,20033665.0,1.09,3.09,0.34,0.0376,0.759,0.68,0.47,0.6,6930862.75002851,8.0993013048,954078.0,0.33,601745.0
2010-08-01,22619589.96205592,20862288.792439166,1.1290789759166666,18209560.6178633,20033665.0,0.44,3.1,0.22,0.03897777273,0.759,0.68,0.47,0.67,6930862.75002851,8.0993013048,169564.0,0.326,647700.0
2010-09-01,22619589.96205592,20862288.792439166,1.1290789759166666,18209560.6178633,20033665.0,0.14,3.14,1.1,0.040203,0.759,0.68,0.47,0.74,6930862.75002851,8.0993013048,75310.0,0.324,628612.0
2010-10-01,22619589.96205592,20862288.792439166,1.1290789759166666,18209560.6178633,20033665.0,0.21,3.6,1.1,0.040203,0.759,0.68,0.47,0.85,6930862.75002851,8.0993013048,272469.0,0.324,596227.0
2010-11-01,22619589.96205592,20862288.792439166,1.1290789759166666,18209560.6178633,20033665.0,0.2,4.38,1.03,0.040203,0.759,0.68,0.47,0.93,6930862.75002851,8.0993013048,36393.0,0.324,544711.0
2010-12-01,22619589.96205592,20862288.792439166,1.1290789759166666,18209560.6178633,20033665.0,0.37,5.25,1.58,0.040203,0.759,0.68,0.47,0.99,6930862.75002851,8.0993013048,36514.0,0.324,538872.0
2011-01-01,25431164.176000506,25431164.176000506,1.2630492355583334,20147050.9976067,19597330.0,0.67,5.91,0.38,0.04020769565,0.838,0.73,0.638,1.23,6930862.75002851,8.0993013048,872764.0,0.324,516590.0
2011-02-01,25431164.176000506,25431164.176000506,1.2630492355583334,20147050.9976067,19597330.0,0.41,0.83,0.98,0.04089519048,0.838,0.73,0.638,1.22,7102235.53510611,8.0993013048,-1.0,0.324,558484.0
2011-03-01,25431164.176000506,25431164.176000506,1.2630492355583334,20147050.9976067,19597330.0,0.28,1.64,0.96,0.0420272,0.838,0.73,0.638,1.18,7102235.53510611,8.0993013048,66604.0,0.324,556002.0
2011-04-01,25431164.176000506,25431164.176000506,1.2630492355583334,20147050.9976067,19597330.0,0.43,2.44,0.61,0.04364038095,0.838,0.73,0.638,1.15,7102235.53510611,8.0993013048,131127.0,0.324,570738.0
2011-05-01,25431164.176000506,25431164.176000506,1.2630492355583334,20147050.9976067,19597330.0,1.06,3.23,0.5,0.04404368421,0.838,0.73,0.638,1.17,7102235.53510611,8.0993013048,237152.0,0.3418,676878.0
2011-06-01,25431164.176000506,25431164.176000506,1.2630492355583334,20147050.9976067,19597330.0,2.94,3.71,0.01,0.044698,0.838,0.73,0.638,1.11,7102235.53510611,8.0993013048,36871.0,0.3432,626571.0
2011-07-01,25431164.176000506,25431164.176000506,1.2630492355583334,20147050.9976067,19597330.0,0.37,3.87,-0.13,0.04533085714,0.838,0.73,0.638,0.91,7102235.53510611,8.0993013048,1115119.0,0.3434,638156.0
2011-08-01,25431164.176000506,25431164.176000506,1.2630492355583334,20147050.9976067,19597330.0,0.45,4.04,-0.05,0.04587866667,0.838,0.73,0.638,0.84,7102235.53510611,8.0993013048,149973.0,0.3434,682660.0
2011-09-01,25431164.176000506,25431164.176000506,1.2630492355583334,20147050.9976067,19597330.0,0.13,4.42,0.61,0.04646017391,0.838,0.73,0.638,0.78,7102235.53510611,8.0993013048,134231.0,0.3434,647680.0
2011-10-01,25431164.176000506,25431164.176000506,1.2630492355583334,20147050.9976067,19597330.0,0.14,4.97,0.75,0.04464585714,0.838,0.73,0.638,0.73,7102235.53510611,8.0993013048,277648.0,0.3434,592732.0
2011-11-01,25431164.176000506,25431164.176000506,1.2630492355583334,20147050.9976067,19597330.0,0.23,5.43,0.4,0.04391405,0.838,0.73,0.638,0.7,7102235.53510611,8.0993013048,61666.0,0.3434,577717.0
2011-12-01,25431164.176000506,25431164.176000506,1.2630492355583334,20147050.9976067,19597330.0,0.72,5.97,0.43,0.042849,0.838,0.73,0.638,0.64,7102235.53510611,8.0993013048,41141.0,0.3429999999999999,490780.0
2012-01-01,26898435.65437475,29136006.82970384,1.3634164588083333,22125694.5943581,19728701.0,0.11,6.5,-0.16,0.04106463636,0.838,0.73,0.638,0.46,7102235.53510611,6.4304334289,852030.0,0.34,523094.0
2012-02-01,26898435.65437475,29136006.82970384,1.3634164588083333,22125694.5943581,19728701.0,0.89,0.56,0.3,0.0403295,0.838,0.73,0.638,0.38,7283723.05855449,6.4304334289,-1.0,0.3398,538500.0
2012-03-01,26898435.65437475,29136006.82970384,1.3634164588083333,22125694.5943581,19728701.0,0.3,1.01,0.07,0.03927,0.838,0.73,0.638,0.3,7283723.05855449,6.4304334289,65768.0,0.3379999999999999,629774.0
2012-04-01,26898435.65437475,29136006.82970384,1.3634164588083333,22125694.5943581,19728701.0,0.51,1.22,0.56,0.037179,0.838,0.73,0.638,0.26,7283723.05855449,6.4304334289,147444.0,0.3379999999999999,565656.0
2012-05-01,26898435.65437475,29136006.82970384,1.3634164588083333,22125694.5943581,19728701.0,0.75,1.87,1.02,0.035474,0.838,0.73,0.638,0.25,7283723.05855449,6.4304334289,209525.0,0.3576,623271.0
2012-06-01,26898435.65437475,29136006.82970384,1.3634164588083333,22125694.5943581,19728701.0,1.88,2.24,0.91,0.03373136364,0.838,0.73,0.638,0.35,7283723.05855449,6.4304334289,76637.0,0.357,586932.0
2012-07-01,26898435.65437475,29136006.82970384,1.3634164588083333,22125694.5943581,19728701.0,0.73,2.32,0.69,0.0319778,0.838,0.73,0.638,0.51,7283723.05855449,6.4304334289,1157530.0,0.356,634043.0
2012-08-01,26898435.65437475,29136006.82970384,1.3634164588083333,22125694.5943581,19728701.0,0.67,2.76,1.52,0.03080763636,0.838,0.73,0.638,0.61,7283723.05855449,6.4304334289,198286.0,0.352,681586.0
2012-09-01,26898435.65437475,29136006.82970384,1.3634164588083333,22125694.5943581,19728701.0,0.26,3.18,1.29,0.02997965217,0.838,0.73,0.638,0.79,7283723.05855449,6.4304334289,98478.0,0.352,614072.0
2012-10-01,26898435.65437475,29136006.82970384,1.3634164588083333,22125694.5943581,19728701.0,0.22,3.77,0.88,0.028296,0.838,0.73,0.638,0.88,7283723.05855449,6.4304334289,262109.0,0.352,650068.0
2012-11-01,26898435.65437475,29136006.82970384,1.3634164588083333,22125694.5943581,19728701.0,0.21,4.38,-0.31,0.02770736364,0.838,0.73,0.638,0.89,7283723.05855449,6.4304334289,50862.0,0.352,569608.0
2012-12-01,26898435.65437475,29136006.82970384,1.3634164588083333,22125694.5943581,19728701.0,0.33,5.01,0.25,0.027371,0.838,0.73,0.638,0.84,7283723.05855449,6.4304334289,182370.0,0.352,527422.0
2013-01-01,27589215.36806884,32257993.579542752,1.3895116620583332,24325990.8776376,19855332.0,0.16,5.84,0.66,0.02743595,0.85,0.73,0.68,0.88,7283723.05855449,6.2081234313,917183.0,0.352,560056.0
2013-02-01,27589215.36806884,32257993.579542752,1.3895116620583332,24325990.8776376,19855332.0,0.65,0.86,0.31,0.02726,0.85,0.73,0.68,0.98,7469859.82561107,6.2081234313,-1.0,0.352,513715.0
