data,Paraíba - PIB - Per Capita,Paraíba - PIB - Preços de Mercado,Paraíba - PIB - Estadual,Paraíba - PIB - Construção Civil,Paraíba - População,Paraíba - INCC (%),Paraíba - IPCA - Variação mensal durante o Plano Real (%),Paraíba - IGP-DI,Paraíba - Taxa Selic (%),Paraíba - IDH - Longevidade,Paraíba - IDH - Renda,Paraíba - IDH - Educação,Paraíba - NFSP - Fluxo Mensal (Milhões de reais),Paraíba - Estoque liquido de capital fixo - (R$),Paraíba - Desemprego,Paraíba - Produção de Cimento (t),Paraíba - Valor,Paraíba - Consumo de Cimento (t)
2004-04-01,1834430.8111843504,1101684.6917320082,0.5213532137666667,894449.697000593,3518595.0,1.16,1.85,0.93,0.05956991304,0.672,0.582,0.331,1.24,6261937.06181048,10.6253650095,133565.0,0.34,26351.0
2004-05-01,1834430.8111843504,1101684.6917320082,0.5213532137666667,894449.697000593,3518595.0,0.59,2.23,1.15,0.0587633,0.672,0.582,0.331,1.21,6261937.06181048,10.6253650095,94682.0,0.34,27348.0
2004-06-01,1834430.8111843504,1101684.6917320082,0.5213532137666667,894449.697000593,3518595.0,1.83,2.75,1.46,0.0581277619,0.672,0.582,0.331,1.35,6261937.06181048,10.6253650095,43061.0,0.34,25120.0
2004-07-01,1834430.8111843504,1101684.6917320082,0.5213532137666667,894449.697000593,3518595.0,0.7,3.48,1.29,0.05822585714,0.672,0.582,0.331,1.59,6261937.06181048,10.6253650095,586840.0,0.34,27654.0
2004-08-01,1834430.8111843504,1101684.6917320082,0.5213532137666667,894449.697000593,3518595.0,1.12,4.42,1.14,0.05813868182,0.672,0.582,0.331,1.72,6261937.06181048,10.6253650095,149893.0,0.34,28168.0
2004-09-01,1834430.8111843504,1101684.6917320082,0.5213532137666667,894449.697000593,3518595.0,0.81,5.14,1.31,0.05843936364,0.672,0.582,0.331,1.83,6261937.06181048,10.6253650095,46625.0,0.34,34218.0
2004-10-01,1834430.8111843504,1101684.6917320082,0.5213532137666667,894449.697000593,3518595.0,0.58,5.49,0.48,0.05923480952,0.672,0.582,0.331,1.87,6261937.06181048,10.6253650095,24528.0,0.34,30440.0
2004-11-01,1834430.8111843504,1101684.6917320082,0.5213532137666667,894449.697000593,3518595.0,1.19,5.95,0.53,0.06031435,0.672,0.582,0.331,1.76,6261937.06181048,10.6253650095,-1.0,0.324,30988.0
2004-12-01,1834430.8111843504,1101684.6917320082,0.5213532137666667,894449.697000593,3518595.0,0.71,6.68,0.82,0.0621806,0.672,0.582,0.331,1.71,6261937.06181048,10.6253650095,20333.0,0.324,34230.0
2005-01-01,1819780.3917349584,1177607.4501221166,0.5099781108166667,1168141.47620771,3568350.0,0.51,7.6,0.52,0.06401773913,0.672,0.582,0.331,1.74,6261937.06181048,9.89202323,415441.0,0.324,32450.0
2005-02-01,1819780.3917349584,1177607.4501221166,0.5099781108166667,1168141.47620771,3568350.0,0.75,0.58,0.33,0.0654687619,0.672,0.582,0.331,1.57,6344077.42160595,9.89202323,31434.0,0.32,27763.0
2005-03-01,1819780.3917349584,1177607.4501221166,0.5099781108166667,1168141.47620771,3568350.0,0.44,1.17,0.4,0.06729072222,0.672,0.582,0.331,1.49,6344077.42160595,9.89202323,49990.0,0.32,30131.0
2005-04-01,1819780.3917349584,1177607.4501221166,0.5099781108166667,1168141.47620771,3568350.0,0.67,1.79,0.99,0.068961,0.672,0.582,0.331,1.37,6344077.42160595,9.89202323,113649.0,0.32,27103.0
2005-05-01,1819780.3917349584,1177607.4501221166,0.5099781108166667,1168141.47620771,3568350.0,0.72,2.68,0.51,0.07010755,0.672,0.582,0.331,1.37,6344077.42160595,9.89202323,110479.0,0.32,28053.0
2005-06-01,1819780.3917349584,1177607.4501221166,0.5099781108166667,1168141.47620771,3568350.0,2.09,3.18,-0.25,0.07106719048,0.672,0.582,0.331,1.18,6344077.42160595,9.89202323,43241.0,0.286,21631.0
2005-07-01,1819780.3917349584,1177607.4501221166,0.5099781108166667,1168141.47620771,3568350.0,0.76,3.16,-0.45,0.071533,0.672,0.582,0.331,0.95,6344077.42160595,9.89202323,750422.0,0.294,28751.0
2005-08-01,1819780.3917349584,1177607.4501221166,0.5099781108166667,1168141.47620771,3568350.0,0.11,3.42,-0.4,0.07145590476,0.672,0.582,0.331,0.76,6344077.42160595,9.89202323,151521.0,0.291,29638.0
2005-09-01,1819780.3917349584,1177607.4501221166,0.5099781108166667,1168141.47620771,3568350.0,0.02,3.59,-0.79,0.07154213043,0.672,0.582,0.331,0.55,6344077.42160595,9.89202323,47417.0,0.297,29640.0
2005-10-01,1819780.3917349584,1177607.4501221166,0.5099781108166667,1168141.47620771,3568350.0,0.24,3.95,-0.13,0.07107052381,0.672,0.582,0.331,0.29,6344077.42160595,9.89202323,26521.0,0.298,29790.0
2005-11-01,1819780.3917349584,1177607.4501221166,0.5099781108166667,1168141.47620771,3568350.0,0.19,4.73,0.63,0.0698922,0.672,0.582,0.331,0.25,6344077.42160595,9.89202323,-1.0,0.285,34715.0
2005-12-01,1819780.3917349584,1177607.4501221166,0.5099781108166667,1168141.47620771,3568350.0,0.28,5.31,0.33,0.0686031,0.672,0.582,0.331,0.24,6344077.42160595,9.89202323,17571.0,0.281,45400.0
2006-01-01,1878044.376633725,1305623.4457872582,0.5222758387333334,686699.461391298,3595886.0,0.37,5.69,0.07,0.06651395455,0.672,0.582,0.331,0.25,6344077.42160595,8.6870702279,533357.0,0.28,42579.0
2006-02-01,1878044.376633725,1305623.4457872582,0.5222758387333334,686699.461391298,3595886.0,0.34,0.59,0.72,0.06452986364,0.672,0.582,0.331,0.27,6428173.06422105,8.6870702279,36563.0,0.286,35468.0
2006-03-01,1878044.376633725,1305623.4457872582,0.5222758387333334,686699.461391298,3595886.0,0.19,1.0,-0.06,0.06327316667,0.672,0.582,0.331,0.37,6428173.06422105,8.6870702279,48756.0,0.287,40803.0
2006-04-01,1878044.376633725,1305623.4457872582,0.5222758387333334,686699.461391298,3595886.0,0.2,1.44,-0.45,0.06142243478,0.672,0.582,0.331,0.29,6428173.06422105,8.6870702279,141637.0,0.287,26305.0
2006-05-01,1878044.376633725,1305623.4457872582,0.5222758387333334,686699.461391298,3595886.0,0.36,1.65,0.02,0.05957944444,0.672,0.582,0.331,0.12,6428173.06422105,8.6870702279,117222.0,0.287,33667.0
2006-06-01,1878044.376633725,1305623.4457872582,0.5222758387333334,686699.461391298,3595886.0,1.32,1.75,0.38,0.05789063636,0.672,0.582,0.331,0.13,6428173.06422105,8.6870702279,49155.0,0.286,28367.2
2006-07-01,1878044.376633725,1305623.4457872582,0.5222758387333334,686699.461391298,3595886.0,0.9,1.54,0.67,0.05608404762,0.672,0.582,0.331,0.21,6428173.06422105,8.6870702279,820447.0,0.284,29610.0
2006-08-01,1878044.376633725,1305623.4457872582,0.5222758387333334,686699.461391298,3595886.0,0.47,1.73,0.17,0.05540461905,0.672,0.582,0.331,0.33,6428173.06422105,8.6870702279,148212.0,0.285,36666.0
2006-09-01,1878044.376633725,1305623.4457872582,0.5222758387333334,686699.461391298,3595886.0,0.24,1.78,0.41,0.05429469565,0.672,0.582,0.331,0.44,6428173.06422105,8.6870702279,47179.0,0.283,38206.2
2006-10-01,1878044.376633725,1305623.4457872582,0.5222758387333334,686699.461391298,3595886.0,0.11,2.0,0.24,0.0526018,0.672,0.582,0.331,0.6,6428173.06422105,8.6870702279,23098.0,0.283,38481.2
2006-11-01,1878044.376633725,1305623.4457872582,0.5222758387333334,686699.461391298,3595886.0,0.21,2.33,0.81,0.05183728571,0.672,0.582,0.331,0.57,6428173.06422105,8.6870702279,-1.0,0.281,40313.0
2006-12-01,1878044.376633725,1305623.4457872582,0.5222758387333334,686699.461391298,3595886.0,0.23,2.65,0.57,0.0507845,0.672,0.582,0.331,0.59,6428173.06422105,8.6870702279,19958.0,0.281,40005.0
2007-01-01,2096819.038610733,1556466.1108623166,0.5787178068666666,1072160.0812023,3623215.0,0.36,3.14,0.26,0.049164,0.672,0.582,0.331,0.69,6428173.06422105,8.6868107856,566782.0,0.278,44532.0
2007-02-01,2096819.038610733,1556466.1108623166,0.5787178068666666,1072160.0812023,3623215.0,0.45,0.44,0.43,0.04896572727,0.672,0.582,0.331,0.68,6529451.68540568,8.6868107856,50394.0,0.277,34753.0
2007-03-01,2096819.038610733,1556466.1108623166,0.5787178068666666,1072160.0812023,3623215.0,0.21,0.88,0.23,0.04827277778,0.672,0.582,0.331,0.6,6529451.68540568,8.6868107856,56770.0,0.27,41195.0
2007-04-01,2096819.038610733,1556466.1108623166,0.5787178068666666,1072160.0812023,3623215.0,0.27,1.26,0.22,0.04758977273,0.672,0.582,0.331,0.57,6529451.68540568,8.6868107856,145075.0,0.275,35818.0
2007-05-01,2096819.038610733,1556466.1108623166,0.5787178068666666,1072160.0812023,3623215.0,0.46,1.51,0.14,0.04703045,0.672,0.582,0.331,0.54,6529451.68540568,8.6868107856,170421.0,0.27,40250.0
2007-06-01,2096819.038610733,1556466.1108623166,0.5787178068666666,1072160.0812023,3623215.0,1.15,1.79,0.16,0.046503,0.672,0.582,0.331,0.48,6529451.68540568,8.6868107856,61897.0,0.28,33230.0
2007-07-01,2096819.038610733,1556466.1108623166,0.5787178068666666,1072160.0812023,3623215.0,0.92,2.08,0.26,0.0450878,0.672,0.582,0.331,0.39,6529451.68540568,8.6868107856,895173.0,0.28,39598.0
2007-08-01,2096819.038610733,1556466.1108623166,0.5787178068666666,1072160.0812023,3623215.0,0.31,2.32,0.37,0.04400663636,0.672,0.582,0.331,0.3,6529451.68540568,8.6868107856,177923.0,0.28,44056.0
2007-09-01,2096819.038610733,1556466.1108623166,0.5787178068666666,1072160.0812023,3623215.0,0.26,2.8,1.39,0.04295447826,0.672,0.582,0.331,0.28,6529451.68540568,8.6868107856,55530.0,0.28,42388.0
2007-10-01,2096819.038610733,1556466.1108623166,0.5787178068666666,1072160.0812023,3623215.0,0.51,2.99,1.17,0.04220568421,0.672,0.582,0.331,0.4,6529451.68540568,8.6868107856,34270.0,0.28,57413.0
2007-11-01,2096819.038610733,1556466.1108623166,0.5787178068666666,1072160.0812023,3623215.0,0.51,3.3,0.75,0.04206336364,0.672,0.582,0.331,0.5,6529451.68540568,8.6868107856,-1.0,0.28,58177.0
2007-12-01,2096819.038610733,1556466.1108623166,0.5787178068666666,1072160.0812023,3623215.0,0.36,3.69,1.05,0.042065,0.672,0.582,0.331,0.52,6529451.68540568,8.6868107856,25811.0,0.29,51898.0
2008-01-01,2169672.438042875,1714248.709013858,0.5837111495833334,1010256.07743237,3641397.0,0.59,4.46,1.47,0.042065,0.672,0.582,0.331,0.47,6529451.68540568,8.4963048551,602799.0,0.29,57802.0
2008-02-01,2169672.438042875,1714248.709013858,0.5837111495833334,1010256.07743237,3641397.0,0.38,0.54,0.99,0.04205845455,0.672,0.582,0.331,0.63,6647965.94362564,8.4963048551,50682.0,0.28,58541.0
2008-03-01,2169672.438042875,1714248.709013858,0.5837111495833334,1010256.07743237,3641397.0,0.4,1.03,0.38,0.04206310526,0.672,0.582,0.331,0.65,6647965.94362564,8.4963048551,67516.0,0.28,56598.0
2008-04-01,2169672.438042875,1714248.709013858,0.5837111495833334,1010256.07743237,3641397.0,0.66,1.52,0.7,0.0420614,0.672,0.582,0.331,0.7,6647965.94362564,8.4963048551,152898.0,0.28,54107.0
2008-05-01,2169672.438042875,1714248.709013858,0.5837111495833334,1010256.07743237,3641397.0,0.87,2.08,1.12,0.04274185714,0.672,0.582,0.331,0.83,6647965.94362564,8.4963048551,177380.0,0.28,56019.0
2008-06-01,2169672.438042875,1714248.709013858,0.5837111495833334,1010256.07743237,3641397.0,2.02,2.88,1.88,0.0436576,0.672,0.582,0.331,0.93,6647965.94362564,8.4963048551,80080.0,0.28,46593.0
2008-07-01,2169672.438042875,1714248.709013858,0.5837111495833334,1010256.07743237,3641397.0,1.92,3.64,1.89,0.04529861905,0.672,0.582,0.331,1.14,6647965.94362564,8.4963048551,1139132.0,0.28,57196.0
2008-08-01,2169672.438042875,1714248.709013858,0.5837111495833334,1010256.07743237,3641397.0,1.46,4.19,1.12,0.04627117391,0.672,0.582,0.331,1.33,6647965.94362564,8.4963048551,203759.0,0.278,59179.0
2008-09-01,2169672.438042875,1714248.709013858,0.5837111495833334,1010256.07743237,3641397.0,1.18,4.48,-0.38,0.04822657143,0.672,0.582,0.331,1.42,6647965.94362564,8.4963048551,79332.0,0.2986,62719.0
2008-10-01,2169672.438042875,1714248.709013858,0.5837111495833334,1010256.07743237,3641397.0,0.95,4.76,0.36,0.04987840909,0.672,0.582,0.331,1.23,6647965.94362564,8.4963048551,38256.0,0.3304,70134.0
2008-11-01,2169672.438042875,1714248.709013858,0.5837111495833334,1010256.07743237,3641397.0,0.77,5.23,1.09,0.05083973913,0.672,0.582,0.331,1.22,6647965.94362564,8.4963048551,-1.0,0.32,63163.0
2008-12-01,2169672.438042875,1714248.709013858,0.5837111495833334,1010256.07743237,3641397.0,0.5,5.61,0.07,0.050753,0.672,0.582,0.331,1.24,6647965.94362564,8.4963048551,37659.0,0.31,65732.0
2009-01-01,2341113.780007225,2012080.9839949408,0.6255307213916667,1190034.14571768,3742606.0,0.17,5.9,-0.44,0.050823,0.672,0.582,0.331,1.13,6647965.94362564,7.8578810471,628268.0,0.306,65392.0
2009-02-01,2341113.780007225,2012080.9839949408,0.6255307213916667,1190034.14571768,3742606.0,0.33,0.48,0.01,0.04964833333,0.672,0.582,0.331,0.95,6773699.30541316,7.8578810471,26909.0,0.3,53551.0
2009-03-01,2341113.780007225,2012080.9839949408,0.6255307213916667,1190034.14571768,3742606.0,0.27,1.03,-0.13,0.047314,0.672,0.582,0.331,0.87,6773699.30541316,7.8578810471,49238.0,0.3,62268.0
2009-04-01,2341113.780007225,2012080.9839949408,0.6255307213916667,1190034.14571768,3742606.0,-0.25,1.23,-0.84,0.04392790909,0.672,0.582,0.331,0.82,6773699.30541316,7.8578810471,151285.0,0.302,51135.0
2009-05-01,2341113.780007225,2012080.9839949408,0.6255307213916667,1190034.14571768,3742606.0,-0.04,1.72,0.04,0.04181185,0.672,0.582,0.331,0.67,6773699.30541316,7.8578810471,175019.0,0.299,52819.0
2009-06-01,2341113.780007225,2012080.9839949408,0.6255307213916667,1190034.14571768,3742606.0,1.39,2.2,0.18,0.0384042,0.672,0.582,0.331,0.55,6773699.30541316,7.8578810471,80185.0,0.288,53000.0
2009-07-01,2341113.780007225,2012080.9839949408,0.6255307213916667,1190034.14571768,3742606.0,0.7,2.57,-0.32,0.03616333333,0.672,0.582,0.331,0.38,6773699.30541316,7.8578810471,1106284.0,0.29,58296.0
2009-08-01,2341113.780007225,2012080.9839949408,0.6255307213916667,1190034.14571768,3742606.0,0.26,2.81,-0.64,0.03422486957,0.672,0.582,0.331,0.19,6773699.30541316,7.8578810471,165488.0,0.2878,62618.0
2009-09-01,2341113.780007225,2012080.9839949408,0.6255307213916667,1190034.14571768,3742606.0,-0.05,2.97,0.09,0.032927,0.672,0.582,0.331,0.02,6773699.30541316,7.8578810471,69372.0,0.29,69872.0
2009-10-01,2341113.780007225,2012080.9839949408,0.6255307213916667,1190034.14571768,3742606.0,0.15,3.21,0.25,0.032927,0.672,0.582,0.331,0.04,6773699.30541316,7.8578810471,30723.0,0.287,68203.0
2009-11-01,2341113.780007225,2012080.9839949408,0.6255307213916667,1190034.14571768,3742606.0,0.06,3.5,-0.04,0.032927,0.672,0.582,0.331,0.0,6773699.30541316,7.8578810471,-1.0,0.3007999999999999,67340.0
2009-12-01,2341113.780007225,2012080.9839949408,0.6255307213916667,1190034.14571768,3742606.0,0.29,3.93,0.07,0.032927,0.672,0.582,0.331,-0.07,6773699.30541316,7.8578810471,15756.0,0.3078,70178.0
2010-01-01,2460358.044318584,2269214.434898175,0.6526188473583333,1482514.44062379,3769977.0,0.1,4.31,-0.11,0.03292531818,0.672,0.582,0.331,-0.06,6773699.30541316,9.835665925,669206.0,0.3034,66691.0
2010-02-01,2460358.044318584,2269214.434898175,0.6526188473583333,1482514.44062379,3769977.0,0.64,0.75,1.01,0.03292515,0.672,0.582,0.331,-0.02,6930862.75002851,9.835665925,53942.0,0.31,62169.0
2010-03-01,2460358.044318584,2269214.434898175,0.6526188473583333,1482514.44062379,3769977.0,0.36,1.54,1.09,0.032927,0.672,0.582,0.331,0.08,6930862.75002851,9.835665925,58392.0,0.33,73989.0
2010-04-01,2460358.044318584,2269214.434898175,0.6526188473583333,1482514.44062379,3769977.0,0.75,2.06,0.63,0.032927,0.672,0.582,0.331,0.18,6930862.75002851,9.835665925,154137.0,0.33,66595.0
2010-05-01,2460358.044318584,2269214.434898175,0.6526188473583333,1482514.44062379,3769977.0,0.84,2.65,0.72,0.0331908,0.672,0.582,0.331,0.29,6930862.75002851,9.835665925,199516.0,0.33,67561.0
2010-06-01,2460358.044318584,2269214.434898175,0.6526188473583333,1482514.44062379,3769977.0,1.81,3.09,1.57,0.03565185714,0.672,0.582,0.331,0.43,6930862.75002851,9.835665925,77569.0,0.33,65345.0
2010-07-01,2460358.044318584,2269214.434898175,0.6526188473583333,1482514.44062379,3769977.0,1.09,3.09,0.34,0.0376,0.672,0.582,0.331,0.6,6930862.75002851,9.835665925,1190757.0,0.33,73299.0
2010-08-01,2460358.044318584,2269214.434898175,0.6526188473583333,1482514.44062379,3769977.0,0.44,3.1,0.22,0.03897777273,0.672,0.582,0.331,0.67,6930862.75002851,9.835665925,192723.0,0.32,72335.0
2010-09-01,2460358.044318584,2269214.434898175,0.6526188473583333,1482514.44062379,3769977.0,0.14,3.14,1.1,0.040203,0.672,0.582,0.331,0.74,6930862.75002851,9.835665925,80334.0,0.33,72595.0
2010-10-01,2460358.044318584,2269214.434898175,0.6526188473583333,1482514.44062379,3769977.0,0.21,3.6,1.1,0.040203,0.672,0.582,0.331,0.85,6930862.75002851,9.835665925,38725.0,0.32,69115.0
2010-11-01,2460358.044318584,2269214.434898175,0.6526188473583333,1482514.44062379,3769977.0,0.2,4.38,1.03,0.040203,0.672,0.582,0.331,0.93,6930862.75002851,9.835665925,41564.0,0.324,71732.0
2010-12-01,2460358.044318584,2269214.434898175,0.6526188473583333,1482514.44062379,3769977.0,0.37,5.25,1.58,0.040203,0.672,0.582,0.331,0.99,6930862.75002851,9.835665925,42304.0,0.32,72743.0
2011-01-01,2487769.8894602666,2487769.8894602666,0.6513780851916667,1861881.06160644,3766528.0,0.67,5.91,0.38,0.04020769565,0.783,0.656,0.555,1.23,6930862.75002851,9.835665925,729768.0,0.32,92731.0
2011-02-01,2487769.8894602666,2487769.8894602666,0.6513780851916667,1861881.06160644,3766528.0,0.41,0.83,0.98,0.04089519048,0.783,0.656,0.555,1.22,7102235.53510611,9.835665925,61674.0,0.324,67200.0
2011-03-01,2487769.8894602666,2487769.8894602666,0.6513780851916667,1861881.06160644,3766528.0,0.28,1.64,0.96,0.0420272,0.783,0.656,0.555,1.18,7102235.53510611,9.835665925,59887.0,0.32,89158.0
2011-04-01,2487769.8894602666,2487769.8894602666,0.6513780851916667,1861881.06160644,3766528.0,0.43,2.44,0.61,0.04364038095,0.783,0.656,0.555,1.15,7102235.53510611,9.835665925,169700.0,0.32,73795.0
2011-05-01,2487769.8894602666,2487769.8894602666,0.6513780851916667,1861881.06160644,3766528.0,1.06,3.23,0.5,0.04404368421,0.783,0.656,0.555,1.17,7102235.53510611,9.835665925,203856.0,0.34,72218.0
2011-06-01,2487769.8894602666,2487769.8894602666,0.6513780851916667,1861881.06160644,3766528.0,2.94,3.71,0.01,0.044698,0.783,0.656,0.555,1.11,7102235.53510611,9.835665925,89584.0,0.34,73324.0
2011-07-01,2487769.8894602666,2487769.8894602666,0.6513780851916667,1861881.06160644,3766528.0,0.37,3.87,-0.13,0.04533085714,0.783,0.656,0.555,0.91,7102235.53510611,9.835665925,1308918.0,0.34,59061.0
2011-08-01,2487769.8894602666,2487769.8894602666,0.6513780851916667,1861881.06160644,3766528.0,0.45,4.04,-0.05,0.04587866667,0.783,0.656,0.555,0.84,7102235.53510611,9.835665925,208706.0,0.34,72088.0
2011-09-01,2487769.8894602666,2487769.8894602666,0.6513780851916667,1861881.06160644,3766528.0,0.13,4.42,0.61,0.04646017391,0.783,0.656,0.555,0.78,7102235.53510611,9.835665925,96612.0,0.35,89582.0
2011-10-01,2487769.8894602666,2487769.8894602666,0.6513780851916667,1861881.06160644,3766528.0,0.14,4.97,0.75,0.04464585714,0.783,0.656,0.555,0.73,7102235.53510611,9.835665925,34358.0,0.34,80600.0
2011-11-01,2487769.8894602666,2487769.8894602666,0.6513780851916667,1861881.06160644,3766528.0,0.23,5.43,0.4,0.04391405,0.783,0.656,0.555,0.7,7102235.53510611,9.835665925,67751.0,0.34,88150.0
2011-12-01,2487769.8894602666,2487769.8894602666,0.6513780851916667,1861881.06160644,3766528.0,0.72,5.97,0.43,0.042849,0.783,0.656,0.555,0.64,7102235.53510611,9.835665925,101540.0,0.36,88341.0
2012-01-01,2537664.2626020834,2748762.2044906835,0.6693361703249999,1881583.63275419,3791315.0,0.11,6.5,-0.16,0.04106463636,0.783,0.656,0.555,0.46,7102235.53510611,10.3710543423,761437.0,0.34,88070.0
2012-02-01,2537664.2626020834,2748762.2044906835,0.6693361703249999,1881583.63275419,3791315.0,0.89,0.56,0.3,0.0403295,0.783,0.656,0.555,0.38,7283723.05855449,10.3710543423,69973.0,0.34,84384.0
2012-03-01,2537664.2626020834,2748762.2044906835,0.6693361703249999,1881583.63275419,3791315.0,0.3,1.01,0.07,0.03927,0.783,0.656,0.555,0.3,7283723.05855449,10.3710543423,57259.0,0.34,102052.0
2012-04-01,2537664.2626020834,2748762.2044906835,0.6693361703249999,1881583.63275419,3791315.0,0.51,1.22,0.56,0.037179,0.783,0.656,0.555,0.26,7283723.05855449,10.3710543423,155438.0,0.35,86964.0
2012-05-01,2537664.2626020834,2748762.2044906835,0.6693361703249999,1881583.63275419,3791315.0,0.75,1.87,1.02,0.035474,0.783,0.656,0.555,0.25,7283723.05855449,10.3710543423,211832.0,0.36,93287.0
2012-06-01,2537664.2626020834,2748762.2044906835,0.6693361703249999,1881583.63275419,3791315.0,1.88,2.24,0.91,0.03373136364,0.783,0.656,0.555,0.35,7283723.05855449,10.3710543423,97453.0,0.36,79642.0
2012-07-01,2537664.2626020834,2748762.2044906835,0.6693361703249999,1881583.63275419,3791315.0,0.73,2.32,0.69,0.0319778,0.783,0.656,0.555,0.51,7283723.05855449,10.3710543423,1233329.0,0.36,89501.0
2012-08-01,2537664.2626020834,2748762.2044906835,0.6693361703249999,1881583.63275419,3791315.0,0.67,2.76,1.52,0.03080763636,0.783,0.656,0.555,0.61,7283723.05855449,10.3710543423,210508.0,0.36,106453.0
2012-09-01,2537664.2626020834,2748762.2044906835,0.6693361703249999,1881583.63275419,3791315.0,0.26,3.18,1.29,0.02997965217,0.783,0.656,0.555,0.79,7283723.05855449,10.3710543423,92519.0,0.3661666666666666,90521.0
2012-10-01,2537664.2626020834,2748762.2044906835,0.6693361703249999,1881583.63275419,3791315.0,0.22,3.77,0.88,0.028296,0.783,0.656,0.555,0.88,7283723.05855449,10.3710543423,94307.0,0.37,98089.0
2012-11-01,2537664.2626020834,2748762.2044906835,0.6693361703249999,1881583.63275419,3791315.0,0.21,4.38,-0.31,0.02770736364,0.783,0.656,0.555,0.89,7283723.05855449,10.3710543423,64783.0,0.37,100169.0
2012-12-01,2537664.2626020834,2748762.2044906835,0.6693361703249999,1881583.63275419,3791315.0,0.33,5.01,0.25,0.027371,0.783,0.656,0.555,0.84,7283723.05855449,10.3710543423,183670.0,0.37,84305.0
2013-01-01,2684968.7688513417,3139331.950959425,0.7037610552333334,2359876.7659689,3815171.0,0.16,5.84,0.66,0.02743595,0.78,0.656,0.6,0.88,7283723.05855449,8.9820096768,750704.0,0.36,104554.0
