data,Sergipe - PIB - Per Capita,Sergipe - PIB - Preços de Mercado,Sergipe - PIB - Estadual,Sergipe - PIB - Construção Civil,Sergipe - População,Sergipe - INCC (%),Sergipe - IPCA - Variação mensal durante o Plano Real (%),Sergipe - IGP-DI,Sergipe - Taxa Selic (%),Sergipe - IDH - Longevidade,Sergipe - IDH - Renda,Sergipe - IDH - Educação,Sergipe - NFSP - Fluxo Mensal (Milhões de reais),Sergipe - Estoque liquido de capital fixo - (R$),Sergipe - Desemprego,Sergipe - Produção de Cimento (t),Sergipe - Valor,Sergipe - Consumo de Cimento (t)
2004-10-01,1465006.41980925,879823.3959834917,0.7814980584333333,734226.229386566,1874613.0,0.58,5.49,0.48,0.05923480952,0.678,0.596,0.343,1.87,6261937.06181048,10.126809694,132072.0,0.37,17655.0
2004-11-01,1465006.41980925,879823.3959834917,0.7814980584333333,734226.229386566,1874613.0,1.19,5.95,0.53,0.06031435,0.678,0.596,0.343,1.76,6261937.06181048,10.126809694,-1.0,0.37,19516.0
2004-12-01,1465006.41980925,879823.3959834917,0.7814980584333333,734226.229386566,1874613.0,0.71,6.68,0.82,0.0621806,0.678,0.596,0.343,1.71,6261937.06181048,10.126809694,169860.0,0.37,20509.0
2005-01-01,1555302.3973410835,1006459.7347130916,0.8039417001500001,1103152.61521195,1934596.0,0.51,7.6,0.52,0.06401773913,0.678,0.596,0.343,1.74,6261937.06181048,11.1094226835,-1.0,0.37,18244.0
2005-02-01,1555302.3973410835,1006459.7347130916,0.8039417001500001,1103152.61521195,1934596.0,0.75,0.58,0.33,0.0654687619,0.678,0.596,0.343,1.57,6344077.42160595,11.1094226835,-1.0,0.37,18161.0
2005-03-01,1555302.3973410835,1006459.7347130916,0.8039417001500001,1103152.61521195,1934596.0,0.44,1.17,0.4,0.06729072222,0.678,0.596,0.343,1.49,6344077.42160595,11.1094226835,39655.0,0.36,23259.0
2005-04-01,1555302.3973410835,1006459.7347130916,0.8039417001500001,1103152.61521195,1934596.0,0.67,1.79,0.99,0.068961,0.678,0.596,0.343,1.37,6344077.42160595,11.1094226835,208317.0,0.37,19137.0
2005-05-01,1555302.3973410835,1006459.7347130916,0.8039417001500001,1103152.61521195,1934596.0,0.72,2.68,0.51,0.07010755,0.678,0.596,0.343,1.37,6344077.42160595,11.1094226835,81082.0,0.37,15066.0
2005-06-01,1555302.3973410835,1006459.7347130916,0.8039417001500001,1103152.61521195,1934596.0,2.09,3.18,-0.25,0.07106719048,0.678,0.596,0.343,1.18,6344077.42160595,11.1094226835,58333.0,0.37,17048.0
2005-07-01,1555302.3973410835,1006459.7347130916,0.8039417001500001,1103152.61521195,1934596.0,0.76,3.16,-0.45,0.071533,0.678,0.596,0.343,0.95,6344077.42160595,11.1094226835,329859.0,0.37,17748.0
2005-08-01,1555302.3973410835,1006459.7347130916,0.8039417001500001,1103152.61521195,1934596.0,0.11,3.42,-0.4,0.07145590476,0.678,0.596,0.343,0.76,6344077.42160595,11.1094226835,69837.0,0.37,20650.0
2005-09-01,1555302.3973410835,1006459.7347130916,0.8039417001500001,1103152.61521195,1934596.0,0.02,3.59,-0.79,0.07154213043,0.678,0.596,0.343,0.55,6344077.42160595,11.1094226835,37452.0,0.36,17941.0
2005-10-01,1555302.3973410835,1006459.7347130916,0.8039417001500001,1103152.61521195,1934596.0,0.24,3.95,-0.13,0.07107052381,0.678,0.596,0.343,0.29,6344077.42160595,11.1094226835,130590.0,0.35,16431.0
2005-11-01,1555302.3973410835,1006459.7347130916,0.8039417001500001,1103152.61521195,1934596.0,0.19,4.73,0.63,0.0698922,0.678,0.596,0.343,0.25,6344077.42160595,11.1094226835,-1.0,0.36,17995.0
2005-12-01,1555302.3973410835,1006459.7347130916,0.8039417001500001,1103152.61521195,1934596.0,0.28,5.31,0.33,0.0686031,0.678,0.596,0.343,0.24,6344077.42160595,11.1094226835,139924.0,0.36,20117.0
2006-01-01,1551098.5573693663,1078329.49445965,0.7882435468833333,813442.800203442,1967791.0,0.37,5.69,0.07,0.06651395455,0.678,0.596,0.343,0.25,6344077.42160595,13.9752647281,-1.0,0.36,18774.0
2006-02-01,1551098.5573693663,1078329.49445965,0.7882435468833333,813442.800203442,1967791.0,0.34,0.59,0.72,0.06452986364,0.678,0.596,0.343,0.27,6428173.06422105,13.9752647281,-1.0,0.36,19740.0
2006-03-01,1551098.5573693663,1078329.49445965,0.7882435468833333,813442.800203442,1967791.0,0.19,1.0,-0.06,0.06327316667,0.678,0.596,0.343,0.37,6428173.06422105,13.9752647281,50626.0,0.34,24599.0
2006-04-01,1551098.5573693663,1078329.49445965,0.7882435468833333,813442.800203442,1967791.0,0.2,1.44,-0.45,0.06142243478,0.678,0.596,0.343,0.29,6428173.06422105,13.9752647281,213705.0,0.36,20716.0
2006-05-01,1551098.5573693663,1078329.49445965,0.7882435468833333,813442.800203442,1967791.0,0.36,1.65,0.02,0.05957944444,0.678,0.596,0.343,0.12,6428173.06422105,13.9752647281,57980.0,0.36,22626.0
2006-06-01,1551098.5573693663,1078329.49445965,0.7882435468833333,813442.800203442,1967791.0,1.32,1.75,0.38,0.05789063636,0.678,0.596,0.343,0.13,6428173.06422105,13.9752647281,54917.0,0.36,18272.0
2006-07-01,1551098.5573693663,1078329.49445965,0.7882435468833333,813442.800203442,1967791.0,0.9,1.54,0.67,0.05608404762,0.678,0.596,0.343,0.21,6428173.06422105,13.9752647281,311020.0,0.36,17882.0
2006-08-01,1551098.5573693663,1078329.49445965,0.7882435468833333,813442.800203442,1967791.0,0.47,1.73,0.17,0.05540461905,0.678,0.596,0.343,0.33,6428173.06422105,13.9752647281,67916.0,0.365,24696.0
2006-09-01,1551098.5573693663,1078329.49445965,0.7882435468833333,813442.800203442,1967791.0,0.24,1.78,0.41,0.05429469565,0.678,0.596,0.343,0.44,6428173.06422105,13.9752647281,40422.0,0.365,24177.0
2006-10-01,1551098.5573693663,1078329.49445965,0.7882435468833333,813442.800203442,1967791.0,0.11,2.0,0.24,0.0526018,0.678,0.596,0.343,0.6,6428173.06422105,13.9752647281,119222.0,0.35,25541.0
2006-11-01,1551098.5573693663,1078329.49445965,0.7882435468833333,813442.800203442,1967791.0,0.21,2.33,0.81,0.05183728571,0.678,0.596,0.343,0.57,6428173.06422105,13.9752647281,-1.0,0.33,26724.0
2006-12-01,1551098.5573693663,1078329.49445965,0.7882435468833333,813442.800203442,1967791.0,0.23,2.65,0.57,0.0507845,0.678,0.596,0.343,0.59,6428173.06422105,13.9752647281,155725.0,0.33,26478.0
2007-01-01,1652849.236328767,1226907.8901605585,0.8261197799666666,902302.859795366,2000738.0,0.36,3.14,0.26,0.049164,0.678,0.596,0.343,0.69,6428173.06422105,10.2924574786,-1.0,0.33,29457.0
2007-02-01,1652849.236328767,1226907.8901605585,0.8261197799666666,902302.859795366,2000738.0,0.45,0.44,0.43,0.04896572727,0.678,0.596,0.343,0.68,6529451.68540568,10.2924574786,-1.0,0.34,22985.0
2007-03-01,1652849.236328767,1226907.8901605585,0.8261197799666666,902302.859795366,2000738.0,0.21,0.88,0.23,0.04827277778,0.678,0.596,0.343,0.6,6529451.68540568,10.2924574786,53081.0,0.34,26894.0
2007-04-01,1652849.236328767,1226907.8901605585,0.8261197799666666,902302.859795366,2000738.0,0.27,1.26,0.22,0.04758977273,0.678,0.596,0.343,0.57,6529451.68540568,10.2924574786,260810.0,0.33,23109.0
2007-05-01,1652849.236328767,1226907.8901605585,0.8261197799666666,902302.859795366,2000738.0,0.46,1.51,0.14,0.04703045,0.678,0.596,0.343,0.54,6529451.68540568,10.2924574786,69061.0,0.32,23938.0
2007-06-01,1652849.236328767,1226907.8901605585,0.8261197799666666,902302.859795366,2000738.0,1.15,1.79,0.16,0.046503,0.678,0.596,0.343,0.48,6529451.68540568,10.2924574786,52030.0,0.32,22669.0
