data,Espirito_Santo - PIB - Per Capita,Espirito_Santo - PIB - Preços de Mercado,Espirito_Santo - PIB - Estadual,Espirito_Santo - PIB - Construção Civil,Espirito_Santo - População,Espirito_Santo - INCC (%),Espirito_Santo - IPCA - Variação mensal durante o Plano Real (%),Espirito_Santo - IGP-DI,Espirito_Santo - Taxa Selic (%),Espirito_Santo - IDH - Longevidade,Espirito_Santo - IDH - Renda,Espirito_Santo - IDH - Educação,Espirito_Santo - NFSP - Fluxo Mensal (Milhões de reais),Espirito_Santo - Estoque liquido de capital fixo - (R$),Espirito_Santo - Desemprego,Espirito_Santo - Produção de Cimento (t),Espirito_Santo - Valor,Espirito_Santo - Consumo de Cimento (t)
2007-05-01,4810503.130263758,3570830.367609358,1.3885991280333334,3351267.33773751,3464285.0,0.46,1.51,0.14,0.04703045,0.777,0.687,0.491,0.54,6529451.68540568,7.5031061604,157633.0,0.25,76813.0
2007-06-01,4810503.130263758,3570830.367609358,1.3885991280333334,3351267.33773751,3464285.0,1.15,1.79,0.16,0.046503,0.777,0.687,0.491,0.48,6529451.68540568,7.5031061604,28770.0,0.24,75526.0
2007-07-01,4810503.130263758,3570830.367609358,1.3885991280333334,3351267.33773751,3464285.0,0.92,2.08,0.26,0.0450878,0.777,0.687,0.491,0.39,6529451.68540568,7.5031061604,70379.0,0.25,81935.0
2007-08-01,4810503.130263758,3570830.367609358,1.3885991280333334,3351267.33773751,3464285.0,0.31,2.32,0.37,0.04400663636,0.777,0.687,0.491,0.3,6529451.68540568,7.5031061604,131711.0,0.25,86992.0
2007-09-01,4810503.130263758,3570830.367609358,1.3885991280333334,3351267.33773751,3464285.0,0.26,2.8,1.39,0.04295447826,0.777,0.687,0.491,0.28,6529451.68540568,7.5031061604,35908.0,0.25,82440.0
2007-10-01,4810503.130263758,3570830.367609358,1.3885991280333334,3351267.33773751,3464285.0,0.51,2.99,1.17,0.04220568421,0.777,0.687,0.491,0.4,6529451.68540568,7.5031061604,296715.0,0.25,93881.0
2007-11-01,4810503.130263758,3570830.367609358,1.3885991280333334,3351267.33773751,3464285.0,0.51,3.3,0.75,0.04206336364,0.777,0.687,0.491,0.5,6529451.68540568,7.5031061604,168042.0,0.26,92572.0
2007-12-01,4810503.130263758,3570830.367609358,1.3885991280333334,3351267.33773751,3464285.0,0.36,3.69,1.05,0.042065,0.777,0.687,0.491,0.52,6529451.68540568,7.5031061604,13402.0,0.28,86158.0
2008-01-01,5086614.783273184,4018912.105157392,1.4334112934666667,2908471.83499862,3351669.0,0.59,4.46,1.47,0.042065,0.777,0.687,0.491,0.47,6529451.68540568,10.8057338048,611355.0,0.28,94468.0
2008-02-01,5086614.783273184,4018912.105157392,1.4334112934666667,2908471.83499862,3351669.0,0.38,0.54,0.99,0.04205845455,0.777,0.687,0.491,0.63,6647965.94362564,10.8057338048,-1.0,0.28,87485.0
