data,Paraná - PIB - Per Capita,Paraná - PIB - Preços de Mercado,Paraná - PIB - Estadual,Paraná - PIB - Construção Civil,Paraná - População,Paraná - INCC (%),Paraná - IPCA - Variação mensal durante o Plano Real (%),Paraná - IGP-DI,Paraná - Taxa Selic (%),Paraná - IDH - Longevidade,Paraná - IDH - Renda,Paraná - IDH - Educação,Paraná - NFSP - Fluxo Mensal (Milhões de reais),Paraná - Estoque liquido de capital fixo - (R$),Paraná - Desemprego,Paraná - Produção de Cimento (t),Paraná - Valor,Paraná - Consumo de Cimento (t)
2003-11-01,12087642.024253,6362768.169897858,1.2336838765166669,8105917.99109044,9798006.0,0.65,8.37,0.44,0.07083917391,0.77,0.66,0.67,2.65,6172460.00795063,-1.0,-1.0,0.33,172099.0
2003-12-01,12087642.024253,6362768.169897858,1.2336838765166669,8105917.99109044,9798006.0,1.04,8.74,0.48,0.0667516,0.77,0.66,0.67,2.36,6172460.00795063,-1.0,15410.0,0.33,165917.0
2004-01-01,13387851.44468725,8040200.209171017,1.3513710031666666,6115525.40647237,9906866.0,0.16,9.3,0.6,0.062015,0.77,0.66,0.67,1.57,6172460.00795063,-1.0,-1.0,0.33,185712.45
2004-02-01,13387851.44468725,8040200.209171017,1.3513710031666666,6115525.40647237,9906866.0,0.33,0.76,0.8,0.0599982381,0.77,0.66,0.67,1.43,6261937.06181048,-1.0,41575.0,0.33,170875.0
2004-03-01,13387851.44468725,8040200.209171017,1.3513710031666666,6115525.40647237,9906866.0,1.0,1.37,1.08,0.05993777778,0.77,0.66,0.67,1.27,6261937.06181048,-1.0,51928.0,0.33,204477.0
2004-04-01,13387851.44468725,8040200.209171017,1.3513710031666666,6115525.40647237,9906866.0,1.16,1.85,0.93,0.05956991304,0.77,0.66,0.67,1.24,6261937.06181048,-1.0,145238.0,0.33,173662.0
2004-05-01,13387851.44468725,8040200.209171017,1.3513710031666666,6115525.40647237,9906866.0,0.59,2.23,1.15,0.0587633,0.77,0.66,0.67,1.21,6261937.06181048,-1.0,63292.0,0.33,162633.0
2004-06-01,13387851.44468725,8040200.209171017,1.3513710031666666,6115525.40647237,9906866.0,1.83,2.75,1.46,0.0581277619,0.77,0.66,0.67,1.35,6261937.06181048,-1.0,50762.0,0.33,190964.95
2004-07-01,13387851.44468725,8040200.209171017,1.3513710031666666,6115525.40647237,9906866.0,0.7,3.48,1.29,0.05822585714,0.77,0.66,0.67,1.59,6261937.06181048,-1.0,702086.0,0.34,193647.0
2004-08-01,13387851.44468725,8040200.209171017,1.3513710031666666,6115525.40647237,9906866.0,1.12,4.42,1.14,0.05813868182,0.77,0.66,0.67,1.72,6261937.06181048,-1.0,167587.0,0.346,214935.0
2004-09-01,13387851.44468725,8040200.209171017,1.3513710031666666,6115525.40647237,9906866.0,0.81,5.14,1.31,0.05843936364,0.77,0.66,0.67,1.83,6261937.06181048,-1.0,17377.0,0.346,197495.0
2004-10-01,13387851.44468725,8040200.209171017,1.3513710031666666,6115525.40647237,9906866.0,0.58,5.49,0.48,0.05923480952,0.77,0.66,0.67,1.87,6261937.06181048,-1.0,29352.0,0.35,184957.0
2004-11-01,13387851.44468725,8040200.209171017,1.3513710031666666,6115525.40647237,9906866.0,1.19,5.95,0.53,0.06031435,0.77,0.66,0.67,1.76,6261937.06181048,-1.0,-1.0,0.35,197165.0
2004-12-01,13387851.44468725,8040200.209171017,1.3513710031666666,6115525.40647237,9906866.0,0.71,6.68,0.82,0.0621806,0.77,0.66,0.67,1.71,6261937.06181048,-1.0,18958.0,0.352,183387.0
2005-01-01,13870051.023656584,8975520.064517083,1.3684775584000002,6285128.80288437,10135388.0,0.51,7.6,0.52,0.06401773913,0.77,0.66,0.67,1.74,6261937.06181048,-1.0,-1.0,0.352,172044.0
2005-02-01,13870051.023656584,8975520.064517083,1.3684775584000002,6285128.80288437,10135388.0,0.75,0.58,0.33,0.0654687619,0.77,0.66,0.67,1.57,6344077.42160595,-1.0,25522.0,0.352,188841.0
2005-03-01,13870051.023656584,8975520.064517083,1.3684775584000002,6285128.80288437,10135388.0,0.44,1.17,0.4,0.06729072222,0.77,0.66,0.67,1.49,6344077.42160595,-1.0,52438.0,0.352,200253.0
2005-04-01,13870051.023656584,8975520.064517083,1.3684775584000002,6285128.80288437,10135388.0,0.67,1.79,0.99,0.068961,0.77,0.66,0.67,1.37,6344077.42160595,-1.0,129849.0,0.352,188916.0
2005-05-01,13870051.023656584,8975520.064517083,1.3684775584000002,6285128.80288437,10135388.0,0.72,2.68,0.51,0.07010755,0.77,0.66,0.67,1.37,6344077.42160595,-1.0,54081.0,0.352,184994.0
2005-06-01,13870051.023656584,8975520.064517083,1.3684775584000002,6285128.80288437,10135388.0,2.09,3.18,-0.25,0.07106719048,0.77,0.66,0.67,1.18,6344077.42160595,-1.0,58871.0,0.352,192629.0
2005-07-01,13870051.023656584,8975520.064517083,1.3684775584000002,6285128.80288437,10135388.0,0.76,3.16,-0.45,0.071533,0.77,0.66,0.67,0.95,6344077.42160595,-1.0,843484.0,0.352,184723.0
2005-08-01,13870051.023656584,8975520.064517083,1.3684775584000002,6285128.80288437,10135388.0,0.11,3.42,-0.4,0.07145590476,0.77,0.66,0.67,0.76,6344077.42160595,-1.0,151267.0,0.352,203175.0
2005-09-01,13870051.023656584,8975520.064517083,1.3684775584000002,6285128.80288437,10135388.0,0.02,3.59,-0.79,0.07154213043,0.77,0.66,0.67,0.55,6344077.42160595,-1.0,28463.0,0.35,169242.0
2005-10-01,13870051.023656584,8975520.064517083,1.3684775584000002,6285128.80288437,10135388.0,0.24,3.95,-0.13,0.07107052381,0.77,0.66,0.67,0.29,6344077.42160595,-1.0,28999.0,0.346,166786.0
2005-11-01,13870051.023656584,8975520.064517083,1.3684775584000002,6285128.80288437,10135388.0,0.19,4.73,0.63,0.0698922,0.77,0.66,0.67,0.25,6344077.42160595,-1.0,-1.0,0.346,196534.0
2005-12-01,13870051.023656584,8975520.064517083,1.3684775584000002,6285128.80288437,10135388.0,0.28,5.31,0.33,0.0686031,0.77,0.66,0.67,0.24,6344077.42160595,-1.0,18611.0,0.346,177285.0
2006-01-01,13259546.747552084,9218086.286729166,1.2921197439833334,5947862.92224097,10261856.0,0.37,5.69,0.07,0.06651395455,0.77,0.66,0.67,0.25,6344077.42160595,-1.0,-1.0,0.346,184040.0
2006-02-01,13259546.747552084,9218086.286729166,1.2921197439833334,5947862.92224097,10261856.0,0.34,0.59,0.72,0.06452986364,0.77,0.66,0.67,0.27,6428173.06422105,-1.0,31312.0,0.34,154356.0
2006-03-01,13259546.747552084,9218086.286729166,1.2921197439833334,5947862.92224097,10261856.0,0.19,1.0,-0.06,0.06327316667,0.77,0.66,0.67,0.37,6428173.06422105,-1.0,47971.0,0.34,196251.0
2006-04-01,13259546.747552084,9218086.286729166,1.2921197439833334,5947862.92224097,10261856.0,0.2,1.44,-0.45,0.06142243478,0.77,0.66,0.67,0.29,6428173.06422105,-1.0,150708.0,0.34,162619.0
2006-05-01,13259546.747552084,9218086.286729166,1.2921197439833334,5947862.92224097,10261856.0,0.36,1.65,0.02,0.05957944444,0.77,0.66,0.67,0.12,6428173.06422105,-1.0,58688.0,0.338,197991.0
2006-06-01,13259546.747552084,9218086.286729166,1.2921197439833334,5947862.92224097,10261856.0,1.32,1.75,0.38,0.05789063636,0.77,0.66,0.67,0.13,6428173.06422105,-1.0,47984.0,0.338,183933.0
2006-07-01,13259546.747552084,9218086.286729166,1.2921197439833334,5947862.92224097,10261856.0,0.9,1.54,0.67,0.05608404762,0.77,0.66,0.67,0.21,6428173.06422105,-1.0,879182.0,0.338,188029.0
2006-08-01,13259546.747552084,9218086.286729166,1.2921197439833334,5947862.92224097,10261856.0,0.47,1.73,0.17,0.05540461905,0.77,0.66,0.67,0.33,6428173.06422105,-1.0,170206.0,0.338,201402.0
2006-09-01,13259546.747552084,9218086.286729166,1.2921197439833334,5947862.92224097,10261856.0,0.24,1.78,0.41,0.05429469565,0.77,0.66,0.67,0.44,6428173.06422105,-1.0,25386.0,0.338,179982.0
2006-10-01,13259546.747552084,9218086.286729166,1.2921197439833334,5947862.92224097,10261856.0,0.11,2.0,0.24,0.0526018,0.77,0.66,0.67,0.6,6428173.06422105,-1.0,32783.0,0.34,192452.0
2006-11-01,13259546.747552084,9218086.286729166,1.2921197439833334,5947862.92224097,10261856.0,0.21,2.33,0.81,0.05183728571,0.77,0.66,0.67,0.57,6428173.06422105,-1.0,-1.0,0.34,193306.0
2006-12-01,13259546.747552084,9218086.286729166,1.2921197439833334,5947862.92224097,10261856.0,0.23,2.65,0.57,0.0507845,0.77,0.66,0.67,0.59,6428173.06422105,-1.0,14181.0,0.34,169285.0
2007-01-01,13409796.504261332,9954074.92402,1.2909703011,5230491.87818463,10387378.0,0.36,3.14,0.26,0.049164,0.77,0.66,0.67,0.69,6428173.06422105,-1.0,-1.0,0.34,168549.0
2007-02-01,13409796.504261332,9954074.92402,1.2909703011,5230491.87818463,10387378.0,0.45,0.44,0.43,0.04896572727,0.77,0.66,0.67,0.68,6529451.68540568,-1.0,49822.0,0.34,160048.0
2007-03-01,13409796.504261332,9954074.92402,1.2909703011,5230491.87818463,10387378.0,0.21,0.88,0.23,0.04827277778,0.77,0.66,0.67,0.6,6529451.68540568,-1.0,61009.0,0.34,193273.0
2007-04-01,13409796.504261332,9954074.92402,1.2909703011,5230491.87818463,10387378.0,0.27,1.26,0.22,0.04758977273,0.77,0.66,0.67,0.57,6529451.68540568,-1.0,159498.0,0.34,172940.0
2007-05-01,13409796.504261332,9954074.92402,1.2909703011,5230491.87818463,10387378.0,0.46,1.51,0.14,0.04703045,0.77,0.66,0.67,0.54,6529451.68540568,-1.0,70078.0,0.34,184252.0
2007-06-01,13409796.504261332,9954074.92402,1.2909703011,5230491.87818463,10387378.0,1.15,1.79,0.16,0.046503,0.77,0.66,0.67,0.48,6529451.68540568,-1.0,76400.0,0.34,188100.0
2007-07-01,13409796.504261332,9954074.92402,1.2909703011,5230491.87818463,10387378.0,0.92,2.08,0.26,0.0450878,0.77,0.66,0.67,0.39,6529451.68540568,-1.0,998501.0,0.34,193222.0
2007-08-01,13409796.504261332,9954074.92402,1.2909703011,5230491.87818463,10387378.0,0.31,2.32,0.37,0.04400663636,0.77,0.66,0.67,0.3,6529451.68540568,-1.0,199234.0,0.34,230158.0
2007-09-01,13409796.504261332,9954074.92402,1.2909703011,5230491.87818463,10387378.0,0.26,2.8,1.39,0.04295447826,0.77,0.66,0.67,0.28,6529451.68540568,-1.0,24676.0,0.32,217347.0
2007-10-01,13409796.504261332,9954074.92402,1.2909703011,5230491.87818463,10387378.0,0.51,2.99,1.17,0.04220568421,0.77,0.66,0.67,0.4,6529451.68540568,-1.0,31524.0,0.308,244665.0
2007-11-01,13409796.504261332,9954074.92402,1.2909703011,5230491.87818463,10387378.0,0.51,3.3,0.75,0.04206336364,0.77,0.66,0.67,0.5,6529451.68540568,-1.0,-1.0,0.313,235989.0
2007-12-01,13409796.504261332,9954074.92402,1.2909703011,5230491.87818463,10387378.0,0.36,3.69,1.05,0.042065,0.77,0.66,0.67,0.52,6529451.68540568,-1.0,32460.0,0.3211,194177.0
2008-01-01,15184304.297012,11997052.449957,1.4541748074833334,7038600.85638513,10284503.0,0.59,4.46,1.47,0.042065,0.77,0.66,0.67,0.47,6529451.68540568,-1.0,-1.0,0.3211,237020.0
2008-02-01,15184304.297012,11997052.449957,1.4541748074833334,7038600.85638513,10284503.0,0.38,0.54,0.99,0.04205845455,0.77,0.66,0.67,0.63,6647965.94362564,-1.0,49808.0,0.32,230336.0
2008-03-01,15184304.297012,11997052.449957,1.4541748074833334,7038600.85638513,10284503.0,0.4,1.03,0.38,0.04206310526,0.77,0.66,0.67,0.65,6647965.94362564,-1.0,64415.0,0.32,227151.0
2008-04-01,15184304.297012,11997052.449957,1.4541748074833334,7038600.85638513,10284503.0,0.66,1.52,0.7,0.0420614,0.77,0.66,0.67,0.7,6647965.94362564,-1.0,168723.0,0.31,244623.0
2008-05-01,15184304.297012,11997052.449957,1.4541748074833334,7038600.85638513,10284503.0,0.87,2.08,1.12,0.04274185714,0.77,0.66,0.67,0.83,6647965.94362564,-1.0,74450.0,0.3195,247408.0
2008-06-01,15184304.297012,11997052.449957,1.4541748074833334,7038600.85638513,10284503.0,2.02,2.88,1.88,0.0436576,0.77,0.66,0.67,0.93,6647965.94362564,-1.0,77622.0,0.33,246127.0
2008-07-01,15184304.297012,11997052.449957,1.4541748074833334,7038600.85638513,10284503.0,1.92,3.64,1.89,0.04529861905,0.77,0.66,0.67,1.14,6647965.94362564,-1.0,1125809.0,0.33,287988.0
2008-08-01,15184304.297012,11997052.449957,1.4541748074833334,7038600.85638513,10284503.0,1.46,4.19,1.12,0.04627117391,0.77,0.66,0.67,1.33,6647965.94362564,-1.0,184113.0,0.33,248671.0
2008-09-01,15184304.297012,11997052.449957,1.4541748074833334,7038600.85638513,10284503.0,1.18,4.48,-0.38,0.04822657143,0.77,0.66,0.67,1.42,6647965.94362564,-1.0,35686.0,0.33,270025.0
2008-10-01,15184304.297012,11997052.449957,1.4541748074833334,7038600.85638513,10284503.0,0.95,4.76,0.36,0.04987840909,0.77,0.66,0.67,1.23,6647965.94362564,-1.0,40112.0,0.325,278202.0
2008-11-01,15184304.297012,11997052.449957,1.4541748074833334,7038600.85638513,10284503.0,0.77,5.23,1.09,0.05083973913,0.77,0.66,0.67,1.22,6647965.94362564,-1.0,-1.0,0.325,248402.0
2008-12-01,15184304.297012,11997052.449957,1.4541748074833334,7038600.85638513,10284503.0,0.5,5.61,0.07,0.050753,0.77,0.66,0.67,1.24,6647965.94362564,-1.0,30931.0,0.319,235568.0
2009-01-01,15457956.837165415,13285411.956090083,1.45965129715,7312984.09303936,10590169.0,0.17,5.9,-0.44,0.050823,0.77,0.66,0.67,1.13,6647965.94362564,-1.0,-1.0,0.319,233383.0
2009-02-01,15457956.837165415,13285411.956090083,1.45965129715,7312984.09303936,10590169.0,0.33,0.48,0.01,0.04964833333,0.77,0.66,0.67,0.95,6773699.30541316,-1.0,27438.0,0.319,217548.0
2009-03-01,15457956.837165415,13285411.956090083,1.45965129715,7312984.09303936,10590169.0,0.27,1.03,-0.13,0.047314,0.77,0.66,0.67,0.87,6773699.30541316,-1.0,44488.0,0.33,268149.0
2009-04-01,15457956.837165415,13285411.956090083,1.45965129715,7312984.09303936,10590169.0,-0.25,1.23,-0.84,0.04392790909,0.77,0.66,0.67,0.82,6773699.30541316,-1.0,168300.0,0.3,255275.0
2009-05-01,15457956.837165415,13285411.956090083,1.45965129715,7312984.09303936,10590169.0,-0.04,1.72,0.04,0.04181185,0.77,0.66,0.67,0.67,6773699.30541316,-1.0,103377.0,0.3,246500.0
2009-06-01,15457956.837165415,13285411.956090083,1.45965129715,7312984.09303936,10590169.0,1.39,2.2,0.18,0.0384042,0.77,0.66,0.67,0.55,6773699.30541316,-1.0,88078.0,0.3,248216.0
2009-07-01,15457956.837165415,13285411.956090083,1.45965129715,7312984.09303936,10590169.0,0.7,2.57,-0.32,0.03616333333,0.77,0.66,0.67,0.38,6773699.30541316,-1.0,1135503.0,0.31,255050.0
2009-08-01,15457956.837165415,13285411.956090083,1.45965129715,7312984.09303936,10590169.0,0.26,2.81,-0.64,0.03422486957,0.77,0.66,0.67,0.19,6773699.30541316,-1.0,166998.0,0.3,275936.0
2009-09-01,15457956.837165415,13285411.956090083,1.45965129715,7312984.09303936,10590169.0,-0.05,2.97,0.09,0.032927,0.77,0.66,0.67,0.02,6773699.30541316,-1.0,35755.0,0.305,269300.0
2009-10-01,15457956.837165415,13285411.956090083,1.45965129715,7312984.09303936,10590169.0,0.15,3.21,0.25,0.032927,0.77,0.66,0.67,0.04,6773699.30541316,-1.0,35272.0,0.32,277768.0
2009-11-01,15457956.837165415,13285411.956090083,1.45965129715,7312984.09303936,10590169.0,0.06,3.5,-0.04,0.032927,0.77,0.66,0.67,0.0,6773699.30541316,-1.0,19503.0,0.33,286531.0
2009-12-01,15457956.837165415,13285411.956090083,1.45965129715,7312984.09303936,10590169.0,0.29,3.93,0.07,0.032927,0.77,0.66,0.67,-0.07,6773699.30541316,-1.0,28058.0,0.33,258412.0
2010-01-01,15454258.470043585,14253627.22383075,1.4461820384666666,9070033.22141817,10686247.0,0.1,4.31,-0.11,0.03292531818,0.77,0.66,0.67,-0.06,6773699.30541316,-1.0,-1.0,0.33,255093.0
2010-02-01,15454258.470043585,14253627.22383075,1.4461820384666666,9070033.22141817,10686247.0,0.64,0.75,1.01,0.03292515,0.77,0.66,0.67,-0.02,6930862.75002851,-1.0,55441.0,0.315,252359.0
2010-03-01,15454258.470043585,14253627.22383075,1.4461820384666666,9070033.22141817,10686247.0,0.36,1.54,1.09,0.032927,0.77,0.66,0.67,0.08,6930862.75002851,-1.0,58142.0,0.305,331161.0
2010-04-01,15454258.470043585,14253627.22383075,1.4461820384666666,9070033.22141817,10686247.0,0.75,2.06,0.63,0.032927,0.77,0.66,0.67,0.18,6930862.75002851,-1.0,168322.0,0.305,296522.0
2010-05-01,15454258.470043585,14253627.22383075,1.4461820384666666,9070033.22141817,10686247.0,0.84,2.65,0.72,0.0331908,0.77,0.66,0.67,0.29,6930862.75002851,-1.0,107414.0,0.31,313794.0
2010-06-01,15454258.470043585,14253627.22383075,1.4461820384666666,9070033.22141817,10686247.0,1.81,3.09,1.57,0.03565185714,0.77,0.66,0.67,0.43,6930862.75002851,-1.0,80681.0,0.32,321068.0
2010-07-01,15454258.470043585,14253627.22383075,1.4461820384666666,9070033.22141817,10686247.0,1.09,3.09,0.34,0.0376,0.77,0.66,0.67,0.6,6930862.75002851,-1.0,1270506.0,0.34,338081.0
2010-08-01,15454258.470043585,14253627.22383075,1.4461820384666666,9070033.22141817,10686247.0,0.44,3.1,0.22,0.03897777273,0.77,0.66,0.67,0.67,6930862.75002851,-1.0,197775.0,0.34,349058.0
2010-09-01,15454258.470043585,14253627.22383075,1.4461820384666666,9070033.22141817,10686247.0,0.14,3.14,1.1,0.040203,0.77,0.66,0.67,0.74,6930862.75002851,-1.0,49763.0,0.3224,341011.0
2010-10-01,15454258.470043585,14253627.22383075,1.4461820384666666,9070033.22141817,10686247.0,0.21,3.6,1.1,0.040203,0.77,0.66,0.67,0.85,6930862.75002851,-1.0,39935.0,0.3224,326660.0
2010-11-01,15454258.470043585,14253627.22383075,1.4461820384666666,9070033.22141817,10686247.0,0.2,4.38,1.03,0.040203,0.77,0.66,0.67,0.93,6930862.75002851,-1.0,46913.0,0.35,333032.0
2010-12-01,15454258.470043585,14253627.22383075,1.4461820384666666,9070033.22141817,10686247.0,0.37,5.25,1.58,0.040203,0.77,0.66,0.67,0.99,6930862.75002851,-1.0,41579.0,0.36,291609.0
2011-01-01,16077046.758510169,16077046.758510169,1.4984721964666667,10899828.5848841,10444526.0,0.67,5.91,0.38,0.04020769565,0.77,0.66,0.67,1.23,6930862.75002851,-1.0,31733.0,0.35,313591.0
2011-02-01,16077046.758510169,16077046.758510169,1.4984721964666667,10899828.5848841,10444526.0,0.41,0.83,0.98,0.04089519048,0.77,0.66,0.67,1.22,7102235.53510611,-1.0,51226.0,0.35,308435.0
2011-03-01,16077046.758510169,16077046.758510169,1.4984721964666667,10899828.5848841,10444526.0,0.28,1.64,0.96,0.0420272,0.77,0.66,0.67,1.18,7102235.53510611,-1.0,66012.0,0.35,354219.0
2011-04-01,16077046.758510169,16077046.758510169,1.4984721964666667,10899828.5848841,10444526.0,0.43,2.44,0.61,0.04364038095,0.77,0.66,0.67,1.15,7102235.53510611,-1.0,138491.0,0.35,321241.0
2011-05-01,16077046.758510169,16077046.758510169,1.4984721964666667,10899828.5848841,10444526.0,1.06,3.23,0.5,0.04404368421,0.77,0.66,0.67,1.17,7102235.53510611,-1.0,100885.0,0.355,369826.0
2011-06-01,16077046.758510169,16077046.758510169,1.4984721964666667,10899828.5848841,10444526.0,2.94,3.71,0.01,0.044698,0.77,0.66,0.67,1.11,7102235.53510611,-1.0,105165.0,0.36,366169.0
2011-07-01,16077046.758510169,16077046.758510169,1.4984721964666667,10899828.5848841,10444526.0,0.37,3.87,-0.13,0.04533085714,0.77,0.66,0.67,0.91,7102235.53510611,-1.0,1295521.0,0.37,343894.0
2011-08-01,16077046.758510169,16077046.758510169,1.4984721964666667,10899828.5848841,10444526.0,0.45,4.04,-0.05,0.04587866667,0.77,0.66,0.67,0.84,7102235.53510611,-1.0,188556.0,0.36,355596.0
2011-09-01,16077046.758510169,16077046.758510169,1.4984721964666667,10899828.5848841,10444526.0,0.13,4.42,0.61,0.04646017391,0.77,0.66,0.67,0.78,7102235.53510611,-1.0,44407.0,0.35,367288.0
2011-10-01,16077046.758510169,16077046.758510169,1.4984721964666667,10899828.5848841,10444526.0,0.14,4.97,0.75,0.04464585714,0.77,0.66,0.67,0.73,7102235.53510611,-1.0,53303.0,0.35,365427.0
2011-11-01,16077046.758510169,16077046.758510169,1.4984721964666667,10899828.5848841,10444526.0,0.23,5.43,0.4,0.04391405,0.77,0.66,0.67,0.7,7102235.53510611,-1.0,67946.0,0.35,367294.0
2011-12-01,16077046.758510169,16077046.758510169,1.4984721964666667,10899828.5848841,10444526.0,0.72,5.97,0.43,0.042849,0.77,0.66,0.67,0.64,7102235.53510611,-1.0,139122.0,0.35,341962.0
2012-01-01,16836992.015687667,18237592.723388,1.601639368675,12515648.990471,10512349.0,0.11,6.5,-0.16,0.04106463636,0.77,0.66,0.67,0.46,7102235.53510611,-1.0,33164.0,0.35,357265.0
2012-02-01,16836992.015687667,18237592.723388,1.601639368675,12515648.990471,10512349.0,0.89,0.56,0.3,0.0403295,0.77,0.66,0.67,0.38,7283723.05855449,-1.0,61086.0,0.35,353838.0
2012-03-01,16836992.015687667,18237592.723388,1.601639368675,12515648.990471,10512349.0,0.3,1.01,0.07,0.03927,0.77,0.66,0.67,0.3,7283723.05855449,-1.0,67931.0,0.34,398920.0
2012-04-01,16836992.015687667,18237592.723388,1.601639368675,12515648.990471,10512349.0,0.51,1.22,0.56,0.037179,0.77,0.66,0.67,0.26,7283723.05855449,-1.0,164416.0,0.34,349449.0
2012-05-01,16836992.015687667,18237592.723388,1.601639368675,12515648.990471,10512349.0,0.75,1.87,1.02,0.035474,0.77,0.66,0.67,0.25,7283723.05855449,-1.0,139489.0,0.34,403551.0
2012-06-01,16836992.015687667,18237592.723388,1.601639368675,12515648.990471,10512349.0,1.88,2.24,0.91,0.03373136364,0.77,0.66,0.67,0.35,7283723.05855449,-1.0,93468.0,0.34,319230.0
2012-07-01,16836992.015687667,18237592.723388,1.601639368675,12515648.990471,10512349.0,0.73,2.32,0.69,0.0319778,0.77,0.66,0.67,0.51,7283723.05855449,-1.0,1317734.0,0.35,394116.0
2012-08-01,16836992.015687667,18237592.723388,1.601639368675,12515648.990471,10512349.0,0.67,2.76,1.52,0.03080763636,0.77,0.66,0.67,0.61,7283723.05855449,-1.0,221148.0,0.34,444552.0
2012-09-01,16836992.015687667,18237592.723388,1.601639368675,12515648.990471,10512349.0,0.26,3.18,1.29,0.02997965217,0.77,0.66,0.67,0.79,7283723.05855449,-1.0,57169.0,0.34,379035.0
2012-10-01,16836992.015687667,18237592.723388,1.601639368675,12515648.990471,10512349.0,0.22,3.77,0.88,0.028296,0.77,0.66,0.67,0.88,7283723.05855449,-1.0,101993.0,0.36,396572.0
2012-11-01,16836992.015687667,18237592.723388,1.601639368675,12515648.990471,10512349.0,0.21,4.38,-0.31,0.02770736364,0.77,0.66,0.67,0.89,7283723.05855449,-1.0,64197.0,0.36,395809.0
2012-12-01,16836992.015687667,18237592.723388,1.601639368675,12515648.990471,10512349.0,0.33,5.01,0.25,0.027371,0.77,0.66,0.67,0.84,7283723.05855449,-1.0,148538.0,0.36,330632.0
2013-01-01,17313983.52873783,20243938.14956942,1.636829698625,14439478.5923716,10577755.0,0.16,5.84,0.66,0.02743595,0.77,0.66,0.67,0.88,7283723.05855449,-1.0,49115.0,0.38,377297.0
2013-02-01,17313983.52873783,20243938.14956942,1.636829698625,14439478.5923716,10577755.0,0.65,0.86,0.31,0.02726,0.77,0.66,0.67,0.98,7469859.82561107,-1.0,56182.0,0.375,339283.0
2013-03-01,17313983.52873783,20243938.14956942,1.636829698625,14439478.5923716,10577755.0,0.6,1.47,0.2,0.0273115,0.77,0.66,0.67,1.0,7469859.82561107,-1.0,57885.0,0.375,353113.0
2013-04-01,17313983.52873783,20243938.14956942,1.636829698625,14439478.5923716,10577755.0,0.5,1.94,0.31,0.02739875,0.77,0.66,0.67,1.03,7469859.82561107,-1.0,160553.0,0.38,417807.0
2013-05-01,17313983.52873783,20243938.14956942,1.636829698625,14439478.5923716,10577755.0,0.74,2.5,-0.06,0.02781163636,0.77,0.66,0.67,0.98,7469859.82561107,-1.0,117579.0,0.4,390998.0
2013-06-01,17313983.52873783,20243938.14956942,1.636829698625,14439478.5923716,10577755.0,2.25,2.88,0.32,0.02842080952,0.77,0.66,0.67,0.88,7469859.82561107,-1.0,103589.0,0.3939999999999999,321551.0
