Ano,PIB - Atividades imobiliárias (média 1995 = 100)
2009-10,165.61551200380296
2009-11,166.21570004913676
2009-12,166.81588809447058
2010-1,167.41607613980437
2010-2,168.1125206007806
2010-3,168.80896506175682
2010-4,169.50540952273306
2010-5,169.9891290692008
2010-6,170.47284861566854
2010-7,170.95656816213628
2010-8,171.25856541637074
2010-9,171.5605626706052
2010-10,171.86255992483967
2010-11,172.0107835827681
2010-12,172.15900724069655
2011-1,172.307230898625
2011-2,172.5793154783086
2011-3,172.85140005799215
2011-4,173.12348463767574
2011-5,173.56700888087894
2011-6,174.01053312408214
2011-7,174.45405736728534
2011-8,175.19370581801144
2011-9,175.9333542687375
2011-10,176.6730027194636
2011-11,177.46181197885645
2011-12,178.25062123824932
2012-1,179.03943049764217
2012-2,179.8784378778589
2012-3,180.71744525807563
2012-4,181.55645263829234
2012-5,182.43461399412513
2012-6,183.31277534995792
2012-7,184.1909367057907
2012-8,185.00563820463134
2012-9,185.82033970347197
2012-10,186.6350412023126
2012-11,187.37475077627036
2012-12,188.11446035022811
2013-1,188.85416992418587
2013-2,189.37720807845562
2013-3,189.90024623272535
2013-4,190.4232843869951
2013-5,190.83744220181407
2013-6,191.25160001663303
2013-7,191.665757831452
2013-8,191.88514518759072
2013-9,192.10453254372948
2013-10,192.3239198998682
2013-11,192.341652824172
2013-12,192.35938574847583
2014-1,192.37711867277963
2014-2,192.5177870523616
2014-3,192.6584554319436
2014-4,192.79912381152556
2014-5,192.89817419808338
2014-6,192.9972245846412
2014-7,193.09627497119902
2014-8,193.10516990823825
2014-9,193.11406484527748
2014-10,193.1229597823167
2014-11,192.92510572039646
2014-12,192.7272516584762
2015-1,192.52939759655595
2015-2,192.50489762526814
2015-3,192.48039765398036
2015-4,192.45589768269255
2015-5,192.51786474050834
2015-6,192.5798317983241
2015-7,192.6417988561399
2015-8,192.69809194256402
2015-9,192.75438502898817
2015-10,192.8106781154123
2015-11,192.71500366484773
2015-12,192.6193292142832
2016-1,192.52365476371864
2016-2,192.57455969022863
2016-3,192.62546461673858
2016-4,192.67636954324857
2016-5,192.66028229351025
2016-6,192.64419504377193
2016-7,192.6281077940336
2016-8,192.82149548554767
2016-9,193.01488317706176
2016-10,193.20827086857582
2016-11,193.39165227367104
2016-12,193.5750336787663
2017-1,193.7584150838615
2017-2,194.24630616402396
2017-3,194.7341972441864
2017-4,195.22208832434885
2017-5,195.5819053334755
2017-6,195.9417223426022
2017-7,196.30153935172885
2017-8,196.77835465072275
2017-9,197.25516994971665
2017-10,197.73198524871054
2017-11,198.21171178898325
2017-12,198.69143832925596
2018-1,199.17116486952867
2018-2,199.8725029340304
2018-3,200.5738409985321
2018-4,201.27517906303382
2018-5,201.74938937140737
2018-6,202.22359967978093
2018-7,202.6978099881545
2018-8,203.19788546332487
2018-9,203.69796093849527
2018-10,204.19803641366565
2018-11,204.5347725127917
2018-12,204.87150861191773
2019-1,205.2082447110438
2019-2,205.60270928685117
2019-3,205.99717386265854
2019-4,206.39163843846592
2019-5,206.56086067824953
2019-6,206.7300829180331
2019-7,206.8993051578167
2019-8,207.09247048804852
2019-9,207.28563581828033
2019-10,207.47880114851213
2019-11,207.78167552938635
2019-12,208.08454991026056
2020-1,208.38742429113478
2020-2,208.9087339298053
2020-3,209.43004356847584
2020-4,209.95135320714635
2020-5,210.3279455198243
2020-6,210.70453783250227
2020-7,211.08113014518023
2020-8,211.41360692767284
2020-9,211.7460837101655
2020-10,212.0785604926581
2020-11,212.30677050029644
2020-12,212.53498050793473
2021-1,212.76319051557306
2021-2,213.27426773577787
2021-3,213.78534495598268
2021-4,214.2964221761875
2021-5,214.5743476893728
2021-6,214.85227320255805
2021-7,215.13019871574335
2021-8,215.46208658106983
2021-9,215.79397444639628
2021-10,216.12586231172276
2021-11,216.5064876722535
2021-12,216.88711303278427
2022-1,217.26773839331503
2022-2,218.04731334804353
2022-3,218.82688830277203
2022-4,219.60646325750054
2022-5,220.08827363349485
2022-6,220.5700840094892
2022-7,221.0518943854835
2022-8,221.4374432637
2022-9,221.8229921419165
2022-10,222.208541020133
2022-11,222.1869971028119
2022-12,222.16545318549075
2023-1,222.14390926816964
2023-2,222.34276722342216
2023-3,222.5416251786747
2023-4,222.74048313392723
