,Maranhão - IDH Longevidade
2011-8,0.7399247175139376
2011-9,0.7399464905094666
2011-10,0.7399682635049956
2011-11,0.7399900365005245
2011-12,0.7400118094960535
2012-1,0.7400335824915825
2012-2,0.740040760147774
2012-3,0.7400479378039656
2012-4,0.7400551154601571
2012-5,0.7400622931163486
2012-6,0.7400694707725403
2012-7,0.7400766484287318
2012-8,0.7400838260849233
2012-9,0.7400910037411149
2012-10,0.7400981813973064
2012-11,0.740105359053498
2012-12,0.7401125367096896
2013-1,0.7401197143658811
2013-2,0.7400927679378664
2013-3,0.7400658215098517
2013-4,0.740038875081837
2013-5,0.7400119286538223
2013-6,0.7399849822258076
2013-7,0.7399580357977928
2013-8,0.739931089369778
2013-9,0.7399041429417633
2013-10,0.7398771965137486
2013-11,0.7398502500857339
2013-12,0.7398233036577192
2014-1,0.7397963572297045
2014-2,0.7397324430437997
2014-3,0.7396685288578948
2014-4,0.73960461467199
2014-5,0.7395407004860852
2014-6,0.7394767863001803
2014-7,0.7394128721142755
2014-8,0.7393489579283707
2014-9,0.7392850437424658
2014-10,0.739221129556561
2014-11,0.7391572153706563
2014-12,0.7390933011847514
2015-1,0.7390293869988466
2015-2,0.7396555671814125
2015-3,0.7402817473639784
2015-4,0.7409079275465444
2015-5,0.7415341077291103
2015-6,0.7421602879116762
2015-7,0.7427864680942422
2015-8,0.7434126482768082
2015-9,0.7440388284593741
2015-10,0.74466500864194
2015-11,0.745291188824506
2015-12,0.745917369007072
2016-1,0.7465435491896378
2016-2,0.7464491821380441
2016-3,0.7463548150864505
2016-4,0.7462604480348568
2016-5,0.7461660809832632
2016-6,0.7460717139316695
2016-7,0.7459773468800759
2016-8,0.7458829798284822
2016-9,0.7457886127768885
2016-10,0.7456942457252949
2016-11,0.7455998786737011
2016-12,0.7455055116221075
2017-1,0.7454111445705138
2017-2,0.7452703199081693
2017-3,0.7451294952458247
2017-4,0.7449886705834801
2017-5,0.7448478459211355
2017-6,0.744707021258791
2017-7,0.7445661965964463
2017-8,0.7444253719341017
2017-9,0.7442845472717572
2017-10,0.7441437226094126
2017-11,0.7440028979470681
2017-12,0.7438620732847234
2018-1,0.7437212486223789
2018-2,0.7435297429301242
2018-3,0.7433382372378694
2018-4,0.7431467315456147
2018-5,0.74295522585336
2018-6,0.7427637201611054
2018-7,0.7425722144688507
2018-8,0.7423807087765959
2018-9,0.7421892030843412
2018-10,0.7419976973920865
2018-11,0.7418061916998318
2018-12,0.7416146860075771
2019-1,0.7414231803153224
2019-2,0.7411839619843779
2019-3,0.7409447436534333
2019-4,0.7407055253224888
2019-5,0.7404663069915443
2019-6,0.7402270886605997
2019-7,0.7399878703296552
2019-8,0.7397486519987108
2019-9,0.7395094336677662
2019-10,0.7392702153368217
2019-11,0.7390309970058772
2019-12,0.7387917786749326
2020-1,0.7385525603439881
2020-2,0.7384052312556849
2020-3,0.7382579021673819
2020-4,0.7381105730790787
2020-5,0.7379632439907756
2020-6,0.7378159149024724
2020-7,0.7376685858141694
2020-8,0.7375212567258662
2020-9,0.737373927637563
2020-10,0.73722659854926
2020-11,0.7370792694609568
2020-12,0.7369319403726537
2021-1,0.7367846112843506
2021-2,0.7369496462183229
2021-3,0.7371146811522953
2021-4,0.7372797160862676
2021-5,0.73744475102024
2021-6,0.7376097859542123
2021-7,0.7377748208881847
2021-8,0.7379398558221572
2021-9,0.7381048907561295
2021-10,0.7382699256901019
2021-11,0.7384349606240742
2021-12,0.7385999955580466
2022-1,0.7387650304920189
