,São Paulo - IDH Longevidade
2014-11,0.8499691354895405
2014-12,0.8498065974083038
2015-1,0.849644059327067
2015-2,0.8503394765712329
2015-3,0.8510348938153987
2015-4,0.8517303110595645
2015-5,0.8524257283037303
2015-6,0.8531211455478962
2015-7,0.853816562792062
2015-8,0.8545119800362279
2015-9,0.8552073972803937
2015-10,0.8559028145245595
2015-11,0.8565982317687254
2015-12,0.8572936490128912
2016-1,0.8579890662570571
2016-2,0.8577844379711257
2016-3,0.8575798096851943
2016-4,0.8573751813992629
2016-5,0.8571705531133316
2016-6,0.8569659248274002
2016-7,0.8567612965414688
2016-8,0.8565566682555373
2016-9,0.856352039969606
2016-10,0.8561474116836746
2016-11,0.8559427833977432
2016-12,0.8557381551118118
2017-1,0.8555335268258805
2017-2,0.8552799929381978
2017-3,0.855026459050515
2017-4,0.8547729251628323
2017-5,0.8545193912751495
2017-6,0.8542658573874669
2017-7,0.8540123234997841
2017-8,0.8537587896121014
2017-9,0.8535052557244187
2017-10,0.8532517218367359
2017-11,0.8529981879490532
2017-12,0.8527446540613705
2018-1,0.8524911201736878
2018-2,0.8521766589628824
2018-3,0.851862197752077
2018-4,0.8515477365412716
2018-5,0.8512332753304662
2018-6,0.8509188141196609
2018-7,0.8506043529088554
2018-8,0.85028989169805
2018-9,0.8499754304872447
2018-10,0.8496609692764393
2018-11,0.8493465080656339
2018-12,0.8490320468548285
2019-1,0.8487175856440231
2019-2,0.8483442340201142
2019-3,0.8479708823962053
2019-4,0.8475975307722964
2019-5,0.8472241791483874
2019-6,0.8468508275244785
2019-7,0.8464774759005695
2019-8,0.8461041242766607
2019-9,0.8457307726527518
2019-10,0.8453574210288428
2019-11,0.844984069404934
2019-12,0.844610717781025
2020-1,0.8442373661571161
2020-2,0.8442391643855791
2020-3,0.8442409626140421
2020-4,0.844242760842505
2020-5,0.8442445590709681
2020-6,0.8442463572994311
2020-7,0.844248155527894
2020-8,0.844249953756357
2020-9,0.84425175198482
2020-10,0.8442535502132831
2020-11,0.8442553484417461
2020-12,0.844257146670209
2021-1,0.844258944898672
2021-2,0.8445184823600256
2021-3,0.8447780198213792
2021-4,0.8450375572827328
2021-5,0.8452970947440863
2021-6,0.84555663220544
2021-7,0.8458161696667935
2021-8,0.8460757071281471
2021-9,0.8463352445895007
2021-10,0.8465947820508543
2021-11,0.8468543195122078
2021-12,0.8471138569735615
2022-1,0.847373394434915
