,Alagoas - IDH Longevidade
2019-4,0.763094499182736
2019-5,0.7628729769544599
2019-6,0.7626514547261838
2019-7,0.7624299324979078
2019-8,0.7622084102696318
2019-9,0.7619868880413557
2019-10,0.7617653658130796
2019-11,0.7615438435848036
2019-12,0.7613223213565277
2020-1,0.7611007991282516
2020-2,0.7609121688186171
2020-3,0.7607235385089827
2020-4,0.7605349081993482
2020-5,0.7603462778897138
2020-6,0.7601576475800793
2020-7,0.7599690172704447
2020-8,0.7597803869608103
2020-9,0.7595917566511758
2020-10,0.7594031263415414
2020-11,0.7592144960319069
2020-12,0.7590258657222725
2021-1,0.758837235412638
2021-2,0.7589193356809156
2021-3,0.7590014359491931
2021-4,0.7590835362174707
2021-5,0.7591656364857482
2021-6,0.7592477367540258
2021-7,0.7593298370223034
2021-8,0.7594119372905809
2021-9,0.7594940375588585
2021-10,0.759576137827136
2021-11,0.7596582380954136
2021-12,0.759740338363691
2022-1,0.7598224386319686
