,Piauí - IDH Longevidade
2020-7,0.7457928901976929
2020-8,0.7456319691121689
2020-9,0.745471048026645
2020-10,0.7453101269411211
2020-11,0.7451492058555971
2020-12,0.7449882847700731
2021-1,0.7448273636845492
2021-2,0.7449699952276139
2021-3,0.7451126267706787
2021-4,0.7452552583137435
2021-5,0.7453978898568082
2021-6,0.7455405213998729
2021-7,0.7456831529429377
2021-8,0.7458257844860026
2021-9,0.7459684160290673
2021-10,0.746111047572132
2021-11,0.7462536791151968
2021-12,0.7463963106582616
2022-1,0.7465389422013263
