,Rio de Janeiro - IDH Longevidade
2019-9,0.8098522504781147
2019-10,0.809444052267244
2019-11,0.8090358540563735
2019-12,0.8086276558455028
2020-1,0.8082194576346322
2020-2,0.8082514232227733
2020-3,0.8082833888109145
2020-4,0.8083153543990557
2020-5,0.8083473199871968
2020-6,0.808379285575338
2020-7,0.8084112511634791
2020-8,0.8084432167516202
2020-9,0.8084751823397615
2020-10,0.8085071479279026
2020-11,0.8085391135160437
2020-12,0.8085710791041849
2021-1,0.808603044692326
2021-2,0.808903067758177
2021-3,0.809203090824028
2021-4,0.809503113889879
2021-5,0.8098031369557298
2021-6,0.8101031600215808
2021-7,0.8104031830874318
2021-8,0.8107032061532827
2021-9,0.8110032292191337
2021-10,0.8113032522849846
2021-11,0.8116032753508355
2021-12,0.8119032984166865
2022-1,0.8122033214825375
