,Rondônia - IDH Longevidade
2019-11,0.7525936448921405
2019-12,0.7523936001378598
2020-1,0.7521935553835791
2020-2,0.752058658075879
2020-3,0.7519237607681788
2020-4,0.7517888634604787
2020-5,0.7516539661527785
2020-6,0.7515190688450784
2020-7,0.7513841715373781
2020-8,0.751249274229678
2020-9,0.7511143769219779
2020-10,0.7509794796142777
2020-11,0.7508445823065776
2020-12,0.7507096849988774
2021-1,0.7505747876911772
2021-2,0.7507230815373225
2021-3,0.7508713753834678
2021-4,0.7510196692296132
2021-5,0.7511679630757584
2021-6,0.7513162569219036
2021-7,0.751464550768049
2021-8,0.7516128446141943
2021-9,0.7517611384603395
2021-10,0.7519094323064848
2021-11,0.7520577261526301
2021-12,0.7522060199987755
2022-1,0.7523543138449207
