,Amazonas - IDH Longevidade
2008-11,0.7613093216502949
2008-12,0.7614382680368141
2009-1,0.7615672144233335
2009-2,0.7616610422456389
2009-3,0.7617548700679442
2009-4,0.7618486978902496
2009-5,0.7619425257125549
2009-6,0.7620363535348603
2009-7,0.7621301813571657
2009-8,0.762224009179471
2009-9,0.7623178370017764
2009-10,0.7624116648240817
2009-11,0.762505492646387
2009-12,0.7625993204686924
2010-1,0.7626931482909978
2010-2,0.7627525488892153
2010-3,0.7628119494874328
2010-4,0.7628713500856503
2010-5,0.7629307506838678
2010-6,0.7629901512820854
2010-7,0.7630495518803029
2010-8,0.7631089524785204
2010-9,0.7631683530767379
2010-10,0.7632277536749554
2010-11,0.763287154273173
2010-12,0.7633465548713905
2011-1,0.763405955469608
2011-2,0.7634255192253674
2011-3,0.7634450829811268
2011-4,0.7634646467368862
2011-5,0.7634842104926456
2011-6,0.763503774248405
2011-7,0.7635233380041644
2011-8,0.7635429017599237
2011-9,0.7635624655156831
2011-10,0.7635820292714425
2011-11,0.7636015930272019
2011-12,0.7636211567829613
2012-1,0.7636407205387207
2012-2,0.7636382255424617
2012-3,0.7636357305462029
2012-4,0.763633235549944
2012-5,0.7636307405536851
2012-6,0.7636282455574263
2012-7,0.7636257505611673
2012-8,0.7636232555649084
2012-9,0.7636207605686496
2012-10,0.7636182655723907
2012-11,0.7636157705761317
2012-12,0.7636132755798729
2013-1,0.763610780583614
2013-2,0.763573355448778
2013-3,0.763535930313942
2013-4,0.7634985051791059
2013-5,0.7634610800442699
2013-6,0.763423654909434
2013-7,0.7633862297745979
2013-8,0.7633488046397618
2013-9,0.7633113795049259
2013-10,0.7632739543700899
2013-11,0.7632365292352539
2013-12,0.7631991041004178
2014-1,0.7631616789655818
2014-2,0.7630933572917318
2014-3,0.7630250356178816
2014-4,0.7629567139440314
2014-5,0.7628883922701813
2014-6,0.7628200705963313
2014-7,0.7627517489224811
2014-8,0.7626834272486309
2014-9,0.7626151055747808
2014-10,0.7625467839009308
2014-11,0.7624784622270806
2014-12,0.7624101405532304
2015-1,0.7623418188793804
2015-2,0.7629857203285781
2015-3,0.763629621777776
2015-4,0.7642735232269738
2015-5,0.7649174246761716
2015-6,0.7655613261253695
2015-7,0.7662052275745673
2015-8,0.7668491290237651
2015-9,0.767493030472963
2015-10,0.7681369319221608
2015-11,0.7687808333713586
2015-12,0.7694247348205565
2016-1,0.7700686362697543
2016-2,0.7699858229081615
2016-3,0.7699030095465688
2016-4,0.769820196184976
2016-5,0.7697373828233832
2016-6,0.7696545694617904
2016-7,0.7695717561001976
2016-8,0.7694889427386048
2016-9,0.769406129377012
2016-10,0.7693233160154193
2016-11,0.7692405026538265
2016-12,0.7691576892922337
2017-1,0.7690748759306409
2017-2,0.7689542310513277
2017-3,0.7688335861720144
2017-4,0.768712941292701
2017-5,0.7685922964133877
2017-6,0.7684716515340744
2017-7,0.768351006654761
2017-8,0.7682303617754477
2017-9,0.7681097168961344
2017-10,0.7679890720168211
2017-11,0.7678684271375078
2017-12,0.7677477822581944
2018-1,0.7676271373788811
2018-2,0.7674652217529635
2018-3,0.767303306127046
2018-4,0.7671413905011284
2018-5,0.7669794748752108
2018-6,0.7668175592492933
2018-7,0.7666556436233757
2018-8,0.7664937279974581
2018-9,0.7663318123715406
2018-10,0.766169896745623
2018-11,0.7660079811197054
2018-12,0.7658460654937879
2019-1,0.7656841498678703
2019-2,0.7654847873668693
2019-3,0.7652854248658683
2019-4,0.7650860623648673
2019-5,0.7648866998638664
2019-6,0.7646873373628653
2019-7,0.7644879748618644
2019-8,0.7642886123608634
2019-9,0.7640892498598624
2019-10,0.7638898873588614
2019-11,0.7636905248578605
2019-12,0.7634911623568594
2020-1,0.7632917998558585
2020-2,0.763142495309312
2020-3,0.7629931907627654
2020-4,0.7628438862162189
2020-5,0.7626945816696724
2020-6,0.7625452771231258
2020-7,0.7623959725765793
2020-8,0.7622466680300328
2020-9,0.7620973634834862
2020-10,0.7619480589369397
2020-11,0.7617987543903932
2020-12,0.7616494498438466
2021-1,0.7615001452973001
2021-2,0.7616327221556131
2021-3,0.7617652990139259
2021-4,0.7618978758722388
2021-5,0.7620304527305517
2021-6,0.7621630295888645
2021-7,0.7622956064471774
2021-8,0.7624281833054903
2021-9,0.7625607601638031
2021-10,0.7626933370221161
2021-11,0.762825913880429
2021-12,0.7629584907387418
2022-1,0.7630910675970547
