,Mato Grosso - IDH Longevidade
2011-9,0.7877546425803363
2011-10,0.7876829752012455
2011-11,0.7876113078221547
2011-12,0.7875396404430638
2012-1,0.787467973063973
2012-2,0.7873601117658061
2012-3,0.7872522504676392
2012-4,0.7871443891694725
2012-5,0.7870365278713056
2012-6,0.7869286665731388
2012-7,0.7868208052749719
2012-8,0.786712943976805
2012-9,0.7866050826786382
2012-10,0.7864972213804713
2012-11,0.7863893600823045
2012-12,0.7862814987841377
2013-1,0.7861736374859708
2013-2,0.7860290099685122
2013-3,0.7858843824510537
2013-4,0.7857397549335952
2013-5,0.7855951274161367
2013-6,0.7854504998986781
2013-7,0.7853058723812196
2013-8,0.785161244863761
2013-9,0.7850166173463025
2013-10,0.784871989828844
2013-11,0.7847273623113854
2013-12,0.7845827347939269
2014-1,0.7844381072764683
2014-2,0.784246705243666
2014-3,0.7840553032108637
2014-4,0.7838639011780615
2014-5,0.7836724991452592
2014-6,0.7834810971124568
2014-7,0.7832896950796546
2014-8,0.7830982930468523
2014-9,0.78290689101405
2014-10,0.7827154889812477
2014-11,0.7825240869484453
2014-12,0.7823326849156431
2015-1,0.7821412828828408
2015-2,0.7826690623449469
2015-3,0.783196841807053
2015-4,0.7837246212691591
2015-5,0.7842524007312651
2015-6,0.7847801801933713
2015-7,0.7853079596554773
2015-8,0.7858357391175834
2015-9,0.7863635185796896
2015-10,0.7868912980417956
2015-11,0.7874190775039017
2015-12,0.7879468569660077
2016-1,0.7884746364281139
2016-2,0.7882358079162056
2016-3,0.7879969794042975
2016-4,0.7877581508923892
2016-5,0.787519322380481
2016-6,0.7872804938685728
2016-7,0.7870416653566645
2016-8,0.7868028368447563
2016-9,0.7865640083328481
2016-10,0.7863251798209399
2016-11,0.7860863513090316
2016-12,0.7858475227971234
2017-1,0.7856086942852152
2017-2,0.7853178510601032
2017-3,0.7850270078349912
2017-4,0.7847361646098792
2017-5,0.7844453213847672
2017-6,0.7841544781596552
2017-7,0.7838636349345431
2017-8,0.7835727917094312
2017-9,0.7832819484843192
2017-10,0.7829911052592072
2017-11,0.7827002620340953
2017-12,0.7824094188089832
2018-1,0.7821185755838712
2018-2,0.7817709890352642
2018-3,0.7814234024866571
2018-4,0.7810758159380501
2018-5,0.7807282293894431
2018-6,0.7803806428408361
2018-7,0.7800330562922291
2018-8,0.779685469743622
2018-9,0.779337883195015
2018-10,0.778990296646408
2018-11,0.7786427100978008
2018-12,0.7782951235491938
2019-1,0.7779475370005868
2019-2,0.7775380486445307
2019-3,0.7771285602884745
2019-4,0.7767190719324183
2019-5,0.7763095835763621
2019-6,0.775900095220306
2019-7,0.7754906068642498
2019-8,0.7750811185081936
2019-9,0.7746716301521375
2019-10,0.7742621417960813
2019-11,0.7738526534400252
2019-12,0.7734431650839689
2020-1,0.7730336767279128
2020-2,0.7730642348849425
2020-3,0.773094793041972
2020-4,0.7731253511990017
2020-5,0.7731559093560314
2020-6,0.773186467513061
2020-7,0.7732170256700907
2020-8,0.7732475838271203
2020-9,0.7732781419841499
2020-10,0.7733087001411796
2020-11,0.7733392582982093
2020-12,0.7733698164552388
2021-1,0.7734003746122685
2021-2,0.7737291653290281
2021-3,0.7740579560457878
2021-4,0.7743867467625474
2021-5,0.774715537479307
2021-6,0.7750443281960666
2021-7,0.7753731189128261
2021-8,0.7757019096295857
2021-9,0.7760307003463454
2021-10,0.776359491063105
2021-11,0.7766882817798646
2021-12,0.7770170724966242
2022-1,0.7773458632133838
