,Bahia - IDH Longevidade
2009-10,0.7866395135063609
2009-11,0.7867523155902443
2009-12,0.7868651176741278
2010-1,0.7869779197580113
2010-2,0.7870488333111454
2010-3,0.7871197468642795
2010-4,0.7871906604174137
2010-5,0.7872615739705477
2010-6,0.7873324875236818
2010-7,0.787403401076816
2010-8,0.7874743146299501
2010-9,0.7875452281830841
2010-10,0.7876161417362182
2010-11,0.7876870552893523
2010-12,0.7877579688424865
2011-1,0.7878288823956205
2011-2,0.7878542343396443
2011-3,0.787879586283668
2011-4,0.7879049382276918
2011-5,0.7879302901717156
2011-6,0.7879556421157393
2011-7,0.7879809940597631
2011-8,0.7880063460037869
2011-9,0.7880316979478107
2011-10,0.7880570498918344
2011-11,0.7880824018358582
2011-12,0.788107753779882
2012-1,0.7881331057239057
2012-2,0.7881201411803217
2012-3,0.7881071766367377
2012-4,0.7880942120931538
2012-5,0.7880812475495698
2012-6,0.7880682830059857
2012-7,0.7880553184624017
2012-8,0.7880423539188177
2012-9,0.7880293893752337
2012-10,0.7880164248316497
2012-11,0.7880034602880658
2012-12,0.7879904957444818
2013-1,0.7879775312008978
2013-2,0.787935708500904
2013-3,0.7878938858009102
2013-4,0.7878520631009165
2013-5,0.7878102404009227
2013-6,0.787768417700929
2013-7,0.7877265950009351
2013-8,0.7876847723009414
2013-9,0.7876429496009476
2013-10,0.7876011269009539
2013-11,0.7875593042009601
2013-12,0.7875174815009663
2014-1,0.7874756588009726
2014-2,0.7873956286537571
2014-3,0.7873155985065416
2014-4,0.7872355683593262
2014-5,0.7871555382121107
2014-6,0.7870755080648952
2014-7,0.7869954779176798
2014-8,0.7869154477704643
2014-9,0.7868354176232488
2014-10,0.7867553874760334
2014-11,0.7866753573288179
2014-12,0.7865953271816024
2015-1,0.7865152970343869
2015-2,0.7873064585903105
2015-3,0.788097620146234
2015-4,0.7888887817021576
2015-5,0.7896799432580811
2015-6,0.7904711048140046
2015-7,0.7912622663699282
2015-8,0.7920534279258518
2015-9,0.7928445894817753
2015-10,0.7936357510376988
2015-11,0.7944269125936223
2015-12,0.7952180741495459
2016-1,0.7960092357054694
2016-2,0.7959259723396018
2016-3,0.7958427089737341
2016-4,0.7957594456078665
2016-5,0.7956761822419988
2016-6,0.7955929188761311
2016-7,0.7955096555102634
2016-8,0.7954263921443958
2016-9,0.7953431287785282
2016-10,0.7952598654126605
2016-11,0.7951766020467929
2016-12,0.7950933386809251
2017-1,0.7950100753150575
2017-2,0.7948889395219898
2017-3,0.794767803728922
2017-4,0.7946466679358543
2017-5,0.7945255321427865
2017-6,0.7944043963497187
2017-7,0.794283260556651
2017-8,0.7941621247635833
2017-9,0.7940409889705154
2017-10,0.7939198531774477
2017-11,0.79379871738438
2017-12,0.7936775815913122
2018-1,0.7935564457982445
2018-2,0.7933939946300493
2018-3,0.7932315434618542
2018-4,0.7930690922936592
2018-5,0.792906641125464
2018-6,0.7927441899572689
2018-7,0.7925817387890739
2018-8,0.7924192876208788
2018-9,0.7922568364526836
2018-10,0.7920943852844885
2018-11,0.7919319341162934
2018-12,0.7917694829480983
2019-1,0.7916070317799032
2019-2,0.7914070850509631
2019-3,0.7912071383220229
2019-4,0.7910071915930827
2019-5,0.7908072448641427
2019-6,0.7906072981352026
2019-7,0.7904073514062624
2019-8,0.7902074046773222
2019-9,0.7900074579483821
2019-10,0.789807511219442
2019-11,0.7896075644905018
2019-12,0.7894076177615617
2020-1,0.7892076710326216
2020-2,0.7890425776313535
2020-3,0.7888774842300855
2020-4,0.7887123908288175
2020-5,0.7885472974275495
2020-6,0.7883822040262815
2020-7,0.7882171106250134
2020-8,0.7880520172237454
2020-9,0.7878869238224774
2020-10,0.7877218304212094
2020-11,0.7875567370199413
2020-12,0.7873916436186733
2021-1,0.7872265502174053
2021-2,0.7873419028705675
2021-3,0.7874572555237296
2021-4,0.7875726081768918
2021-5,0.787687960830054
2021-6,0.7878033134832161
2021-7,0.7879186661363783
2021-8,0.7880340187895405
2021-9,0.7881493714427026
2021-10,0.7882647240958648
2021-11,0.788380076749027
2021-12,0.7884954294021891
2022-1,0.7886107820553513
