,Pernambuco - IDH Longevidade
2016-1,0.8090693588522714
2016-2,0.8090395812678189
2016-3,0.8090098036833664
2016-4,0.808980026098914
2016-5,0.8089502485144614
2016-6,0.808920470930009
2016-7,0.8088906933455564
2016-8,0.808860915761104
2016-9,0.8088311381766515
2016-10,0.808801360592199
2016-11,0.8087715830077465
2016-12,0.808741805423294
2017-1,0.8087120278388416
2017-2,0.8086340886558024
2017-3,0.8085561494727633
2017-4,0.8084782102897243
2017-5,0.8084002711066852
2017-6,0.8083223319236461
2017-7,0.8082443927406071
2017-8,0.808166453557568
2017-9,0.8080885143745289
2017-10,0.8080105751914898
2017-11,0.8079326360084507
2017-12,0.8078546968254117
2018-1,0.8077767576423726
2018-2,0.8076387027760269
2018-3,0.8075006479096812
2018-4,0.8073625930433356
2018-5,0.8072245381769899
2018-6,0.8070864833106443
2018-7,0.8069484284442986
2018-8,0.8068103735779529
2018-9,0.8066723187116073
2018-10,0.8065342638452616
2018-11,0.806396208978916
2018-12,0.8062581541125703
2019-1,0.8061200992462246
2019-2,0.8059316151496051
2019-3,0.8057431310529856
2019-4,0.8055546469563661
2019-5,0.8053661628597466
2019-6,0.8051776787631271
2019-7,0.8049891946665075
2019-8,0.804800710569888
2019-9,0.8046122264732685
2019-10,0.8044237423766489
2019-11,0.8042352582800295
2019-12,0.80404677418341
2020-1,0.8038582900867904
2020-2,0.8036526710722964
2020-3,0.8034470520578024
2020-4,0.8032414330433084
2020-5,0.8030358140288144
2020-6,0.8028301950143204
2020-7,0.8026245759998264
2020-8,0.8024189569853324
2020-9,0.8022133379708384
2020-10,0.8020077189563444
2020-11,0.8018020999418504
2020-12,0.8015964809273564
2021-1,0.8013908619128624
2021-2,0.8014241260182629
2021-3,0.8014573901236632
2021-4,0.8014906542290637
2021-5,0.8015239183344642
2021-6,0.8015571824398646
2021-7,0.8015904465452651
2021-8,0.8016237106506656
2021-9,0.801656974756066
2021-10,0.8016902388614665
2021-11,0.801723502966867
2021-12,0.8017567670722674
2022-1,0.8017900311776679
