,Rio Grande do Sul - IDH Longevidade
2013-7,0.8470105963570895
2013-8,0.8468906669994701
2013-9,0.8467707376418507
2013-10,0.8466508082842312
2013-11,0.8465308789266118
2013-12,0.8464109495689924
2014-1,0.846291020211373
2014-2,0.8461263745183965
2014-3,0.8459617288254199
2014-4,0.8457970831324433
2014-5,0.8456324374394668
2014-6,0.8454677917464902
2014-7,0.8453031460535136
2014-8,0.8451385003605371
2014-9,0.8449738546675605
2014-10,0.844809208974584
2014-11,0.8446445632816074
2014-12,0.8444799175886308
2015-1,0.8443152718956543
2015-2,0.8448421088588728
2015-3,0.8453689458220912
2015-4,0.8458957827853097
2015-5,0.8464226197485283
2015-6,0.8469494567117468
2015-7,0.8474762936749654
2015-8,0.8480031306381838
2015-9,0.8485299676014023
2015-10,0.8490568045646208
2015-11,0.8495836415278393
2015-12,0.8501104784910578
2016-1,0.8506373154542763
2016-2,0.8504148708743845
2016-3,0.8501924262944927
2016-4,0.8499699817146008
2016-5,0.849747537134709
2016-6,0.8495250925548171
2016-7,0.8493026479749253
2016-8,0.8490802033950333
2016-9,0.8488577588151415
2016-10,0.8486353142352496
2016-11,0.8484128696553578
2016-12,0.8481904250754659
2017-1,0.8479679804955741
2017-2,0.8476950106508436
2017-3,0.847422040806113
2017-4,0.8471490709613826
2017-5,0.8468761011166521
2017-6,0.8466031312719217
2017-7,0.8463301614271912
2017-8,0.8460571915824606
2017-9,0.8457842217377302
2017-10,0.8455112518929997
2017-11,0.8452382820482691
2017-12,0.8449653122035387
2018-1,0.8446923423588082
2018-2,0.8443642540433446
2018-3,0.844036165727881
2018-4,0.8437080774124175
2018-5,0.8433799890969539
2018-6,0.8430519007814903
2018-7,0.8427238124660268
2018-8,0.8423957241505632
2018-9,0.8420676358350996
2018-10,0.841739547519636
2018-11,0.8414114592041724
2018-12,0.8410833708887089
2019-1,0.8407552825732453
2019-2,0.8403594892594062
2019-3,0.8399636959455672
2019-4,0.8395679026317282
2019-5,0.8391721093178891
2019-6,0.83877631600405
2019-7,0.838380522690211
2019-8,0.837984729376372
2019-9,0.8375889360625329
2019-10,0.8371931427486938
2019-11,0.8367973494348548
2019-12,0.8364015561210159
2020-1,0.8360057628071768
2020-2,0.8360436852526857
2020-3,0.8360816076981946
2020-4,0.8361195301437034
2020-5,0.8361574525892124
2020-6,0.8361953750347213
2020-7,0.8362332974802302
2020-8,0.8362712199257392
2020-9,0.8363091423712481
2020-10,0.836347064816757
2020-11,0.8363849872622658
2020-12,0.8364229097077748
2021-1,0.8364608321532837
2021-2,0.8367597778514146
2021-3,0.8370587235495456
2021-4,0.8373576692476765
2021-5,0.8376566149458075
2021-6,0.8379555606439384
2021-7,0.8382545063420692
2021-8,0.8385534520402002
2021-9,0.8388523977383311
2021-10,0.839151343436462
2021-11,0.839450289134593
2021-12,0.8397492348327239
2022-1,0.8400481805308548
