,Rio Grande do Norte - IDH Longevidade
2014-8,0.8219246880470081
2014-9,0.8218314740605646
2014-10,0.8217382600741209
2014-11,0.8216450460876772
2014-12,0.8215518321012336
2015-1,0.8214586181147899
2015-2,0.8225626451722378
2015-3,0.8236666722296856
2015-4,0.8247706992871334
2015-5,0.8258747263445813
2015-6,0.8269787534020291
2015-7,0.8280827804594769
2015-8,0.8291868075169248
2015-9,0.8302908345743726
2015-10,0.8313948616318204
2015-11,0.8324988886892682
2015-12,0.8336029157467161
2016-1,0.8347069428041639
2016-2,0.8346365408557106
2016-3,0.8345661389072573
2016-4,0.834495736958804
2016-5,0.8344253350103507
2016-6,0.8343549330618973
2016-7,0.834284531113444
2016-8,0.8342141291649907
2016-9,0.8341437272165374
2016-10,0.8340733252680841
2016-11,0.8340029233196308
2016-12,0.8339325213711775
2017-1,0.8338621194227241
2017-2,0.8337550142668357
2017-3,0.8336479091109472
2017-4,0.8335408039550588
2017-5,0.8334336987991703
2017-6,0.8333265936432819
2017-7,0.8332194884873934
2017-8,0.833112383331505
2017-9,0.8330052781756165
2017-10,0.832898173019728
2017-11,0.8327910678638396
2017-12,0.8326839627079511
2018-1,0.8325768575520627
2018-2,0.8324372882910934
2018-3,0.8322977190301243
2018-4,0.832158149769155
2018-5,0.8320185805081858
2018-6,0.8318790112472166
2018-7,0.8317394419862474
2018-8,0.8315998727252781
2018-9,0.831460303464309
2018-10,0.8313207342033397
2018-11,0.8311811649423705
2018-12,0.8310415956814013
2019-1,0.8309020264204321
2019-2,0.8307194660145263
2019-3,0.8305369056086205
2019-4,0.8303543452027147
2019-5,0.8301717847968089
2019-6,0.8299892243909031
2019-7,0.8298066639849973
2019-8,0.8296241035790913
2019-9,0.8294415431731855
2019-10,0.8292589827672797
2019-11,0.8290764223613739
2019-12,0.8288938619554681
2020-1,0.8287113015495623
2020-2,0.8285121447431196
2020-3,0.8283129879366768
2020-4,0.8281138311302342
2020-5,0.8279146743237915
2020-6,0.8277155175173487
2020-7,0.8275163607109061
2020-8,0.8273172039044634
2020-9,0.8271180470980206
2020-10,0.826918890291578
2020-11,0.8267197334851353
2020-12,0.8265205766786925
2021-1,0.8263214198722498
2021-2,0.8263768851743123
2021-3,0.8264323504763749
2021-4,0.8264878157784374
2021-5,0.8265432810804999
2021-6,0.8265987463825624
2021-7,0.8266542116846249
2021-8,0.8267096769866875
2021-9,0.82676514228875
2021-10,0.8268206075908124
2021-11,0.826876072892875
2021-12,0.8269315381949376
2022-1,0.826987003497
