,Santa Catarina - IDH Longevidade
2009-6,0.8703756425430568
2009-7,0.8704461848655793
2009-8,0.8705167271881019
2009-9,0.8705872695106244
2009-10,0.8706578118331469
2009-11,0.8707283541556695
2009-12,0.870798896478192
2010-1,0.8708694388007145
2010-2,0.8708946881443509
2010-3,0.8709199374879874
2010-4,0.8709451868316237
2010-5,0.87097043617526
2010-6,0.8709956855188965
2010-7,0.8710209348625328
2010-8,0.8710461842061692
2010-9,0.8710714335498057
2010-10,0.871096682893442
2010-11,0.8711219322370783
2010-12,0.8711471815807148
2011-1,0.8711724309243511
2011-2,0.871141627112754
2011-3,0.8711108233011569
2011-4,0.8710800194895596
2011-5,0.8710492156779625
2011-6,0.8710184118663653
2011-7,0.8709876080547682
2011-8,0.870956804243171
2011-9,0.8709260004315739
2011-10,0.8708951966199767
2011-11,0.8708643928083795
2011-12,0.8708335889967823
2012-1,0.8708027851851852
2012-2,0.870752804526749
2012-3,0.8707028238683128
2012-4,0.8706528432098766
2012-5,0.8706028625514404
2012-6,0.8705528818930042
2012-7,0.870502901234568
2012-8,0.8704529205761317
2012-9,0.8704029399176955
2012-10,0.8703529592592593
2012-11,0.8703029786008231
2012-12,0.8702529979423869
2013-1,0.8702030172839507
2013-2,0.8701002604595336
2013-3,0.8699975036351166
2013-4,0.8698947468106997
2013-5,0.8697919899862826
2013-6,0.8696892331618655
2013-7,0.8695864763374486
2013-8,0.8694837195130316
2013-9,0.8693809626886145
2013-10,0.8692782058641975
2013-11,0.8691754490397805
2013-12,0.8690726922153635
2014-1,0.8689699353909465
2014-2,0.8688238932756058
2014-3,0.8686778511602652
2014-4,0.8685318090449246
2014-5,0.8683857669295839
2014-6,0.8682397248142433
2014-7,0.8680936826989025
2014-8,0.8679476405835619
2014-9,0.8678015984682212
2014-10,0.8676555563528806
2014-11,0.86750951423754
2014-12,0.8673634721221993
2015-1,0.8672174300068587
2015-2,0.8678750166567942
2015-3,0.8685326033067299
2015-4,0.8691901899566654
2015-5,0.8698477766066011
2015-6,0.8705053632565366
2015-7,0.8711629499064721
2015-8,0.8718205365564078
2015-9,0.8724781232063433
2015-10,0.873135709856279
2015-11,0.8737932965062145
2015-12,0.8744508831561502
2016-1,0.8751084698060857
2016-2,0.8749047460924955
2016-3,0.8747010223789051
2016-4,0.8744972986653149
2016-5,0.8742935749517247
2016-6,0.8740898512381343
2016-7,0.8738861275245441
2016-8,0.8736824038109539
2016-9,0.8734786800973635
2016-10,0.8732749563837733
2016-11,0.873071232670183
2016-12,0.8728675089565927
2017-1,0.8726637852430025
2017-2,0.8724036624039343
2017-3,0.8721435395648661
2017-4,0.871883416725798
2017-5,0.8716232938867299
2017-6,0.8713631710476617
2017-7,0.8711030482085935
2017-8,0.8708429253695253
2017-9,0.8705828025304572
2017-10,0.870322679691389
2017-11,0.8700625568523209
2017-12,0.8698024340132527
2018-1,0.8695423111741846
2018-2,0.8692206620164132
2018-3,0.8688990128586419
2018-4,0.8685773637008706
2018-5,0.8682557145430992
2018-6,0.8679340653853279
2018-7,0.8676124162275565
2018-8,0.8672907670697851
2018-9,0.8669691179120138
2018-10,0.8666474687542425
2018-11,0.8663258195964711
2018-12,0.8660041704386998
2019-1,0.8656825212809285
2019-2,0.8653013282603295
2019-3,0.8649201352397304
2019-4,0.8645389422191314
2019-5,0.8641577491985324
2019-6,0.8637765561779334
2019-7,0.8633953631573343
2019-8,0.8630141701367352
2019-9,0.8626329771161362
2019-10,0.8622517840955372
2019-11,0.8618705910749381
2019-12,0.8614893980543391
2020-1,0.8611082050337401
2020-2,0.8611317520415714
2020-3,0.8611552990494028
2020-4,0.8611788460572342
2020-5,0.8612023930650655
2020-6,0.8612259400728969
2020-7,0.8612494870807282
2020-8,0.8612730340885596
2020-9,0.861296581096391
2020-10,0.8613201281042223
2020-11,0.8613436751120537
2020-12,0.861367222119885
2021-1,0.8613907691277164
2021-2,0.8616513052574718
2021-3,0.8619118413872273
2021-4,0.8621723775169827
2021-5,0.8624329136467381
2021-6,0.8626934497764936
2021-7,0.862953985906249
2021-8,0.8632145220360045
2021-9,0.86347505816576
2021-10,0.8637355942955154
2021-11,0.8639961304252708
2021-12,0.8642566665550263
2022-1,0.8645172026847817
