,Paraná - IDH Longevidade
2014-3,0.8327804574782028
2014-4,0.8326145702006563
2014-5,0.8324486829231098
2014-6,0.8322827956455632
2014-7,0.8321169083680167
2014-8,0.8319510210904701
2014-9,0.8317851338129235
2014-10,0.831619246535377
2014-11,0.8314533592578305
2014-12,0.8312874719802839
2015-1,0.8311215847027373
2015-2,0.831726935190275
2015-3,0.8323322856778126
2015-4,0.8329376361653502
2015-5,0.833542986652888
2015-6,0.8341483371404256
2015-7,0.8347536876279632
2015-8,0.8353590381155008
2015-9,0.8359643886030385
2015-10,0.8365697390905762
2015-11,0.8371750895781138
2015-12,0.8377804400656514
2016-1,0.8383857905531891
2016-2,0.838169016239198
2016-3,0.8379522419252071
2016-4,0.8377354676112161
2016-5,0.8375186932972251
2016-6,0.8373019189832341
2016-7,0.8370851446692431
2016-8,0.8368683703552521
2016-9,0.8366515960412612
2016-10,0.8364348217272701
2016-11,0.8362180474132791
2016-12,0.8360012730992882
2017-1,0.8357844987852971
2017-2,0.8355101389276101
2017-3,0.8352357790699229
2017-4,0.8349614192122357
2017-5,0.8346870593545486
2017-6,0.8344126994968615
2017-7,0.8341383396391743
2017-8,0.8338639797814871
2017-9,0.8335896199238
2017-10,0.8333152600661129
2017-11,0.8330409002084257
2017-12,0.8327665403507385
2018-1,0.8324921804930514
2018-2,0.8321550000422412
2018-3,0.831817819591431
2018-4,0.8314806391406208
2018-5,0.8311434586898105
2018-6,0.8308062782390003
2018-7,0.8304690977881901
2018-8,0.83013191733738
2018-9,0.8297947368865698
2018-10,0.8294575564357596
2018-11,0.8291203759849494
2018-12,0.8287831955341391
2019-1,0.8284460150833289
2019-2,0.8280403030763844
2019-3,0.8276345910694399
2019-4,0.8272288790624955
2019-5,0.826823167055551
2019-6,0.8264174550486065
2019-7,0.826011743041662
2019-8,0.8256060310347175
2019-9,0.825200319027773
2019-10,0.8247946070208285
2019-11,0.8243888950138841
2019-12,0.8239831830069396
2020-1,0.8235774709999951
2020-2,0.8236045730530254
2020-3,0.8236316751060556
2020-4,0.8236587771590859
2020-5,0.8236858792121161
2020-6,0.8237129812651464
2020-7,0.8237400833181767
2020-8,0.823767185371207
2020-9,0.8237942874242372
2020-10,0.8238213894772675
2020-11,0.8238484915302977
2020-12,0.823875593583328
2021-1,0.8239026956363582
2021-2,0.8241974130275427
2021-3,0.8244921304187273
2021-4,0.8247868478099118
2021-5,0.8250815652010963
2021-6,0.8253762825922808
2021-7,0.8256709999834654
2021-8,0.82596571737465
2021-9,0.8262604347658344
2021-10,0.8265551521570189
2021-11,0.8268498695482035
2021-12,0.8271445869393881
2022-1,0.8274393043305726
