,Mato Grosso do Sul - IDH Longevidade
2015-3,0.8047501801781374
2015-4,0.8052659525842033
2015-5,0.8057817249902692
2015-6,0.806297497396335
2015-7,0.806813269802401
2015-8,0.8073290422084669
2015-9,0.8078448146145327
2015-10,0.8083605870205987
2015-11,0.8088763594266646
2015-12,0.8093921318327304
2016-1,0.8099079042387963
2016-2,0.8096647823012114
2016-3,0.8094216603636266
2016-4,0.8091785384260417
2016-5,0.8089354164884568
2016-6,0.808692294550872
2016-7,0.8084491726132871
2016-8,0.8082060506757022
2016-9,0.8079629287381174
2016-10,0.8077198068005325
2016-11,0.8074766848629475
2016-12,0.8072335629253627
2017-1,0.8069904409877778
2017-2,0.806694914025564
2017-3,0.8063993870633502
2017-4,0.8061038601011364
2017-5,0.8058083331389226
2017-6,0.8055128061767088
2017-7,0.805217279214495
2017-8,0.8049217522522812
2017-9,0.8046262252900674
2017-10,0.8043306983278536
2017-11,0.8040351713656398
2017-12,0.803739644403426
2018-1,0.8034441174412122
2018-2,0.8030914213612215
2018-3,0.8027387252812306
2018-4,0.8023860292012398
2018-5,0.8020333331212489
2018-6,0.8016806370412581
2018-7,0.8013279409612672
2018-8,0.8009752448812765
2018-9,0.8006225488012857
2018-10,0.8002698527212948
2018-11,0.799917156641304
2018-12,0.7995644605613131
2019-1,0.7992117644813224
2019-2,0.7987967020910294
2019-3,0.7983816397007364
2019-4,0.7979665773104434
2019-5,0.7975515149201503
2019-6,0.7971364525298573
2019-7,0.7967213901395643
2019-8,0.7963063277492713
2019-9,0.7958912653589784
2019-10,0.7954762029686853
2019-11,0.7950611405783923
2019-12,0.7946460781880993
2020-1,0.7942310157978063
2020-2,0.7942706447053655
2020-3,0.7943102736129246
2020-4,0.7943499025204838
2020-5,0.7943895314280429
2020-6,0.7944291603356021
2020-7,0.7944687892431612
2020-8,0.7945084181507203
2020-9,0.7945480470582794
2020-10,0.7945876759658386
2020-11,0.7946273048733977
2020-12,0.7946669337809569
2021-1,0.794706562688516
2021-2,0.7950376730119139
2021-3,0.7953687833353117
2021-4,0.7956998936587095
2021-5,0.7960310039821074
2021-6,0.7963621143055052
2021-7,0.7966932246289031
2021-8,0.797024334952301
2021-9,0.7973554452756988
2021-10,0.7976865555990966
2021-11,0.7980176659224945
2021-12,0.7983487762458923
2022-1,0.7986798865692901
