,Rio de Janeiro - PIB - Estadual,Rio de Janeiro - PIB - Construção Civil,Rio de Janeiro - PIB - Per Capita,Rio de Janeiro - PIB Preços de Mercado
2008-5,377409811.8482858,18515338.697698638,22.29505185228268,350577589.15303934
2008-6,377535092.8178259,18522266.293712314,22.29255931870351,350530858.1824374
2008-7,377660373.78736603,18529193.889725994,22.290066785124345,350484127.21183556
2008-8,377785654.7569061,18536121.485739674,22.287574251545177,350437396.2412337
2008-9,377910935.7264462,18543049.08175335,22.28508171796601,350390665.2706318
2008-10,378036216.6959863,18549976.67776703,22.28258918438684,350343934.30002993
2008-11,378161497.6655264,18556904.27378071,22.28009665080767,350297203.3294281
2008-12,378286778.63506645,18563831.869794387,22.277604117228503,350250472.35882616
2009-1,378412059.60460657,18570759.465808067,22.275111583649334,350203741.3882243
2009-2,379114872.65565753,18571095.278824363,22.27604372811699,350288515.39199346
2009-3,379817685.70670843,18571431.091840655,22.276975872584643,350373289.3957627
2009-4,380520498.7577594,18571766.90485695,22.277908017052297,350458063.39953184
2009-5,381223311.80881035,18572102.71787324,22.278840161519952,350542837.403301
2009-6,381926124.8598613,18572438.530889537,22.279772305987606,350627611.4070702
2009-7,382628937.9109123,18572774.34390583,22.28070445045526,350712385.4108394
2009-8,383331750.9619632,18573110.156922124,22.28163659492292,350797159.41460854
2009-9,384034564.01301414,18573445.96993842,22.282568739390573,350881933.41837776
2009-10,384737377.0640651,18573781.78295471,22.283500883858228,350966707.4221469
2009-11,385440190.115116,18574117.595971007,22.284433028325882,351051481.4259161
2009-12,386143003.16616696,18574453.4089873,22.285365172793536,351136255.4296853
2010-1,386845816.2172179,18574789.222003594,22.28629731726119,351221029.43345445
2010-2,387466172.7767533,18567696.476306546,22.284691941029426,351259687.2341178
2010-3,388086529.33628863,18560603.7306095,22.283086564797664,351298345.0347811
2010-4,388706885.895824,18553510.984912448,22.2814811885659,351337002.83544445
2010-5,389327242.4553594,18546418.2392154,22.279875812334133,351375660.6361078
2010-6,389947599.0148947,18539325.493518353,22.278270436102368,351414318.4367711
2010-7,390567955.5744301,18532232.7478213,22.276665059870602,351452976.23743445
2010-8,391188312.1339655,18525140.002124254,22.27505968363884,351491634.0380978
2010-9,391808668.6935008,18518047.256427206,22.273454307407075,351530291.8387611
2010-10,392429025.2530362,18510954.51073016,22.27184893117531,351568949.63942444
2010-11,393049381.8125716,18503861.76503311,22.270243554943548,351607607.4400878
2010-12,393669738.3721069,18496769.01933606,22.268638178711782,351646265.2407511
2011-1,394290094.9316423,18489676.273639012,22.267032802480017,351684923.04141444
2011-2,394789752.66240656,18481062.498549566,22.261792981943007,351660295.09652674
2011-3,395289410.39317083,18472448.72346012,22.256553161406,351635667.15163904
2011-4,395789068.12393504,18463834.948370673,22.25131334086899,351611039.20675135
