State,Date,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Year
Santa Catarina,2008-10,1.5312499999999984,1017.0239919354839,934.3748235294122,19.986693548387098,16.892674731182794,83.18548387096774,2.4360887096774193,2008
Santa Catarina,2008-11,2.691063829787238,1015.3725,1051.4039906103276,21.16347222222222,18.16027777777778,83.57083333333334,2.2279166666666663,2008
Santa Catarina,2008-12,4.023684210526315,1012.2635752688171,1603.4973856209147,23.037096774193547,18.483736559139786,76.34274193548387,2.6201612903225806,2008
Santa Catarina,2009-01,1.5928571428571427,1012.265255376344,1412.614130434782,23.971236559139783,19.498655913978496,77.38440860215054,2.3562499999999997,2009
Santa Catarina,2009-02,2.2222222222222214,1012.2080357142858,1295.0796344647522,25.06785714285714,21.120386904761904,79.45386904761905,2.19375,2009
Santa Catarina,2009-03,3.366153846153844,1012.2592741935484,1407.261330049262,24.81733870967742,20.524731182795698,77.91397849462365,2.0172043010752687,2009
Santa Catarina,2009-04,4.12051282051282,1016.2118055555555,1245.0087431694003,22.341666666666665,18.03013888888889,77.68611111111112,2.1373611111111113,2009
Santa Catarina,2009-05,1.3843750000000001,1016.0719086021505,944.3989333333332,20.015860215053763,16.020967741935486,78.92204301075269,1.753763440860215,2009
Santa Catarina,2009-06,0.7826086956521742,1018.9218055555555,939.5808955223878,16.23125,12.102638888888889,78.05694444444444,1.7083333333333333,2009
Santa Catarina,2009-07,1.1714285714285726,1019.0979166666666,791.036781609196,15.540389784946235,12.275873655913978,81.70362903225806,1.7838709677419355,2009
Santa Catarina,2009-08,1.5178571428571452,1018.1374327956989,1097.1910994764398,17.488306451612903,14.174798387096775,81.90456989247312,2.1032258064516136,2009
Santa Catarina,2009-09,1.9920353982300871,1016.317986111111,900.7928176795583,18.774236111111108,15.495347222222222,81.94583333333334,2.3102083333333314,2009
Santa Catarina,2009-10,1.2578313253012054,1015.0763440860215,1166.457793764988,19.704973118279568,16.0184811827957,80.07594086021506,2.570430107526882,2009
Santa Catarina,2009-11,1.349473684210527,1010.00375,1377.240610328638,24.550694444444446,20.75652777777778,80.02777777777777,2.532361111111111,2009
