,Espírito Santo - Desemprego,Espírito Santo - IDH,Espírito Santo - IDH Educacao,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Espírito Santo - Consumo de Cimento (t),Espírito Santo - IDH Longevidade,Espírito Santo - IDH Renda,Espírito Santo- custo m2 (R$),Espírito Santo - PIB - Estadual,Espírito Santo - PIB - Construção Civil,Espírito Santo - PIB - Per Capita,Espírito Santo - PIB - Preços de Mercado,Espírito Santo - Produção de Cimento (t),Espírito Santo - Depósito Poupança (R$),Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%),Espírito Santo - value
2012-3,9.48926777365269,0.7726175358398804,0.7230779666479611,1.87334973313386,1015.5384375223576,1352.5315715273643,24.433517802337438,19.806717140686622,77.05684580285647,1.773445225437494,125.467,0.8681801515525629,0.7389402963984447,18783.56178737254,71277977.75546788,3625263.5456476496,16.81998995551771,60604437.95261556,211.9617862265004,7939929.197439587,2082387.6543332948,7818155.163588634,204.98505145334764,6641839.904299695,0.5760461169470958,3.7012564342784,0.5994875672440965,0.4859216468538039,-9880.218215766452,2.117529533577395,180.71744525807563,193449623.3626464,351.9602562653163,0.7934804767483497,0.3512868169037257
2012-4,9.53596754366992,0.7727176559483727,0.7232908294332211,1.850483779742102,1016.4174383401516,1279.2603546530104,23.780109756081043,19.314432393312785,77.78685167912376,1.6912659053181134,110.051,0.868215632042649,0.7386720837282972,18865.26985684883,71323744.9952731,3620972.931747936,16.807287474367023,60578143.20359022,211.20484000504703,8008813.54450504,2111976.906594465,7819665.053377971,204.4199195303736,6586238.249807633,0.5748028697718967,3.72146393566208,0.6070633278923643,0.495982472496991,-10098.092464217463,2.1289644149802243,181.5564526382924,193545333.2950128,353.2302707373579,0.6939196106512057,0.3523461420922996
2012-5,9.58266731368715,0.7728177760568651,0.7235036922184811,2.016161692158503,1017.9580382527804,1225.273210719719,23.049018684321744,18.81500497505661,78.75141267293313,1.6355603025587613,100.214,0.868251112532735,0.7384038710581496,18946.73565655401,71369512.23507832,3616682.317848221,16.794584993216333,60551848.45456488,210.7909388726394,8077697.891570494,2140889.712185552,7821174.943167307,202.61621355167503,6636349.699843464,0.5455839993066408,3.722544073988096,0.6337829017520761,0.4931284401808382,-9610.545103294866,2.157948049971086,182.4346139941252,193641043.2273793,354.4964911014999,0.5695255856507171,0.3534057549556888
2012-6,9.62936708370438,0.7729178961653574,0.7237165550037411,1.8137131801058668,1018.6021214993168,1245.0810054679566,22.85541227686868,18.49073360626043,78.08744789207415,1.7063111776214586,111.584,0.8682865930228211,0.7381356583880022,19042.35476608737,71415279.47488354,3612391.703948507,16.781882512065646,60525553.705539554,210.64953563850784,8146582.238635947,2168151.123756004,7822684.832956645,200.09828722519805,6704965.12234622,0.5142239683724931,3.724801601930035,0.6091979248637831,0.4947842743091953,-9553.334932170872,2.190346510129612,183.31277534995792,193736753.15974572,355.7975494593488,0.5795592429448698,0.3543015126029888
2012-7,9.676066853721608,0.7730180162738498,0.7239294177890011,1.5893206566574232,1018.6911616066244,1296.8173370799802,22.792507992892336,18.291449156129914,77.46584035643244,1.791698197928333,119.138,0.8683220735129071,0.7378674457178547,19128.864064814567,71461046.71468876,3608101.090048793,16.76918003091496,60499258.95651422,210.26482589061675,8215466.5857014,2193253.767188311,7824194.722745982,197.580998980994,6724867.808025938,0.4886763343071003,3.727469135183626,0.6098789200190179,0.4943665113324502,-9513.302050841186,2.214523649851895,184.1909367057907,193832463.09211224,357.10706045849577,0.5827682636845355,0.3550695131381341
2012-8,9.722766623738837,0.7731181363823421,0.7241422805742611,1.7931543372879346,1018.062492272956,1304.112469740155,23.003588565381,18.61984466397732,77.90135000362605,1.8152052945173,113.912,0.8683575540029931,0.7375992330477071,19214.980380194724,71506813.95449398,3603810.4761490794,16.75647754976427,60472964.20748888,209.55529462646987,8284350.932766854,2220406.178188863,7825704.612535319,194.1146895688759,6776417.363070431,0.4575820419650054,3.736454147422733,0.5983134710296607,0.4915042848216534,-9248.591121065274,2.219844415701115,185.0056382046313,193928173.0244788,358.42563927069864,0.6501678151976338,0.3557458937135581
2012-9,9.769466393756066,0.7732182564908344,0.7243551433595211,1.725914370335982,1016.466152755101,1415.5569199900062,23.83005745775966,19.10571269941453,76.44293091261906,1.9598492795436344,108.664,0.8683930344930791,0.7373310203775597,19298.180538791377,71552581.1942992,3599519.862249364,16.743775068613584,60446669.45846355,209.25673994472157,8353235.279832307,2249052.189075435,7827214.502324657,190.6508619473117,6766432.771433274,0.4292143004039244,3.722784656521272,0.5963880599560772,0.495333786512332,-8953.98283753283,2.23523857379288,185.820339703472,194023882.9568452,359.6964788165113,0.739173326814493,0.356411327134016
2012-10,9.816166163773296,0.7733183765993268,0.7245680061447811,1.9593852105881628,1015.279853328764,1463.7932139953662,24.50046887889053,19.724526917023336,76.36879740659346,1.9735536474065567,127.674,0.8684285149831652,0.7370628077074122,19382.46163332703,71598348.43410443,3595229.24834965,16.731072587462894,60420374.70943821,208.64027109754892,8422119.62689776,2284984.67345286,7828724.392113993,187.0842560111292,7171936.691454741,0.420275744209899,3.687847760788801,0.5956099986115735,0.4926639045673969,-8835.504327700251,2.2363657278565263,186.6350412023126,194119592.8892117,360.92362253497214,0.6484022586395336,0.3570650142464392
2012-11,9.862865933790523,0.773418496707819,0.7247808689300411,1.9897369555523703,1014.4757869607836,1520.8193615731357,25.136290425255424,20.26851813873534,76.08427223425527,1.969715546158,113.995,0.8684639954732513,0.7367945950372646,19460.943471390907,71644115.67390965,3590938.634449936,16.718370106312207,60394079.96041288,208.042221718084,8491003.973963214,2315876.172505659,7830234.28190333,185.0362925351064,7666615.040935603,0.44717948920874,3.634126483462014,0.6005163471467005,0.4912755604377996,-8581.940757744464,2.249359243852222,187.3747507762704,194215302.8215782,362.11431379951,0.8483336510832361,0.3576531685324696
2012-12,9.909565703807754,0.7735186168163114,0.7249937317153011,2.2964343274247416,1014.0850517932996,1569.5656450393149,25.71590771604138,20.67799005346012,75.42819071983926,2.003327737764633,104.98,0.8684994759633373,0.7365263823671172,19537.07449880871,71689882.91371487,3586648.0205502217,16.705667625161517,60367785.211387545,207.7778372421697,8559888.321028668,2343792.169191704,7831744.1716926675,184.80773250297705,7896021.092284068,0.4479600832678483,3.5843948488501622,0.5956513693421339,0.4951952296466009,-8544.01174850321,2.257490310710041,188.1144603502281,194311012.75394467,363.2792172761229,0.7050754851328997,0.3582273620554984
