,Acre - Consumo de Cimento (t),Acre- custo m2 (R$),Acre - IDH Longevidade,Acre - IDH Renda,Acre - Desemprego,Acre - IDH,Acre - PIB - Estadual,Acre - PIB - Construção Civil,Acre - PIB - Per Capita,Acre - PIB - Preços de Mercado,Acre - IDH Educacao,Acre - Depósito Poupança (R$),Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%)
2009-11,9.583,17328.52875657143,0.7949869476769273,0.6592758725968502,8.518976741967057,0.7087848636399482,7960684.138249335,418053.663796365,9.396826887561678,6755583.015991444,0.6744949638068327,595207.4750764404,1394220.7836613408,7740082.795128002,255.34310713889985,4968540.4622684615,0.5460484315742349,2.928291955419483,0.5912075438524862,0.4618168766069392,-9497.345398002251,2.177604887432468,166.21570004913676,190436505.18272892,302.8565593957302,0.7700278820075507
2009-12,10.671,17453.618442122766,0.7951308508690014,0.6593399541257217,8.516635811701908,0.7089126491808118,7976235.956320855,417441.6698573856,9.395605352178022,6758930.86293568,0.6747721645179255,597293.2430382202,1412214.7556779748,7744033.696371524,240.3044626744236,5129826.363697898,0.5427257627326397,2.939321904384969,0.5870573500038764,0.4644167127850657,-9190.300907588446,2.124224012723041,166.81588809447058,190596152.09136447,304.120261718961,0.6898760251950916
2010-1,10.806,17577.1135561412,0.7952747540610754,0.659404035654593,8.51429488143676,0.7090404347216752,7991787.774392375,416829.6759184062,9.394383816794363,6762278.709879917,0.6750493652290184,599379.011,1427319.107867863,7747984.597615046,228.76182954634024,5091491.888697272,0.5528867394615864,2.951546190103343,0.6027048817569469,0.4691088914703447,-9688.588371030834,2.0799573598611705,167.41607613980435,190755799.0,306.32712710827536,0.7984149643257024
2010-2,7.55,17703.540338317824,0.7953807772253254,0.6594601318950932,8.513169503890452,0.7091422191574568,8006157.096663113,416343.6925319601,9.393760630782744,6765040.589235511,0.6752937692743812,597556.8949251622,1442690.7727091676,7751204.361214897,222.79586929236652,4918423.521659033,0.5359195328522104,2.9649903413200875,0.5955700194878013,0.4638866746250542,-9576.958631035535,2.030863470139216,168.1125206007806,190858600.18802968,307.98833800895983,0.6340516025801447
2010-3,13.999,17832.021439273954,0.7954868003895753,0.6595162281355934,8.512044126344145,0.7092440035932382,8020526.418933852,415857.709145514,9.393137444771122,6767802.468591105,0.6755381733197441,595734.7788503242,1461585.576115406,7754424.124814747,216.7625186875124,4912351.888847262,0.5269652285318539,2.979679886780686,0.5982752954789717,0.4529411903376403,-9737.230041667011,1.9872203448387613,168.80896506175682,190961401.3760593,309.72831966497404,0.8247337983618206
2010-4,10.883,17959.523980551596,0.7955928235538253,0.6595723243760936,8.510918748797838,0.7093457880290197,8034895.74120459,415371.7257590679,9.3925142587595,6770564.347946699,0.6757825773651069,593912.6627754862,1484105.0697649147,7757643.888414597,210.5177978363556,4850330.205261258,0.5365275225694347,2.9956403552306226,0.5978042087664871,0.455830055988475,-10059.393149424635,1.938766300428007,169.50540952273306,191064202.56408903,311.4552844509332,0.7324555326526557
2010-5,12.063,18087.770280880253,0.7956988467180753,0.6596284206165938,8.509793371251531,0.7094475724648013,8049265.063475328,414885.7423726217,9.39189107274788,6773326.227302292,0.6760269814104697,592090.5467006484,1508781.9291760642,7760863.652014448,206.7060824353524,4891888.062085704,0.5422255150798765,3.0128972754153795,0.6184467692784309,0.4519925678913392,-9786.943488370514,1.900423502203311,169.9891290692008,191167003.7521188,313.1723727610079,0.8264367733604508
2010-6,12.514,18214.99791434729,0.7958048698823252,0.659684516857094,8.508667993705224,0.7095493569005829,8063634.385746066,414399.7589861756,9.39126788673626,6776088.106657886,0.6762713854558325,590268.4306258105,1535088.9997881958,7764083.415614299,205.42042302453103,4953811.558473392,0.526058037576734,3.0314761760804405,0.5958291622572781,0.4452546601697086,-9905.786117325402,1.8856666637377413,170.47284861566854,191269804.9401484,314.8865379700195,0.7835509006430283
2010-7,18.791,18340.833835392717,0.7959108930465753,0.6597406130975942,8.507542616158917,0.7096511413363643,8078003.708016804,413913.7755997295,9.390644700724636,6778849.98601348,0.6765157895011954,588446.3145509725,1562309.585792852,7767303.179214149,204.9046786897802,5009561.05202782,0.5522966590697518,3.0514025859712883,0.5865859204975183,0.4546156103614938,-10012.607609861,1.8938061232400991,170.95656816213628,191372606.1281781,316.56033133990786,0.6956631681759645
2010-8,20.986,18470.61837921141,0.7960169162108253,0.6597967093380944,8.50641723861261,0.7097529257721458,8092373.030287542,413427.79221328336,9.390021514713014,6781611.865369074,0.6767601935465583,586624.1984761346,1592121.7171162094,7770522.942813999,203.17461667472924,5040041.3907002425,0.5776013784579778,3.0727020338334063,0.5826586136352507,0.4638587019783974,-10127.16701415496,1.9055306692046643,171.25856541637074,191475407.31620777,318.2396775020137,0.8448625278586105
2010-9,15.808,18599.41311434172,0.7961229393750752,0.6598528055785946,8.505291861066302,0.7098547102079273,8106742.352558281,412941.8088268372,9.389398328701391,6784373.744724668,0.6770045975919211,584802.0824012967,1622699.4605818123,7773742.706413849,202.5725811370021,5067277.008789612,0.5772035539111675,3.095400048412278,0.5845130658367664,0.4761580018141546,-10250.239819329276,1.9300080246741709,171.5605626706052,191578208.50423744,319.89544074969774,0.94745863654434
2010-10,18.127,18729.071314736204,0.7962289625393252,0.6599089018190948,8.504166483519995,0.7099564946437089,8121111.674829019,412455.8254403911,9.388775142689772,6787135.624080261,0.6772490016372839,582979.9663264588,1653010.8355396043,7776962.4700137,200.82514259821528,5384491.593871971,0.5519922392666898,3.1195221584533863,0.5851989203903505,0.4806927669176689,-9855.109255533838,1.9496834440674369,171.86255992483967,191681009.69226712,321.53044871503295,0.8548584317510831
2010-11,18.846,18860.72614255163,0.7963349857035752,0.659964998059595,8.503041105973688,0.7100582790794904,8135480.997099757,411969.84205394494,9.38815195667815,6789897.503435856,0.6774934056826467,581157.8502516209,1678568.2592242833,7780182.233613551,197.82940310653663,5781902.667862317,0.5389303803124353,3.1450938927022145,0.5889002595704534,0.4792117692065355,-9697.432210565865,1.9809369678190991,172.0107835827681,191783810.88029683,323.1458609887072,0.8102428340912935
2010-12,14.332,18993.383158255,0.7964410088678251,0.6600210943000951,8.501915728427381,0.7101600635152718,8149850.319370496,411483.85866749886,9.38752877066653,6792659.382791449,0.6777378097280096,579335.7341767829,1700901.4189527775,7783401.997213401,196.5628622489306,6002343.419808857,0.5226303587391766,3.1721407799042463,0.5859531226578283,0.4797986866964565,-10050.732911371206,2.016086379686157,172.15900724069655,191886612.0683265,324.7538296897781,0.7964293770587095
2011-1,11.415,19127.05077961446,0.7965470320320751,0.6600771905405953,8.500790350881074,0.7102618479510534,8164219.641641234,410997.8752810527,9.386905584654908,6795421.262147043,0.6779822137733724,577513.618101945,1719873.5356354122,7786621.760813251,195.26229519254417,5930218.377270235,0.5232972131171288,3.200688348804965,0.5868072050415946,0.485803381917484,-10517.124472033394,2.035093128055376,172.307230898625,191989413.25635612,326.9875867828149,0.893395740441149
2011-2,13.36,19263.71666153401,0.7966050599463494,0.6601257226160325,8.65360319370719,0.7103237165140548,8177670.258358659,410693.63151383656,9.386615134647608,6798110.002165535,0.6781662543203164,580936.9289436209,1741089.790917638,7788997.896079644,192.02809878913607,5722976.141557818,0.5089693151224648,3.2307621281498524,0.5919181218163453,0.4823188015534446,-10136.637212959104,2.0617197249168107,172.5793154783086,192095145.77648595,328.90698934227674,0.9169684528627234
2011-3,12.147,19397.628226938843,0.7966630878606238,0.6601742546914697,8.806416036533307,0.7103855850770563,8191120.8750760835,410389.3877466204,9.386324684640307,6800798.742184026,0.6783502948672604,584360.2397852967,1763251.2653106102,7791374.031346036,188.8449346761306,5702026.80761761,0.4966673062887451,3.26,0.5978188398925539,0.4765888567715217,-10178.562458683811,2.079526018829988,172.85140005799215,192200878.2966157,330.8008274940011,0.8172419431451659
2011-4,10.035,19535.131344523885,0.7967211157748981,0.6602227867669068,8.959228879359422,0.7104474536400577,8204571.491793508,410085.1439794042,9.386034234633009,6803487.482202518,0.6785343354142044,587783.5506269725,1788022.6112456496,7793750.166612428,186.8868295225354,5697124.601037086,0.483448023435273,3.2975000000000003,0.6056625101161331,0.4724763218727945,-10225.7655016099,2.095742570726438,173.12348463767574,192306610.81674543,332.5671680846741,0.8755603531716446
2011-5,13.453,19635.053027710703,0.7967791436891725,0.660271318842344,9.112041722185538,0.7105093222030592,8218022.108510933,409780.9002121881,9.385743784625708,6806176.222221009,0.6787183759611484,591206.8614686483,1813031.375311252,7796126.30187882,185.6702366794567,5757497.69580094,0.4794375297414004,3.333500000000001,0.631128227052354,0.4647701832003508,-9993.389038138808,2.1045733049199136,173.56700888087894,192412343.33687523,334.3322857327884,0.9645144336524022
2011-6,16.209,19772.30699367865,0.7968371716034468,0.6603198509177812,9.264854565011651,0.7105711907660606,8231472.725228358,409476.6564449719,9.385453334618408,6808864.962239501,0.6789024165080924,594630.1723103242,1839504.3973113808,7798502.437145213,184.6193901334277,5831145.897125605,0.4943626052826666,3.3642000000000003,0.5950919575302004,0.460777089427583,-9975.112230204764,2.095226448555367,174.01053312408214,192518075.857005,336.10791478900336,0.8288299944369717
2011-7,15.53,19880.74612086855,0.7968951995177211,0.6603683829932184,9.417667407837769,0.710633059329062,8244923.341945782,409172.4126777558,9.385162884611107,6811553.702257993,0.6790864570550363,598053.483152,1868925.5545245265,7800878.572411605,184.62914301662644,5874517.372275309,0.4999529609128011,3.4055400000000007,0.5975398841785342,0.4586625612219078,-9903.241596764476,2.0859703688695106,174.45405736728534,192623808.3771348,337.9259091390509,0.8811708978486625
2011-8,18.462,19974.15035201834,0.7969532274319954,0.6604169150686556,9.570480250663886,0.7106949278920635,8258373.958663207,408868.1689105397,9.384872434603809,6814242.442276483,0.6792704976019804,601476.7939936758,1897916.3903671813,7803254.707677998,185.99681092531827,5929179.957706182,0.5104707470584671,3.451948,0.5950647433019467,0.4606629482097047,-9768.231853083638,2.087218082990609,175.19370581801144,192729540.8972645,339.7435031281796,0.8353216021324007
2011-9,19.936,20068.068696968952,0.7970112553462697,0.6604654471440928,9.72329309349,0.7107567964550648,8271824.575380632,408563.9251433235,9.384581984596506,6816931.182294975,0.6794545381489244,604900.1048353517,1928378.7889783413,7805630.84294439,189.47431376168907,5940280.036134298,0.5256001504469264,3.4954976,0.6015952884327453,0.4606035369977562,-9679.164240091171,2.075344728788324,175.9333542687375,192835273.4173943,341.56729685182097,0.9932758224293476
2011-10,20.238,20165.27367341238,0.797069283260544,0.66051397921953,9.876105936316115,0.7108186650180663,8285275.192098057,408259.6813761073,9.384291534589206,6819619.922313467,0.6796385786958684,608323.4156770275,1959904.0358691043,7808006.978210783,194.88246387438537,6283798.032664096,0.5230163290600557,3.52948912,0.6045280531318781,0.4616014514378777,-9537.77691961498,2.077328519541877,176.6730027194636,192941005.93752408,343.35374325642675,0.8529009397936996
2011-11,14.867,20260.74727612171,0.7971273111748184,0.6605625112949671,10.028918779142234,0.7108805335810677,8298725.808815481,407955.4376088912,9.384001084581907,6822308.662331958,0.6798226192428124,611746.7265187033,1988806.964969489,7810383.113477174,198.08112301122443,6720960.102087679,0.5203108881755449,3.560997344,0.6075073462033619,0.4639560877440755,-9968.453886702957,2.074663694821419,177.46181197885645,193046738.45765385,345.12786962823395,0.9080862842620008
