,Mato Grosso do Sul - PIB - Estadual,Mato Grosso do Sul - PIB - Construção Civil,Mato Grosso do Sul - PIB - Per Capita,Mato Grosso do Sul - PIB - Preços de Mercado
2005-12,47645430.30429497,2208574.2389865723,16.375041672494227,40243484.34485769
2006-1,47703785.789629176,2210487.1500488967,16.382366741241967,40266844.162208304
2006-2,47758211.521990016,2212053.7718505724,16.388870909486794,40287537.276588805
2006-3,47812637.254350856,2213620.3936522477,16.395375077731625,40308230.3909693
2006-4,47867062.986711696,2215187.0154539235,16.401879245976453,40328923.5053498
2006-5,47921488.71907253,2216753.6372555993,16.40838341422128,40349616.6197303
2006-6,47975914.45143337,2218320.2590572746,16.41488758246611,40370309.734110795
2006-7,48030340.18379421,2219886.8808589503,16.42139175071094,40391002.848491296
2006-8,48084765.91615505,2221453.502660626,16.427895918955766,40411695.9628718
2006-9,48139191.64851589,2223020.1244623014,16.434400087200597,40432389.07725229
2006-10,48193617.38087672,2224586.746263977,16.440904255445425,40453082.19163279
2006-11,48248043.11323756,2226153.368065653,16.447408423690252,40473775.30601329
2006-12,48302468.8455984,2227719.989867328,16.453912591935083,40494468.42039379
2007-1,48356894.57795924,2229286.611669004,16.46041676017991,40515161.53477429
2007-2,48406524.13804332,2231046.3104876876,16.46653857439697,40532606.22758991
2007-3,48456153.698127404,2232806.009306371,16.472660388614035,40550050.92040553
2007-4,48505783.25821149,2234565.7081250544,16.478782202831095,40567495.61322115
2007-5,48555412.818295576,2236325.406943738,16.484904017048155,40584940.30603677
2007-6,48605042.37837966,2238085.1057624216,16.49102583126522,40602384.998852395
2007-7,48654671.93846374,2239844.804581105,16.49714764548228,40619829.69166802
2007-8,48704301.49854782,2241604.5033997884,16.50326945969934,40637274.384483635
2007-9,48753931.058631904,2243364.202218472,16.509391273916403,40654719.07729926
2007-10,48803560.61871599,2245123.9010371557,16.515513088133464,40672163.77011488
2007-11,48853190.178800076,2246883.5998558393,16.521634902350524,40689608.4629305
2007-12,48902819.73888416,2248643.2986745224,16.527756716567588,40707053.15574612
2008-1,48952449.29896824,2250402.997493206,16.533878530784648,40724497.84856174
2008-2,48992327.47790575,2251974.9036082635,16.536530210785493,40735298.39698672
2008-3,49032205.65684326,2253546.8097233204,16.539181890786335,40746098.94541171
2008-4,49072083.83578078,2255118.715838378,16.54183357078718,40756899.49383669
2008-5,49111962.01471829,2256690.6219534352,16.54448525078802,40767700.04226168
2008-6,49151840.1936558,2258262.528068492,16.547136930788866,40778500.590686664
2008-7,49191718.37259331,2259834.4341835496,16.54978861078971,40789301.13911165
2008-8,49231596.55153082,2261406.340298607,16.552440290790553,40800101.687536635
2008-9,49271474.73046833,2262978.246413664,16.5550919707914,40810902.235961616
2008-10,49311352.90940584,2264550.1525287214,16.55774365079224,40821702.784386605
2008-11,49351231.08834335,2266122.058643779,16.560395330793085,40832503.33281159
2008-12,49391109.26728087,2267693.9647588357,16.563047010793927,40843303.881236576
2009-1,49430987.44621838,2269265.870873893,16.565698690794772,40854104.42966156
2009-2,49553395.24571354,2271006.5067759654,16.57699868079483,40898087.575752564
