,Distrito Federal - PIB - Estadual,Distrito Federal - PIB - Construção Civil,Distrito Federal - PIB - Per Capita,Distrito Federal - PIB - Preços de Mercado
2014-2,139389842.71545705,3473474.9526038393,43.88081440987861,113570758.15865016
2014-3,139510440.27696216,3470252.2371507483,43.87795841086126,113582785.88130987
2014-4,139631037.8384673,3467029.521697657,43.87510241184391,113594813.60396956
2014-5,139751635.3999724,3463806.8062445656,43.87224641282657,113606841.32662925
2014-6,139872232.96147755,3460584.0907914746,43.86939041380923,113618869.04928894
2014-7,139992830.52298266,3457361.3753383835,43.86653441479188,113630896.77194864
2014-8,140113428.0844878,3454138.6598852924,43.86367841577453,113642924.49460834
2014-9,140234025.64599293,3450915.9444322013,43.86082241675719,113654952.21726803
2014-10,140354623.20749804,3447693.22897911,43.857966417739846,113666979.93992773
2014-11,140475220.76900318,3444470.5135260187,43.8551104187225,113679007.66258743
2014-12,140595818.3305083,3441247.7980729276,43.85225441970515,113691035.38524713
2015-1,140716415.89201343,3438025.0826198366,43.849398420687805,113703063.10790682
2015-2,140791959.0110205,3437448.4510030635,43.847661688725786,113707682.45447338
2015-3,140867502.1300276,3436871.819386291,43.84592495676377,113712301.80103993
2015-4,140943045.2490347,3436295.1877695182,43.844188224801755,113716921.14760649
2015-5,141018588.36804178,3435718.556152745,43.842451492839736,113721540.49417305
2015-6,141094131.48704886,3435141.924535972,43.84071476087772,113726159.84073961
2015-7,141169674.60605595,3434565.2929191994,43.8389780289157,113730779.18730617
2015-8,141245217.72506303,3433988.661302427,43.83724129695368,113735398.53387274
2015-9,141320760.8440701,3433412.0296856537,43.83550456499166,113740017.8804393
2015-10,141396303.9630772,3432835.3980688807,43.83376783302964,113744637.22700585
2015-11,141471847.0820843,3432258.766452108,43.83203110106763,113749256.57357241
2015-12,141547390.20109138,3431682.1348353354,43.83029436910561,113753875.92013897
2016-1,141622933.32009846,3431105.5032185623,43.82855763714359,113758495.26670553
2016-2,141632280.31688112,3430741.394815637,43.82638999199791,113749938.4702078
2016-3,141641627.31366378,3430377.2864127117,43.82422234685222,113741381.67371006
2016-4,141650974.31044644,3430013.1780097866,43.822054701706534,113732824.87721232
2016-5,141660321.3072291,3429649.069606861,43.81988705656085,113724268.08071458
2016-6,141669668.30401176,3429284.9612039356,43.81771941141516,113715711.28421685
2016-7,141679015.30079442,3428920.8528010105,43.81555176626948,113707154.48771912
2016-8,141688362.2975771,3428556.7443980854,43.813384121123796,113698597.69122139
2016-9,141697709.29435977,3428192.63599516,43.81121647597811,113690040.89472365
2016-10,141707056.29114243,3427828.5275922343,43.809048830832424,113681484.09822592
2016-11,141716403.2879251,3427464.4191893092,43.80688118568674,113672927.30172817
2016-12,141725750.28470775,3427100.310786384,43.80471354054105,113664370.50523044
2017-1,141735097.28149042,3426736.2023834586,43.80254589539537,113655813.70873271
2017-2,141700180.29952574,3428666.131878266,43.80187446687442,113638667.38236299
2017-3,141665263.31756106,3430596.061373073,43.80120303835348,113621521.05599327
2017-4,141630346.33559638,3432525.9908678806,43.80053160983254,113604374.72962356
2017-5,141595429.35363168,3434455.9203626877,43.799860181311594,113587228.40325382
2017-6,141560512.371667,3436385.849857495,43.79918875279065,113570082.0768841
2017-7,141525595.38970232,3438315.7793523027,43.79851732426971,113552935.75051439
2017-8,141490678.40773764,3440245.7088471097,43.797845895748765,113535789.42414467
2017-9,141455761.42577296,3442175.638341917,43.79717446722782,113518643.09777495
2017-10,141420844.44380826,3444105.567836724,43.796503038706874,113501496.77140522
2017-11,141385927.46184358,3446035.4973315317,43.79583161018593,113484350.4450355
2017-12,141351010.4798789,3447965.4268263387,43.79516018166499,113467204.11866578
2018-1,141316093.49791422,3449895.3563211462,43.794488753144044,113450057.79229607
2018-2,141226346.57201734,3451725.527345793,43.788943055147186,113425017.30716886
2018-3,141136599.6461205,3453555.69837044,43.78339735715033,113399976.82204166
2018-4,141046852.7202236,3455385.8693950865,43.77785165915347,113374936.33691445
2018-5,140957105.79432672,3457216.040419733,43.77230596115661,113349895.85178725
2018-6,140867358.86842984,3459046.2114443798,43.76676026315975,113324855.36666004
2018-7,140777611.94253296,3460876.3824690264,43.761214565162895,113299814.88153285
2018-8,140687865.0166361,3462706.5534936734,43.75566886716604,113274774.39640564
2018-9,140598118.09073922,3464536.72451832,43.75012316916918,113249733.91127843
2018-10,140508371.16484234,3466366.8955429667,43.74457747117232,113224693.42615123
2018-11,140418624.23894548,3468197.0665676137,43.73903177317546,113199652.94102402
2018-12,140328877.3130486,3470027.2375922604,43.733486075178604,113174612.45589682
2019-1,140239130.38715172,3471857.408616907,43.727940377181746,113149571.97076961
2019-2,140066728.54508367,3474199.890287824,43.71932875740559,113104383.75001962
2019-3,139894326.70301563,3476542.3719587405,43.71071713762943,113059195.52926964
2019-4,139721924.86094755,3478884.8536296575,43.702105517853276,113014007.30851965
2019-5,139549523.0188795,3481227.3353005745,43.69349389807712,112968819.08776966
2019-6,139377121.17681146,3483569.816971491,43.68488227830097,112923630.86701967
2019-7,139204719.3347434,3485912.298642408,43.676270658524814,112878442.64626968
2019-8,139032317.49267536,3488254.780313325,43.66765903874865,112833254.42551968
2019-9,138859915.65060732,3490597.2619842417,43.6590474189725,112788066.20476969
2019-10,138687513.80853927,3492939.7436551587,43.650435799196345,112742877.9840197
2019-11,138515111.9664712,3495282.2253260757,43.64182417942018,112697689.76326971
2019-12,138342710.12440315,3497624.706996992,43.63321255964403,112652501.54251972
2020-1,138170308.2823351,3499967.1886679092,43.624600939867875,112607313.32176973
2020-2,137967544.54022592,3500990.01655033,43.62983595605884,112584089.12975806
2020-3,137764780.79811677,3502012.8444327507,43.63507097224981,112560864.9377464
2020-4,137562017.0560076,3503035.672315171,43.64030598844077,112537640.74573474
2020-5,137359253.3138984,3504058.5001975917,43.64554100463174,112514416.55372308
2020-6,137156489.57178926,3505081.3280800125,43.650776020822704,112491192.36171141
2020-7,136953725.8296801,3506104.155962433,43.65601103701367,112467968.16969976
2020-8,136750962.0875709,3507126.983844854,43.66124605320463,112444743.97768809
2020-9,136548198.34546176,3508149.8117272747,43.666481069395594,112421519.78567642
2020-10,136345434.60335258,3509172.6396096954,43.67171608558656,112398295.59366477
2020-11,136142670.8612434,3510195.4674921157,43.676951101777526,112375071.4016531
2020-12,135939907.11913425,3511218.2953745364,43.68218611796849,112351847.20964144
2021-1,135737143.37702507,3512241.123256957,43.68742113415946,112328623.01762977
2021-2,135491874.61832872,3513322.074398688,43.693752975217095,112299072.89877157
2021-3,135246605.8596324,3514403.025540419,43.70008481627473,112269522.77991337
2021-4,135001337.10093606,3515483.97668215,43.70641665733237,112239972.66105518
2021-5,134756068.34223974,3516564.9278238807,43.712748498390006,112210422.54219697
2021-6,134510799.5835434,3517645.8789656116,43.71908033944764,112180872.42333877
2021-7,134265530.82484704,3518726.8301073425,43.72541218050528,112151322.30448057
2021-8,134020262.06615071,3519807.781249073,43.73174402156292,112121772.18562236
2021-9,133774993.30745438,3520888.7323908038,43.738075862620555,112092222.06676416
2021-10,133529724.54875804,3521969.6835325346,43.74440770367819,112062671.94790596
2021-11,133284455.79006171,3523050.6346742655,43.75073954473583,112033121.82904777
2021-12,133039187.03136536,3524131.5858159964,43.757071385793466,112003571.71018957
2022-1,132793918.27266903,3525212.5369577273,43.7634032268511,111974021.59133136
