,Goiás - Produção de Cimento (t),Goiás - Consumo de Cimento (t),Goiás - IDH Educacao,Goiás - IDH,Precipitação (mm/day),Pressão Atmosférica (mB),Radiação Global - Dia (Kj/m²),Temmperatura do Ar - Bulbo Seco (°C),Temperatura de Ponto de Orvalho (°C),Humidade Relativa do Ar (%),Velocidade do Vento (m/s),Goiás - IDH Longevidade,Goiás- custo m2 (R$),Goiás - Depósito Poupança (R$),Goiais - Preço Cimento,Goiás - PIB - Estadual,Goiás - PIB - Construção Civil,Goiás - PIB - Per Capita,Goiás - PIB - Preços de Mercado,Goiás - Desemprego,Goiás - IDH Renda,Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%)
2014-7,117.65953477025388,302.97151885091773,0.7465395060169597,0.7534284443197407,2.5433218559688986,933.677135283594,1452.362774294779,23.49371011967543,12.88014498154198,57.08719289624145,1.3481328935655423,0.7801191426319523,21278.21352793481,10961046.4996426,0.3567213552332303,111052755.83526988,5670381.76380395,14.222462174457371,87863821.23620237,9.206933427809528,0.7370712868265995,2839564.912219671,7836182.459143104,245.95546011559145,8464294.898262864,0.5985422951333923,2.946354546981741,0.5673668679938052,0.6313860080878928,-3216.635878446735,2.7882412615797647,193.09627497119905,195945803.95947385,379.2479144736732,0.8627885677789362
2014-8,117.49882023927788,310.5841308319252,0.7466964360570728,0.753404633948539,2.473580547896745,932.8911636357906,1480.6373687125772,24.130592550188688,13.424826838266762,56.96548869021946,1.3354863919050854,0.7798999369161652,21390.843029626954,10883912.594485966,0.3573258191250054,111129175.95926332,5663454.7418117765,14.219823368213586,87861265.51465094,9.2387963100445,0.7370517620721102,2866007.616790009,7835688.959893649,248.1052398411182,8518216.174225692,0.620784457599235,2.947524495902711,0.5571115199932906,0.6429578345522896,-2885.616364724399,2.799745702635436,193.10516990823825,196027153.17600223,379.8439705424453,0.9327343055875216
2014-9,117.34391097045476,301.7752590814188,0.7468533660971859,0.7533808235773372,2.7690181159859897,932.2667032755056,1457.9422377021135,24.45905291554505,14.658742606899766,60.04277962930704,1.2886690404615275,0.7796807312003783,21490.59522283437,10806778.689329334,0.357931300896608,111205596.08325677,5656527.719819604,14.217184561969798,87858709.79309951,9.270659192279467,0.7370322373176208,2895637.7058019363,7835195.460644195,250.12317926408767,8549777.09455971,0.6235028742448315,2.92277580857689,0.5613727046660177,0.6425793355672005,-2848.963410513361,2.808315116654504,193.11406484527748,196108502.39253065,380.46561670751805,0.8350796030219083
2014-10,117.19717696696723,304.6193382597335,0.7470102961372989,0.7533570132061355,2.3424640065131825,931.9843193099714,1478.9256762126254,24.65415192438769,15.402313146467831,61.87407638463864,1.2620633348361865,0.7794615254845914,21592.31106400718,10729644.7841727,0.3585386518495945,111282016.2072502,5649600.69782743,14.21454575572601,87856154.07154807,9.30252207451444,0.7370127125631315,2931029.464518389,7834701.96139474,253.03515869861124,9000369.66814908,0.6297128451395438,2.88206006089592,0.561882595374384,0.6392578161601571,-3907.107095676229,2.804908515488413,193.1229597823167,196189851.609059,381.1028876465953,0.9756249899384358
2014-11,117.05640424924812,278.8890001647884,0.7471672261774119,0.7533332028349338,2.053649061917355,931.738951315934,1460.3599523316336,24.46492809069616,16.57801335501879,66.14256001442722,1.2071107821188696,0.7792423197688043,21696.95951740521,10652510.879016068,0.3591493548727577,111358436.33124363,5642673.675835257,14.211906949482223,87853598.34999663,9.334384956749409,0.7369931878086422,2964438.234064065,7834208.462145286,256.9218579219731,9536828.73733776,0.6229666635258632,2.8409671738945623,0.5609901993899514,0.6373515694579686,-3227.51837665533,2.795899184623759,192.9251057203965,196271200.8255874,381.7593180266183,0.9180574682586488
2014-12,116.9232772628084,275.25,0.747324156217525,0.753309392463732,1.932834825511538,931.77600214172,1441.652538622279,24.33602812438873,17.114750573745784,68.47600363933964,1.175187819942549,0.7790231140530173,21800.57972456852,10575376.973859431,0.3597669284420516,111434856.45523708,5635746.653843084,14.20926814323844,87851042.6284452,9.366247838984378,0.7369736630541528,2993579.13971649,7833714.962895832,262.7230283266409,9802066.068801366,0.620227626267029,2.8246054469580963,0.5583468086194056,0.6360469982134822,-1917.4317974494293,2.78399183647624,192.7272516584762,196352550.0421158,382.4792671114292,0.788962224048855
2015-1,116.78466126813396,222.43358650449437,0.7474810862576381,0.7532855820925303,1.8600316220911808,931.8528438640312,1447.9935833181864,24.37120341023992,17.560445644278317,69.80206969095208,1.1368922436369704,0.7788039083372303,21903.2233361378,10498243.0687028,0.3602407608515106,111511276.57923052,5628819.631850911,14.206629336994652,87848486.90689376,9.398110721219348,0.7369541382996635,3016721.4747561114,7833221.463646377,270.95427807290923,9658320.358175823,0.6247636985731346,2.831114524170532,0.5643201849311866,0.6307582587964796,-2616.8997576320057,2.7629000308796305,192.52939759655595,196433899.2586442,383.8157542401944,1.042209076805477
2015-2,116.35926648242165,206.493420065083,0.7484133254280554,0.7535347442332038,2.1430138472393048,932.1045685699108,1383.6628106655794,23.8493881847165,17.806864726146788,72.30435982534094,1.101076711407282,0.7792391834712042,22004.887462848623,10459199.829020584,0.3607192828193963,111560147.72563048,5624243.056598181,14.20475847729609,87846070.80618463,9.396472293209838,0.7362593089901542,3037025.7228945205,7832032.576236982,280.5523844779109,9322693.87656344,0.6159498907536554,2.857143994225725,0.5578499948925274,0.6147595881948112,-1862.845727482143,2.731373030611945,192.5048976252681,196510910.34709772,384.6355581122495,0.9523099376838796
2015-3,116.30243852494114,230.2429618270028,0.7493455645984726,0.7537839063738772,2.142782580371808,932.7625564089144,1358.2559711962983,23.42043492150399,17.334749105695686,71.89151886862341,1.114812206974561,0.7796744586051783,22104.75692439749,10420156.589338366,0.3612028754040768,111609018.87203044,5619666.481345451,14.20288761759753,87843654.70547551,9.394833865200328,0.735564479680645,3057489.0395301264,7830843.688827586,291.4674472726707,9248753.506081851,0.6007740589226123,2.8976517036792515,0.5538281215537108,0.5970521193441455,-1788.67566224678,2.690513480186384,192.4803976539804,196587921.43555132,385.48813633660825,1.0316822290915963
2015-4,116.09238505614384,231.79615330709947,0.7502778037688898,0.7540330685145507,1.9800609774713904,933.3846371260404,1347.2835494195526,23.09548266671401,16.372398665559494,69.4866884789512,1.148180206965309,0.7801097337391522,22205.67277701001,10381113.34965615,0.3616915942965001,111657890.0184304,5615089.906092722,14.201016757898968,87841238.60476637,9.393195437190816,0.7348696503711358,3073512.3524849294,7829654.801418191,301.9785494967552,9154031.21137906,0.5534640279682566,2.930959139580996,0.5397104233667973,0.5743851449816068,-1983.071950652572,2.644962597296267,192.45589768269247,196664932.5240049,386.42982632793377,1.155610329600543
