,Paraná- custo m2 (R$),Paraná - IDH Renda,Paraná - Depósito Poupança (R$),Paraná - Desemprego,Paraná - Preço do Cimento,Precipitação (mm/day),Pressão Atmosférica (mB),Radiação Global - Dia (Kj/m²),Temperatura do Ar - Bulbo Seco (°C),Temperatura de Ponto de Orvalho (°C),Humidade Relativa do Ar (%),Velocidade do Vento (m/s),Paraná - IDH Longevidade,Paraná - Produção de Cimento (t),Paraná - IDH Educacao,Paraná - PIB - Estadual,Paraná - PIB - Construção Civil,Paraná - PIB - Per Capita,Paraná - PIB - Preços de Mercado,Paraná - IDH,Paraná - Consumo de Cimento (t),Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%)
2006-9,14169.28056511854,0.786527447503039,15068775.338184666,8.075081592782745,0.2802552004135702,1.316380674096327,912.75013860783,1139.519019122268,17.320413817915913,12.40120071583994,75.66480403530981,2.495056504574781,0.831584243709724,368.70380547535615,0.7414541159793685,212249001.21735245,11070576.529207723,17.752970620994127,187509059.64562315,0.7809552180168156,179.982,688540.2959400815,7568335.959584897,227.39699563073523,2968920.409500552,0.6087555012956766,3.141933423246487,0.6374779078573267,0.427904503700878,-8564.573776025667,3.830845488644045,149.86791477408894,184715319.8813756,241.54458321001297,1.064885873032217
2006-10,14242.524954236678,0.7862463630156872,15305059.558180723,8.072786111568488,0.2810150161235324,1.1078183906110552,911.8937883354027,1156.5231606280863,18.3744922255659,13.767549159221826,76.91995705126578,2.4738982953592528,0.8317791034786711,372.5924045899759,0.7417254435650926,212449001.4374583,11083162.918541824,17.75784417057989,187566368.9163009,0.7810349359073004,192.452,702426.9953394711,7573543.98180037,222.68985059654605,3137629.6446888424,0.6272259685547825,3.126495376005314,0.6494765821002537,0.4308949403404751,-8753.077264130869,3.820865481468113,150.62091571199022,184872928.63563767,243.1082823431769,1.3883378064077412
2006-11,14318.145533194853,0.7859652785283353,15541343.778176785,8.070490630354232,0.2817113744023414,1.0775649591238976,911.5106262190642,1195.6017495341553,19.22500130623428,14.67802404433242,77.19889761482897,2.4926485870465926,0.8319739632476183,375.0117182384343,0.7419967711508167,212649001.65756416,11095749.307875928,17.762717720165654,187623678.1869787,0.7811146537977853,193.306,715811.6582559105,7578752.004015843,219.95090827883052,3371346.513797879,0.6138016533493752,3.1112815731886654,0.6544472076430272,0.4297781875807803,-8585.918047929645,3.797759546537678,151.30727369782838,185030537.38989973,244.58619112418265,1.392456147938836
2006-12,14395.199562961114,0.7856841940409836,15777627.998172842,8.068195149139974,0.2822762478039466,1.3862296386057058,911.4216051642868,1250.0630249905778,20.14240803920675,15.4510704293451,76.73362531591275,2.4200630332289634,0.8321688230165655,378.0436770199703,0.742268098736541,212849001.87767,11108335.697210029,17.767591269751417,187680987.45765647,0.7811943716882703,169.285,727560.5307190763,7583960.026231317,217.7367940152106,3478580.7521593445,0.5948781830476984,3.0963175435420256,0.6529124218025248,0.4275878752901689,-8102.613779191029,3.778681269312833,151.99363168366656,185188146.14416185,246.01294427055387,1.1927122116957445
2007-1,14476.14586459336,0.7854031095536317,16013912.2181689,8.065899667925718,0.2830391191051426,1.6516091610081445,911.6558683717888,1235.9408052930485,20.31099169908394,15.702447426307687,77.08706291821086,2.313997977670601,0.8323636827855126,379.8475954194968,0.7425394263222651,213049002.09777585,11120922.08654413,17.77246481933718,187738296.72833425,0.7812740895787552,168.549,738539.8377949974,7589168.048446789,214.8697613113524,3465619.8819014444,0.5915910920220523,3.081628815810877,0.652250285916937,0.4261722902551189,-8429.349883699913,3.758139256867763,152.67998966950472,185345754.8984239,247.44436787345552,1.0523384765809212
2007-2,14558.079658428842,0.7851366890691788,16093049.624644669,8.06323700110896,0.2840065557977604,1.899369471202898,912.3969017815313,1201.5788530968518,19.854556590619698,15.221459446224973,76.8993049006947,2.292574412223998,0.832510198488367,381.6881789592052,0.7427984957675875,213200502.91509667,11129874.545382198,17.773171764796693,187750416.56422064,0.7813460610090348,160.048,751771.8737028147,7594051.910447072,210.2471208130518,3321575.2056041574,0.5821912594010402,3.0672409187407026,0.6486758561842155,0.4272545197346237,-8207.504212454718,3.739732339264414,153.32631902904507,185495361.54458392,249.54686218214692,0.8648345966337321
2007-3,14640.074133618462,0.784870268584726,16172187.031120433,8.060574334292202,0.2848958324811001,1.8340320205475176,913.0924538699315,1155.4779989800277,19.527820371956345,14.5959878589919,75.49507435541076,2.3599754271416,0.8326567141912214,385.66836064613216,0.74305756521291,213352003.73241743,11138827.004220266,17.773878710256202,187762536.40010703,0.7814180324393143,193.273,765537.1422995625,7598935.772447355,206.0752754548079,3315160.34317312,0.5624597981278792,3.0531793810769865,0.6396733150346336,0.421374616153345,-8302.699392306728,3.706955628134506,153.97264838858544,185644968.19074392,251.65055665221337,1.0136782679054217
2007-4,14722.364327445572,0.7846038481002731,16251324.437596198,8.057911667475443,0.2854434400790179,1.6541462463791408,913.6071738079116,1074.9800733564448,18.13097835497587,13.20871223834236,75.27819994784288,2.415369978038489,0.8328032298940758,388.26698113813006,0.7433166346582325,213503504.5497383,11147779.463058334,17.774585655715715,187774656.2359934,0.7814900038695939,172.94,779563.6032004755,7603819.634447637,202.60709188519417,3271622.245505456,0.5607781390026951,3.0394697315652115,0.6337527638093442,0.4226987158945232,-8434.701866226666,3.675935689954143,154.6189777481258,185794574.836904,253.7161436166845,0.9058292634380308
2007-5,14805.031232562687,0.7843374276158201,16330461.844071966,8.055249000658684,0.2860240399964515,1.4069372585749973,914.158949840517,1060.1815675277492,17.24110701703109,12.017504996948444,73.99396529923426,2.4925325039486994,0.8329497455969302,392.2598242779289,0.7435757041035549,213655005.3670591,11156731.921896402,17.775292601175227,187786776.07187977,0.7815619752998735,184.252,793632.7491000076,7608703.49644792,199.70760205242289,3308180.387129716,0.5641176200703027,3.026137498950861,0.653237645563625,0.4265292995204747,-8141.051175182823,3.63852003418216,154.96803306283462,185944181.483064,255.3073002060301,0.9385189527188756
2007-6,14887.785211919072,0.7840710071313672,16409599.250547731,8.052586333841925,0.2866369881464812,1.4403704634088184,914.5366906824944,1103.220115247152,17.12452544453287,11.577064188075092,72.78228734033985,2.5176829608218547,0.8330962612997846,395.3752769069013,0.7438347735488773,213806506.18437997,11165684.38073447,17.775999546634736,187798895.90776616,0.7816339467301531,188.1,810591.0704600966,7613587.358448203,196.56657159174367,3356492.918711034,0.557268421320419,3.0132082119794177,0.6449100186574492,0.427912233110958,-8026.170619784551,3.601931188268772,155.31708837754346,186093788.129224,256.8884825968233,0.8300336615044933
2007-7,14984.325063784689,0.7838045866469143,16488736.6570235,8.049923667025165,0.2872819559244335,1.71400322797342,914.3403742054928,1113.6879108148994,16.760850316341326,11.440422051776286,73.87595930460283,2.4594839163050293,0.8332427770026392,398.290601138781,0.7440938429941998,213958007.0017008,11174636.839572538,17.77670649209425,187811015.7436525,0.7817059181604327,193.222,828801.1639120209,7618471.220448485,195.4713076894235,3377509.25255415,0.5417029185846474,3.000707399396365,0.63275579381832,0.4270491588284315,-7955.022260278307,3.560009340555952,155.6661436922523,186243394.77538395,258.4449215140347,1.091015693647252
2007-8,15075.696092418815,0.7835381661624615,16567874.063499264,8.047261000208408,0.2879687252354402,1.846258707136748,913.9427166458026,1189.2203272717124,17.292727186398146,11.982548991329828,73.94879269453425,2.5549861763031685,0.8333892927054936,401.0338967505178,0.7443529124395223,214109507.81902155,11183589.298410604,17.77741343755376,187823135.5795389,0.7817778895907121,230.158,848753.4468744235,7623355.082448767,197.1352047608322,3406326.0515670376,0.5383365294217008,2.9886605899471874,0.6268005040535086,0.4251241376010696,-7983.790257906689,3.5118118337828608,155.9131643598258,186393001.421544,260.02128743696466,0.9546102545549062
2007-9,15168.27740181866,0.7832717456780086,16647011.469975032,8.044598333391649,0.2886905217168476,2.1981441147161958,913.0881030711354,1247.6635475150554,18.053192894157185,12.822246136456508,74.33577264501488,2.520849373736295,0.833535808408348,403.66793136582766,0.7446119818848447,214261008.6363424,11192541.757248672,17.77812038301327,187835255.4154253,0.7818498610209917,217.347,870183.122157289,7628238.94444905,200.3440969182776,3402053.412048238,0.5168062325264737,2.977093312377366,0.6258989699329778,0.4202971223147698,-7895.376088335307,3.469607481841116,156.1601850273993,186542608.067704,261.62706060654693,0.864747358475212
2007-10,15261.706176198664,0.7830053251935557,16726148.8764508,8.04193566657489,0.2896484086941308,2.125553337630236,912.1409498102192,1231.5002911489385,18.438023651169573,13.569834213055795,75.73185746324546,2.557206736359505,0.8336823241112024,405.5043866154847,0.7448710513301671,214412509.4536632,11201494.21608674,17.778827328472783,187847375.2513117,0.7819218324512713,244.665,894141.7138063426,7633122.806449333,203.09658677706912,3603293.506709055,0.492773472916794,2.9660310954323856,0.617964982686669,0.422186667969427,-7988.122113095049,3.4226070580234054,156.40720569497282,186692214.713864,263.21698626253544,1.014249422320608
2007-11,15355.621909311893,0.7827389047091029,16805286.282926567,8.039272999758133,0.2911533950378031,2.1561154248305168,911.5564569163132,1277.3059981855588,19.017769942500244,14.216965594430382,75.94844969979714,2.5406414890310933,0.8338288398140568,407.5697592141049,0.7451301207754896,214564010.270984,11210446.674924808,17.779534273932295,187859495.08719808,0.7819938038815508,235.989,916094.9671927262,7638006.668449616,207.2025845452835,3871253.3801534586,0.4788592048124005,2.955499467857729,0.6145670424343683,0.4244249038787387,-8017.515428278837,3.3732677481944013,156.62927034318636,186841821.360024,264.78802556753885,0.9820548143806294
2007-12,15450.190179203875,0.78247248422465,16884423.68940233,8.036610332941374,0.2920781654189231,2.2254393556613503,911.3930553648344,1257.7727177515003,19.49527791457573,14.895437695914952,76.83141277536558,2.446650127784124,0.8339753555169112,409.8984029374222,0.7453891902208121,214715511.0883048,11219399.133762876,17.780241219391804,187871614.92308444,0.7820657753118304,194.177,935002.9361998136,7642890.530449898,213.4071359189383,4005644.122666503,0.4548379030142503,2.945523958398879,0.6103282941034248,0.4244999572063965,-7877.11519891132,3.3132900029546954,156.85133499139988,186991428.006184,266.31848259790274,0.8767487704205519
2008-1,15545.055248509156,0.7822060637401971,16963561.0958781,8.033947666124615,0.2930229743379357,2.385776245717089,911.566366592076,1210.3238766985226,19.35500862826516,15.07679075083394,78.110243874451,2.3993011086706133,0.8341218712197656,410.8066477660014,0.7456482596661345,214867011.90562564,11228351.592600944,17.780948164851317,187883734.75897083,0.78213774674211,237.02,954710.380678508,7647774.392450181,221.65031253411155,3972676.139799992,0.4442798633210167,2.93613009580132,0.6123131329450783,0.4249975168895801,-8333.785630800456,3.2555579562369243,157.07339963961343,187141034.652344,268.4476130189723,1.011775380520748
