Ano,Operações de crédito - saldo da carteira de crédito (R$)
2010-4,1484105.0697649147
2010-5,1508781.9291760642
2010-6,1535088.9997881958
2010-7,1562309.585792852
2010-8,1592121.7171162094
2010-9,1622699.4605818123
2010-10,1653010.8355396043
2010-11,1678568.2592242833
2010-12,1700901.4189527775
2011-1,1719873.5356354122
2011-2,1741089.790917638
2011-3,1763251.2653106102
2011-4,1788022.6112456496
2011-5,1813031.3753112517
2011-6,1839504.3973113806
2011-7,1868925.5545245265
2011-8,1897916.3903671815
2011-9,1928378.7889783415
2011-10,1959904.0358691043
2011-11,1988806.964969489
2011-12,2011378.0001677186
2012-1,2030664.3930274416
2012-2,2053715.878639032
2012-3,2082387.6543332948
2012-4,2111976.9065944655
2012-5,2140889.712185552
2012-6,2168151.1237560036
2012-7,2193253.767188311
2012-8,2220406.178188863
2012-9,2249052.189075435
2012-10,2284984.6734528597
2012-11,2315876.172505659
2012-12,2343792.169191704
2013-1,2367298.4683394725
2013-2,2394179.3275062353
2013-3,2424996.1591691417
2013-4,2457438.4973350754
2013-5,2489286.3313008435
2013-6,2520260.365727184
2013-7,2545943.1394056054
2013-8,2569097.3010265576
2013-9,2592664.4880864327
2013-10,2624849.357822598
2013-11,2657805.769181806
2013-12,2686589.8254008805
2014-1,2707121.518916537
2014-2,2728599.8688634834
2014-3,2751474.477556004
2014-4,2774812.4692838974
2014-5,2795954.3893679804
2014-6,2816782.171730376
2014-7,2839564.912219671
2014-8,2866007.616790009
2014-9,2895637.7058019363
2014-10,2931029.464518389
2014-11,2964438.234064065
2014-12,2993579.1397164906
2015-1,3016721.4747561114
2015-2,3037025.7228945205
2015-3,3057489.0395301264
2015-4,3073512.3524849294
2015-5,3090488.678403011
2015-6,3107411.4061775883
2015-7,3127015.8169161202
2015-8,3143855.6446187417
2015-9,3159665.292306972
2015-10,3177292.3873851425
2015-11,3192249.535938423
2015-12,3199905.584664713
2016-1,3192683.8241206273
2016-2,3181310.681757068
2016-3,3170693.3011755394
2016-4,3160170.5965865212
2016-5,3151118.379552412
2016-6,3140751.3952277866
2016-7,3133213.3549560397
2016-8,3125396.950036765
2016-9,3120136.460998561
2016-10,3116690.882207065
2016-11,3111067.868641125
2016-12,3102944.3501696377
2017-1,3094724.2437621527
2017-2,3090715.1187863583
2017-3,3087179.2725097025
2017-4,3085621.8782592122
2017-5,3081133.230153783
2017-6,3077159.621682599
2017-7,3070152.5703672767
2017-8,3068648.238409975
2017-9,3070265.1617554505
2017-10,3078615.0800330853
2017-11,3083098.648357707
2017-12,3084455.3456781586
2018-1,3083445.1988071734
2018-2,3088099.5088970666
2018-3,3097484.541540848
2018-4,3109183.610087583
2018-5,3119509.8303256864
2018-6,3133657.088082654
2018-7,3147112.783681668
2018-8,3161173.374352864
2018-9,3175922.8316069064
2018-10,3198368.2411919544
2018-11,3217793.214559772
2018-12,3233139.491150345
2019-1,3241680.9411420235
2019-2,3253557.2864584737
2019-3,3266404.0455200993
2019-4,3277070.8663957147
2019-5,3286496.9823831627
2019-6,3298874.5697557754
2019-7,3316673.3104277877
2019-8,3339532.9760367125
2019-9,3365687.4572929004
2019-10,3396904.486665922
2019-11,3425370.5887917643
2019-12,3449617.415091537
2020-1,3481705.6007766603
2020-2,3516656.80317364
2020-3,3552321.88079006
2020-4,3574318.33679274
2020-5,3603157.44351656
2020-6,3642513.55606186
2020-7,3695712.399915684
2020-8,3755875.591195509
2020-9,3821578.1982222386
2020-10,3886905.1578835496
2020-11,3941177.271221158
2020-12,3982916.2858209414
2021-1,4019357.71140842
2021-2,4056867.999445872
2021-3,4097777.742170858
2021-4,4134650.348323346
2021-5,4178837.018098841
2021-6,4228865.473284437
2021-7,4293125.698276656
2021-8,4364031.634312218
2021-9,4441236.866517775
2021-10,4518993.900165999
2021-11,4583916.553336754
2021-12,4638218.29070055
2022-1,4684212.168807461
2022-2,4734163.491901602
2022-3,4785366.332141812
2022-4,4839874.164808683
2022-5,4894678.8993901
2022-6,4953817.212839757
2022-7,5016477.622445972
2022-8,5083868.167057146
2022-9,5151691.957900624
2022-10,5218400.024991554
2022-11,5276508.196578436
2022-12,5319037.844313998
2023-1,5350425.208178487
2023-2,5374467.010498497
2023-3,5399904.4437353965
2023-4,5418774.490846778
2023-5,5436915.986916435
2023-6,5460938.695552642
2023-7,5471109.920617269
2023-8,5485258.538723304
