,Santa Catarina - IDH,Santa Catarina - value, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Santa Catarina - Desemprego,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Santa Catarina - Consumo de Cimento (t),Santa Catarina - Produção de Cimento (t),Santa Catarina - PIB - Estadual,Santa Catarina - PIB - Construção Civil,Santa Catarina - PIB - Per Capita,Santa Catarina - PIB - Preços de Mercado
2013-11,0.8055644652263374,0.4380365343364142,0.5955117370578658,-6561.5305368475965,2.551397636335105,0.5260162419170064,0.5382245752764477,195282544.3313048,7838161.889113526,0.5879491241011995,5.457793611472336,1.7205941649188097,1014.2736617115468,1377.3251747430663,22.82168197664631,18.4898844689162,77.57621706135696,0.87168915498577,305.101,137.8652353322554,155732804.03585404,6818660.536581813,20.08815252948883,127705861.0239844
2013-12,0.8055941046109241,0.441432720996742,0.6067679747989635,-4496.194346034222,2.592147308610895,0.6380280317532818,0.5418554668499356,195370126.4958041,7838652.671876677,0.5824479358950329,5.484794274158995,1.837153236054048,1013.7704010659232,1413.634617052427,23.665326873116506,19.34011421451716,77.7046548826612,0.8251965050432172,239.672,137.1764082358344,155907402.23754847,6816729.54748603,20.086714662847267,127722235.89902055
2014-1,0.8056237439955106,0.4446593730340742,0.6166578720311803,-4791.082206933234,2.625524917219098,0.8358875911501001,0.559340440568571,195457708.66030347,7839143.45463983,0.5881063236886775,5.511794936845655,1.835005678568559,1014.2860418464146,1393.4714776697313,23.86571555457564,19.58890386085564,77.93736662948854,0.845621871425814,269.494,137.15832499801604,156082000.4392429,6814798.558390245,20.085276796205704,127738610.77405667
2014-2,0.8056141866621461,0.4477129464819775,0.6267255529646644,-3998.777950768382,2.657054580116229,0.8682876758069693,0.5677726853077433,195539057.87683183,7838649.955390375,0.5806989603027664,5.535221617489197,1.7309622850325954,1014.7960502582436,1318.4909575302484,23.29437116975152,19.090929873015607,78.19828889138019,0.8098396941651105,279.023,136.98864712286925,156193049.46180758,6812945.931981492,20.081341701944847,127731874.16854942
2014-3,0.8056046293287816,0.4509979117305525,0.6244938102208978,-3922.007671721373,2.686153730479649,0.9787195875419494,0.5596242995943259,195620407.09336025,7838156.45614092,0.586635485690803,5.558648298132738,1.663287797308811,1015.5777236787466,1174.989473079448,22.149534251759743,18.18022745908877,79.23460527526105,0.7046094990818872,291.63650000000007,136.29859059209127,156304098.48437223,6811093.305572738,20.077406607683987,127725137.56304216
2014-4,0.805595071995417,0.4543106757970784,0.6209952829426753,-3994.229497353106,2.7114317753143893,0.7720032263157482,0.5364320176075347,195701756.30988863,7837662.956891467,0.591883402393797,5.58207497877628,1.5972377562759412,1016.9658761411008,1070.835952787121,20.972931004776367,17.125493252860135,79.6695674665234,0.690666194082803,304.25,135.55950324075792,156415147.5069369,6809240.679163985,20.07347151342313,127718400.95753488
2014-5,0.8055855146620525,0.4576516630161878,0.6257914627476894,-3354.8084163966905,2.7478086602191683,0.7423923443289453,0.5495264900123437,195783105.52641705,7837169.457642012,0.5752470773836221,5.605501659419822,1.6938831551320983,1017.7248034417756,1035.505561077817,19.88632033432373,16.035345884897648,79.64388084774855,0.6727776206170069,304.25,134.7764308593025,156526196.5295016,6807388.052755232,20.06953641916227,127711664.3520276
2014-6,0.805575957328688,0.4608130691861629,0.6262539734123189,-3377.357259521218,2.7716833665507616,0.8021174298608076,0.5920559285981742,195864454.74294543,7836675.958392558,0.5716034891312047,5.628928340063364,1.682359264630072,1018.0672232514044,993.2366107801328,19.418798607194,15.670212214808087,80.09051175190973,0.7238130438018912,304.25,133.94678597144136,156637245.55206624,6805535.426346478,20.06560132490141,127704927.74652034
2014-7,0.8055663999953235,0.4637867706053951,0.6313860080878928,-3216.635878446735,2.7882412615797647,0.8627885677789362,0.5985422951333923,195945803.95947385,7836182.459143104,0.5673668679938052,5.652355020706906,1.8074975530651287,1018.2655164571246,1081.3671997444926,19.596564098830545,15.645130671974336,79.09717350663836,0.8235763766113541,304.25,133.08324035507994,156748294.57463092,6803682.799937725,20.061666230640554,127698191.14101309
2014-8,0.805556842661959,0.4671849707813836,0.6429578345522896,-2885.616364724399,2.799745702635436,0.9327343055875216,0.620784457599235,196027153.17600223,7835688.959893649,0.5571115199932906,5.675781701350448,1.8583432922290837,1017.2916670706272,1159.5968738630868,20.215132267412788,16.042888654530845,78.15881051902548,0.9519068635163545,304.25,132.18067426248325,156859343.5971956,6801830.173528972,20.057731136379694,127691454.53550582
