,Goiás - Produção de Cimento (t),Goiás - Consumo de Cimento (t),Goiás - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Goiais-03anhão - value,Goiás - PIB - Estadual,Goiás - PIB - Construção Civil,Goiás - PIB - Per Capita,Goiás - PIB - Preços de Mercado,Goiás - Desemprego
2007-2,73.15903924519678,108.339,0.7499780102833924,0.4272545197346237,-8207.504212454718,3.739732339264414,0.8648345966337321,0.5821912594010402,185495361.54458392,7594051.910447072,0.6486758561842155,1.6872973948483554,931.9404335891012,1315.0277733983378,23.985714609079015,17.852979503329973,70.55624949424985,1.0726487380775347,0.2501963223888267,98936786.27175316,5711712.8904195335,14.190869796584424,85783365.12956598,7.969073131530542
2007-3,74.3727982121063,156.805,0.7500484377787606,0.421374616153345,-8302.699392306728,3.706955628134506,1.0136782679054217,0.5624597981278792,185644968.19074392,7598935.772447355,0.6396733150346336,1.5550504940285017,932.6682643573278,1395.0535419709213,23.469522093662665,16.39127082544822,66.93026054879374,1.1380760370854597,0.2538641683370207,99014792.1182047,5713109.558337577,14.191985082809332,85795797.34861724,7.966534335720027
2007-4,74.89855030347218,153.463,0.750118865274129,0.4226987158945232,-8434.701866226666,3.675935689954143,0.9058292634380308,0.5607781390026951,185794574.836904,7603819.634447637,0.6337527638093442,1.431783918153975,933.205474908696,1379.19346814197,22.8947845604427,15.055639917541786,64.22344551424456,1.1387022484119662,0.2573244408147182,99092797.96465623,5714506.22625562,14.193100369034244,85808229.5676685,7.963995539909513
2007-5,75.81654153276412,174.67,0.7501892927694973,0.4265292995204747,-8141.051175182823,3.63852003418216,0.9385189527188756,0.5641176200703027,185944181.483064,7608703.49644792,0.653237645563625,1.1020263614061665,933.7752665010648,1418.317576940147,22.468240684807192,12.997913468368292,59.00181584766175,1.336127823644349,0.2607528910521809,99170803.81110775,5715902.894173662,14.194215655259155,85820661.78671975,7.9614567440989985
2007-6,76.45445936853562,171.606,0.7502597202648656,0.427912233110958,-8026.170619784551,3.601931188268772,0.8300336615044933,0.557268421320419,186093788.129224,7613587.358448203,0.6449100186574492,1.0096396874937454,934.0352384710792,1474.3298510668094,22.91125900284516,11.427789787490507,53.20436987357159,1.4975503351001307,0.2643996222544283,99248809.65755928,5717299.562091704,14.195330941484068,85833094.00577101,7.958917948288485
2007-7,77.62354492684412,182.293,0.750330147760234,0.4270491588284315,-7955.022260278307,3.560009340555952,1.091015693647252,0.5417029185846474,186243394.77538395,7618471.220448485,0.63275579381832,0.7976711468211193,933.56230940182,1483.3786997407703,23.636762189051986,11.014474716015751,49.99914470798687,1.5597371395784172,0.2681403708282279,99326815.50401084,5718696.230009748,14.19644622770898,85845526.22482227,7.95637915247797
2007-8,78.6344223166607,190.437,0.7504005752556022,0.4251241376010696,-7983.790257906689,3.5118118337828608,0.9546102545549062,0.5383365294217008,186393001.421544,7623355.082448767,0.6268005040535086,1.1421047507269575,932.8921429648418,1508.4148246583736,24.186203053558888,11.534663161368664,50.340239216463104,1.634586722085043,0.2717155956546009,99404821.35046236,5720092.897927791,14.19756151393389,85857958.44387352,7.953840356667456
2007-9,79.08112257252489,169.326,0.7504710027509706,0.4202971223147698,-7895.376088335307,3.469607481841116,0.864747358475212,0.5168062325264737,186542608.067704,7628238.94444905,0.6258989699329778,1.3708831718896426,932.1008998943828,1476.2106956120072,24.55035704786596,13.109392764208962,54.6777559189186,1.497711418790088,0.2755405576987208,99482827.1969139,5721489.565845833,14.1986768001588,85870390.66292478,7.951301560856942
2007-10,79.94128217964408,190.929,0.7505414302463389,0.422186667969427,-7988.122113095049,3.4226070580234054,1.014249422320608,0.492773472916794,186692214.713864,7633122.806449333,0.617964982686669,1.80866094966742,931.3433122917723,1411.7402339175335,24.423033496693822,15.07644299744217,61.42022888699428,1.3507855060146134,0.2790431369511107,99560833.04336542,5722886.233763875,14.199792086383711,85882822.88197604,7.948762765046427
2007-11,80.64718462385764,173.577,0.7506118577417071,0.4244249038787387,-8017.515428278837,3.3732677481944013,0.9820548143806294,0.4788592048124005,186841821.360024,7638006.668449616,0.6145670424343683,2.1824161671378506,931.080125843734,1324.788921236208,24.10117878864308,16.715581574962535,68.08442463522157,1.2618322348815243,0.2815013055380816,99638838.88981695,5724282.901681919,14.200907372608624,85895255.1010273,7.946223969235914
2007-12,81.29852037367823,136.198,0.7506822852370755,0.4244999572063965,-7877.11519891132,3.3132900029546954,0.8767487704205519,0.4548379030142503,186991428.006184,7642890.530449898,0.6103282941034248,2.2137320977654165,930.824398984322,1211.9554663911356,23.89581881941036,17.75620848863007,72.70479213744052,1.172662495030126,0.283994555730062,99716844.73626848,5725679.569599962,14.202022658833537,85907687.32007855,7.943685173425399
2008-1,82.11446595855998,165.609,0.7507527127324438,0.4249975168895801,-8333.785630800456,3.2555579562369243,1.011775380520748,0.4442798633210167,187141034.652344,7647774.392450181,0.6123131329450783,2.4703795292990365,930.5312685358698,1130.7408481922116,23.780602528709327,18.57039580922069,75.46806305652275,1.120152305716747,0.2865814856010999,99794850.58272004,5727076.237518004,14.203137945058446,85920119.53912981,7.941146377614885
2008-2,82.84357086495655,144.551,0.7508132092051603,0.4302154047083354,-7957.479510093275,3.199376609861489,0.95509159572242,0.4446804445496704,187282618.10601315,7652174.341637064,0.6130114959204532,2.4222123422622843,930.2489763817002,1088.8589976025764,23.328611622376677,18.51999275468214,76.47825672436629,1.117005012893857,0.2891610216156695,99854765.82300636,5729623.610227609,14.202647301397828,85923617.62689978,7.943480584599727
2008-3,84.2751911237241,144.731,0.7508737056778767,0.4313867734467428,-7892.607761543437,3.141468520965748,0.8861972393237405,0.4484128206903977,187424201.5596823,7656574.290823947,0.6213585443907181,2.172742230634097,929.8039953335358,1117.613902510753,22.784956706998717,17.654960293218984,75.13934535341215,1.1281565427576876,0.2917927281720581,99914681.06329268,5732170.982937215,14.202156657737213,85927115.71466973,7.945814791584569
2008-4,85.06720174511918,201.717,0.7509342021505931,0.4338669727481246,-8007.976541076512,3.0675634134381013,1.0102274736240415,0.4473258895577853,187565785.01335144,7660974.24001083,0.6263187436812404,2.001793156466121,929.5078314586374,1192.3109522847535,22.122153056531307,15.861521610925235,70.87711562850487,1.1897420979630071,0.2945757206576911,99974596.303579,5734718.35564682,14.201666014076594,85930613.8024397,7.94814899856941
2008-5,86.22063117643265,186.669,0.7509946986233095,0.4321500462512327,-7622.164669581103,2.983508587016217,0.9183439034290336,0.4544319127338644,187707368.4670206,7665374.189197713,0.646709513314914,1.7249051014280568,929.2106178767564,1280.883735476067,21.656164883086515,13.67351103677038,65.05680747058527,1.2601072039725858,0.2973165600704333,100034511.54386532,5737265.728356425,14.201175370415976,85934111.89020966,7.950483205554252
2008-6,87.09367567245444,202.288,0.7510551950960259,0.416568100772241,-7526.222983080984,2.8968331481222203,0.831892211523938,0.4203655844188621,187848951.92068976,7669774.1383845955,0.6287480084855108,1.7027452405627983,928.9112726623448,1357.5972064443265,21.92709415074552,12.152049042762505,59.63565573387002,1.317877563066782,0.2999702788639486,100094426.78415164,5739813.101066031,14.20068472675536,85937609.97797963,7.952817412539094
2008-7,87.82562681619689,234.803,0.7511156915687424,0.4017041211332135,-7372.476799457021,2.8193033709764,0.9469908098354584,0.3823654090466765,187990535.3743589,7674174.087571479,0.599023956748628,1.995946948984056,928.6327325670412,1412.060821749855,22.5124955059966,11.71500520565172,56.201702506091074,1.3867105966900477,0.3024421747559247,100154342.02443792,5742360.473775636,14.20019408309474,85941108.06574959,7.955151619523936
2008-8,88.73114391522215,223.675,0.7511761880414588,0.3911930100262941,-7330.909560613458,2.746140251198851,0.9812442861378704,0.377094781251677,188132118.82802805,7678574.036758362,0.5717904557609863,2.2134033973607075,928.5085600140936,1416.8910883774126,23.18622626298627,12.680836963423706,57.20753186545951,1.3844514882132657,0.3047233285983539,100214257.26472424,5744907.84648524,14.199703439434122,85944606.15351956,7.957485826508778
2008-9,89.91184953024987,227.864,0.7512366845141752,0.393954511741958,-7785.307445305803,2.665912474404139,1.0935181371164024,0.4025579714905743,188273702.2816972,7682973.985945245,0.5509061927111456,2.5110471266422176,928.5793600904392,1393.9040319692062,23.680641713571028,14.223214169535472,61.08083043492695,1.3619979835041762,0.3062504947934186,100274172.50501058,5747455.219194846,14.199212795773503,85948104.24128953,7.95982003349362
2008-10,91.185652251722,228.085,0.7512971809868916,0.4032616547632046,-7703.954458964581,2.598260780235978,0.94244302845466,0.412023328025164,188415285.7353664,7687373.935132128,0.5338333005653052,2.538600361000958,928.9451771372908,1380.6511885789118,23.861851273237345,15.867269185085735,65.67213419406411,1.3123485197571374,0.3075704463671732,100334087.7452969,5750002.591904451,14.198722152112888,85951602.32905948,7.962154240478462
2008-11,91.71040196150946,193.081,0.751357677459608,0.4104528122004031,-7476.287871104045,2.5386157863332808,1.062701899829496,0.4176314374021105,188556869.1890356,7691773.884319011,0.5233099682890817,2.216483899634777,929.4283571421972,1387.1865029532355,23.879786107991293,17.063195186426867,69.78353583524701,1.2423380222624425,0.3082728931284312,100394002.98558322,5752549.964614056,14.19823150845227,85955100.41682945,7.964488447463303
2008-12,92.2387208740712,157.543,0.7514181739323245,0.4155686208661097,-7673.72643892393,2.504755709594416,1.101310555483456,0.4199544942195133,188698452.64270467,7696173.833505894,0.524103085853287,2.137517913240219,929.8361209095508,1418.1136380236169,23.99127488001198,17.73854359616465,71.95494142028066,1.1909320278946598,0.3090613176539781,100453918.22586954,5755097.337323662,14.197740864791651,85958598.5045994,7.966822654448145
