, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Piauí - IDH,Piauí - Produção de Cimento (t),Piauí - Consumo de Cimento (t),Piauí - PIB - Estadual,Piauí - PIB - Construção Civil,Piauí - PIB - Per Capita,Piauí - PIB - Preços de Mercado,Piauí - Desemprego
2015-3,0.5970521193441455,-1788.67566224678,2.690513480186384,1.0316822290915963,0.6007740589226123,196587921.43555132,7830843.688827586,0.5538281215537108,1.84304252440923,1003.1729464069284,1158.306607034463,27.12310178162192,21.655509969970755,74.8022833453396,1.0649486910423345,0.6797973089712122,42.51217268344735,83.916,26273073.83661485,1441789.0446091504,6.48306805415608,20162998.390606616,11.005135440700297
2015-4,0.5743851449816068,-1983.071950652572,2.644962597296267,1.155610329600543,0.5534640279682566,196664932.5240049,7829654.801418191,0.5397104233667973,1.72143366172199,1003.5306932403312,1146.6773775057331,27.048117527638908,21.48565661445041,74.53459801720534,1.0436432574490475,0.680762975754954,42.0675075243779,83.916,26291074.742693625,1440955.0051702769,6.483743958987306,20165614.383381102,11.025002809087226
2015-5,0.5670526867581346,-1293.4323802746076,2.593045627781998,0.9786792591641936,0.5257622894811392,196741943.61245853,7828465.914008795,0.5418486420045491,1.4184045761514354,1003.7686296456302,1161.9803114191927,27.139577785268216,20.706525262135735,71.61240936870243,1.0599074769309118,0.6817286425386959,41.537897502612736,83.916,26309075.648772392,1440120.965731403,6.484419863818532,20168230.376155585,11.044870177474154
2015-6,0.5478333106966745,-1067.0845865121862,2.546115295902478,1.0653216299246508,0.4987332763683365,196818954.7009121,7827277.0265994,0.5400657850543165,1.3634476993021043,1003.8314896992916,1210.939833469925,27.489816891640352,19.849900678540383,67.64381828674757,1.1385433126947364,0.6826943093224377,40.97669963794623,83.916,26327076.554851163,1439286.9262925298,6.485095768649759,20170846.36893007,11.064737545861082
2015-7,0.5365873701380962,-977.4173895299176,2.494946044886325,0.8325167309078593,0.4787533394551196,196895965.7893657,7826088.139190003,0.5074060266479925,1.1716258821815373,1003.5469120385488,1266.1001411646278,28.09177401693228,19.01067705216605,63.001492761224185,1.2464819452810243,0.6836599761061796,40.41172433642565,83.916,26345077.46092993,1438452.8868536565,6.485771673480985,20173462.36170456,11.08460491424801
2015-8,0.5273742665657696,-1005.6966908148006,2.438647482980156,1.07847370311493,0.471500431076438,196972976.8778193,7824899.251780608,0.5018784506026249,1.0590683082335823,1003.0148165673264,1326.6351553592574,28.77910064801925,18.358041082950827,58.6061464394532,1.3674391874239435,0.6846256428899214,39.81702214078084,83.916,26363078.367008705,1437618.8474147827,6.486447578312212,20176078.35447904,11.104472282634935
2015-9,0.5254036415611213,-1039.1595055245705,2.375528331843324,0.9625157301509716,0.4754222059965265,197049987.9662729,7823710.364371212,0.4892573432807409,0.8848774128167463,1002.657205789627,1348.7440162943365,29.44363694024021,18.17694042448048,55.868884607778575,1.5109114594298607,0.6855913096736632,39.14167338510493,83.916,26381079.273087475,1436784.8079759092,6.487123483143439,20178694.347253527,11.124339651021865
2015-10,0.5220003499305623,-1243.715598453343,2.3072500360953296,1.138988731876403,0.4476002509116798,197126999.05472648,7822521.476961817,0.4890711871355146,0.965905833428728,1002.4814837154864,1301.987967020234,29.43959548788965,18.60974973790459,57.23467749234983,1.5289475387637572,0.6865569764574051,38.46606123730848,83.916,26399080.17916624,1435950.7685370357,6.487799387974665,20181310.34002801,11.144207019408793
2015-11,0.5097139584731153,-1329.2467358809024,2.2426446030768825,1.0384357357644425,0.4263937170455484,197204010.14318004,7821332.589552421,0.4860587480427329,1.1411090917701636,1002.3809309750184,1274.5039859967978,29.186111431910632,19.304875223016985,60.20281135642345,1.4840688219685312,0.687522643241147,37.76212953973375,83.916,26417081.085245013,1435116.729098162,6.488475292805891,20183926.332802497,11.164074387795722
2015-12,0.4963303303387326,-1107.7866583101536,2.1904251534185515,1.0724646806663891,0.4149277811632851,197281021.23163363,7820143.702143026,0.4784691485313357,1.5376829042203115,1002.6150533097576,1209.853432416124,28.74997459561043,20.23840785234543,64.76603179259074,1.3866588977688077,0.6884883100248887,37.00104747731703,83.916,26435081.991323784,1434282.6896592886,6.489151197637118,20186542.32557698,11.18394175618265
2016-1,0.4804030314721972,-3390.8754810096625,2.1483491910676875,1.0732914432300884,0.4151945630880473,197358032.3200872,7818954.81473363,0.4806328467484032,1.8312415834433775,1002.613828633934,1165.720225062252,28.18161346189219,21.306906655404475,70.17448241448658,1.233075838524858,0.6894539768086306,36.23805029195305,79.83299999999997,26453082.897402555,1433448.650220415,6.489827102468344,20189158.318351462,11.203809124569576
2016-2,0.4582345653383405,-2667.741466194896,2.1171823395135774,0.9886443684835264,0.3840895451802815,197432600.1003621,7817259.857969137,0.4731333880353363,1.9159415623831992,1002.8025699202868,1159.8551424486127,28.00593400195707,21.781577305677114,72.26016115144311,1.1486041517011747,0.6894877190571809,35.47893727060874,75.75,26464339.23335595,1433455.0754915143,6.490864943272658,20192597.3276848,11.201244724869056
2016-3,0.4382653615092318,-2859.062558346457,2.0931033141951554,1.0384598121784336,0.3756470321164557,197507167.8806371,7815564.901204644,0.4648157232951847,2.063598520151666,1003.2502643727856,1138.2494953034177,27.80580192247274,21.7703816261885,72.72385480032115,1.1148951867642398,0.6895214613057311,34.7153007000268,75.75,26475595.569309343,1433461.5007626135,6.491902784076972,20196036.33701814,11.198680325168535
2016-4,0.4301790666375651,-3169.352453991868,2.072428815903636,1.00751001790645,0.3820964756373156,197581735.66091204,7813869.944440151,0.455186748552417,1.7538756219112233,1003.5724988257218,1161.4995427127012,27.670459282531404,21.027407065462544,70.4054255218556,1.114762275668349,0.6895552035542813,33.94392048132936,75.75,26486851.905262742,1433467.926033713,6.492940624881286,20199475.346351475,11.196115925468014
2016-5,0.4219991438558282,-2883.308840862046,2.0559185514258647,1.0927592310529022,0.4050692196787397,197656303.44118696,7812174.9876756575,0.4458664086781032,1.4225225898126443,1003.9904648951068,1187.416365134022,27.73337043663194,19.966950518819537,66.48723971896565,1.1478635383222324,0.6895889458028315,33.1647098913196,75.75,26498108.241216134,1433474.3513048124,6.4939784656856006,20202914.35568481,11.193551525767496
2016-6,0.4276360353070148,-2975.6400740144,2.0383289573688583,1.1886381346457082,0.4092639692637682,197730871.2214619,7810480.030911164,0.4613892521739088,1.3615579746835178,1004.0601020932506,1236.548931390274,28.101793255512785,18.946055934317094,61.84910219737774,1.2475420426065515,0.6896226880513817,32.377506161572896,75.75,26509364.577169534,1433480.7765759118,6.495016306489915,20206353.365018148,11.190987126066974
2016-7,0.423174444733437,-3206.2407436979347,2.0315258061610644,0.9884781197469455,0.3812478068283722,197805439.0017368,7808785.074146671,0.4322012065217192,1.4197080266296265,1003.5834365653498,1284.0948841075135,28.650636871446306,18.083761711054365,57.4791682617806,1.3479918494575525,0.689656430299932,31.582363962394613,75.75,26520620.91312293,1433487.201847011,6.496054147294229,20209792.374351483,11.188422726366452
2016-8,0.406476249562938,-3149.757781764285,2.0305724295198666,1.1468452316963866,0.3986499601282697,197880006.78201172,7807090.117382177,0.4225039481243295,1.4691126558751126,1002.942760236295,1313.5451595992758,29.382705892084942,17.799754643015508,54.39952116727936,1.4569094383398808,0.6896901725484822,30.779067899866494,75.75,26531877.24907632,1433493.6271181102,6.497091988098543,20213231.383684818,11.185858326665931
2016-9,0.4024664212978491,-3439.0590351732635,2.04589542394608,1.0968349730129716,0.4218717050778418,197954574.5622867,7805395.160617684,0.418532365024963,1.6046720340833722,1002.3672816905662,1296.7997452147845,29.750391295091287,17.996510838945195,53.80404063685413,1.5270381153009276,0.6897239147970324,29.967514459348056,75.75,26543133.58502972,1433500.0523892096,6.498129828902857,20216670.39301816,11.18329392696541
2016-10,0.405117178149495,-3965.9673132275466,2.0672746138908056,1.0609160061600742,0.4224506608091278,198029142.34256163,7803700.203853191,0.4160254193180028,1.4603549949500183,1001.9288725034957,1267.2557959022497,29.6304457513342,18.40194000862837,55.47010071090119,1.5297010207191204,0.6897576570455826,29.147499307555066,75.75,26554389.920983117,1433506.477660309,6.499167669707171,20220109.40235149,11.18072952726489
2016-11,0.3907469610472366,-2953.9693584836964,2.086506575082691,1.1479049091605034,0.3923024529656499,198103710.1228366,7802005.247088698,0.4114160891944031,1.58239547094384,1001.8281423182272,1216.298324461328,29.166257267859766,19.271978481685355,59.72729503268692,1.4568958957446374,0.6897913992941328,28.31883388866593,75.75,26565646.25693651,1433512.9029314085,6.500205510511485,20223548.411684822,11.17816512756437
2016-12,0.3851019690388544,-2879.5516234189686,2.094478154479812,1.0441767846983232,0.377390938464421,198178277.90311152,7800310.290324205,0.4077513114353103,1.850642222302865,1001.9811577308536,1159.6321207699991,28.39189069532581,20.21874714578617,65.38657506773488,1.345196572455302,0.689825141542683,27.48130827547817,74.06450000000001,26576902.592889905,1433519.3282025077,6.501243351315799,20226987.421018165,11.175600727863849
2017-1,0.3803888051781477,-5075.622232112225,2.0938758344390687,0.7621157752691586,0.3569248836113066,198252845.68338645,7798615.333559711,0.4075350767989002,1.8327213219790413,1002.1175761462354,1139.6777117622512,27.810494552297357,21.01917158490989,70.15233395468611,1.2308756352029058,0.6898588837912333,26.634725199258952,72.379,26588158.9288433,1433525.753473607,6.502281192120114,20230426.4303515,11.173036328163327
2017-2,0.3762996326553245,-4201.060854040392,2.101650850838241,0.8016855852337811,0.3681934792243305,198326864.97537887,7796393.517478655,0.3978047684696698,2.2967101623482664,1002.3189961750752,1122.0945536591,27.45347771433971,21.644847524378683,73.56143179135584,1.1173529610815416,0.6898275116987427,25.778866022724745,54.656,26586926.04026044,1433667.8218216598,6.501967445767142,20229207.81052139,11.161722908569605
2017-3,0.3800045315218657,-4604.7344280517855,2.113289173700002,0.8150651151170567,0.3837494708257729,198400884.26737133,7794171.701397599,0.3875997638487952,1.9825213520294185,1002.6573664539446,1118.763437844825,27.267726326875398,21.760146843402897,74.39405790427226,1.0867847527283103,0.689796139606252,24.965908964839947,69.984,26585693.151677582,1433809.8901697127,6.50165369941417,20227989.19069128,11.150409488975878
2017-4,0.3821056011581457,-5041.93583143556,2.127631534792117,0.7925222034658698,0.4054428465788985,198474903.55936372,7791949.885316542,0.3886971443037969,1.9054882118316248,1003.2848048736796,1139.7823923917422,27.16782650158217,21.18942898146489,72.40223133560555,1.134815015040737,0.6897647675137613,24.14200562364388,58.643,26584460.263094723,1433951.9585177656,6.501339953061199,20226770.57086117,11.139096069382154
2017-5,0.3779774472025649,-4656.590400431132,2.144624778414481,0.6561728681094356,0.435891393897483,198548922.8513562,7789728.069235486,0.3866356488127153,2.713508713721512,1003.652426770739,1175.770444950448,27.234270748305395,20.535013627465315,69.71026839104668,1.1579955511261208,0.6897333954212707,23.47477089097584,72.337,26583227.374511868,1434094.0268658183,6.501026206708227,20225551.951031063,11.12778264978843
2017-6,0.3679963198646961,-5068.400972271061,2.162820271284532,1.0279727308864324,0.4573226001100615,198622942.14334863,7787506.25315443,0.388570077523086,2.1984481893145147,1003.8962821912152,1232.1714212967513,27.48623247717197,19.40687555412234,64.91981801281511,1.2611461054642863,0.6897020233287801,22.886931572371,70.968,26581994.48592901,1434236.0952138714,6.500712460355255,20224333.331200957,11.116469230194705
2017-7,0.3728976057660844,-5595.499878102875,2.1827530258841654,0.6597887866917255,0.4758652393700967,198696961.4353411,7785284.437073373,0.3783354712469384,2.1435805946409574,1003.679427987784,1289.0928032924614,27.9868133609061,18.59365861110684,60.55734339442467,1.3584703847337884,0.6896706512362893,22.325956713889877,75.913,26580761.59734615,1434378.1635619244,6.500398714002284,20223114.711370844,11.10515581060098
2017-8,0.366903937105431,-5783.316459502323,2.20699398468004,0.5839846844524282,0.4715205842663207,198770980.72733355,7783062.620992317,0.3781503578714068,2.168704903296258,1002.93676662006,1317.068922494916,28.55672046984177,18.45027730883859,58.24010133831127,1.387073097557322,0.6896392791437986,21.765063497103437,74.774,26579528.70876329,1434520.2319099773,6.500084967649311,20221896.09154073,11.093842391007255
