,Minas Gerais - IDH,Minas Gerais - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Minas Gerais - value,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Minas Gerais - Produção de Cimento (t),Minas Gerais - Desemprego,Minas Gerais - PIB - Estadual,Minas Gerais - PIB - Construção Civil,Minas Gerais - PIB - Per Capita,Minas Gerais - PIB - Preços de Mercado
2008-11,0.7668366544627675,476.676,0.4104528122004031,-7476.287871104045,2.5386157863332808,1.062701899829496,0.4176314374021105,188556869.1890356,7691773.884319011,0.5233099682890817,0.4234964175288942,2.119561767490627,887.9891275522875,1073.0825292405898,19.10702192677929,15.206426165871202,80.4534083612853,2.455120214046803,1041.3929300455302,8.02617021909173,313343817.9467134,18477650.841714934,14.357826378337776,281626726.46961737
2008-12,0.7669599522984664,421.59,0.4155686208661097,-7673.72643892393,2.504755709594416,1.101310555483456,0.4199544942195133,188698452.64270467,7696173.833505894,0.524103085853287,0.4255195860285502,2.0923823172588807,887.6601361645784,1097.7085602337531,19.67581861325508,15.895518309151257,80.94570806433448,2.326771267933953,1046.1175053867016,8.028623892778326,313502563.24839514,18494306.63933212,14.358528164270687,281633410.2058187
2009-1,0.7670832501341653,436.293,0.4265478197554145,-8468.75016667358,2.46038988184506,0.7501827891642874,0.4453642148556728,188840036.09637383,7700573.782692777,0.5263722830788128,0.4275982922637763,1.9065159621600691,887.7520938659085,1139.4643068300743,19.64696491155059,16.08194455621011,81.78168882973708,2.3237000471360565,1051.063984776725,8.031077566464921,313661308.5500769,18510962.43694929,14.359229950203602,281640093.94202006
2009-2,0.7671982897553764,396.914,0.4330860958676656,-8362.130172448553,2.419211323171128,0.8379855344167224,0.4617677479747263,188999683.0050093,7704524.6839363,0.5227829360821162,0.4305496286142321,1.7888336066200508,888.0189645131416,1140.8387723870244,19.32707460477986,15.796242156974412,81.83791420991237,2.2561077925071418,1057.6893541939205,8.028063289336776,314324636.73640686,18512890.642456666,14.36431580360215,281793594.1399811
2009-3,0.7673133293765875,483.839,0.4381030668091561,-8556.283355305572,2.384914975903917,0.7389127280648995,0.4744121661088831,189159329.91364485,7708475.585179822,0.5234789989371754,0.433239989056539,1.5814135663225228,888.4778357796582,1104.4789313549013,18.5290676744262,15.005569611485756,81.77742411572532,2.244107435235036,1066.103176528074,8.025049012208632,314987964.9227368,18514818.847964037,14.369401657000695,281947094.3379422
2009-4,0.7674283689977985,478.991,0.45007711682254,-8805.162211693303,2.3630365952461503,0.72952096312357,0.4999622144350261,189318976.8222804,7712426.486423344,0.5478423802413089,0.4364452782421297,1.3449423309162982,889.1787513928723,1082.9176941163607,17.798233822949875,14.19673285436918,81.33326066377346,2.2242621845743145,1072.8023834223045,8.022034735080485,315651293.1090668,18516747.0534714,14.374487510399245,282100594.5359032
2009-5,0.7675434086190096,515.822,0.450431778065969,-8667.302626906909,2.3525692667827225,0.7956723216115966,0.4981088282193594,189478623.73091587,7716377.387666867,0.6069054336378797,0.4399192843713592,1.1626112993466748,889.7399904865861,1069.4165113679069,17.277746893241936,13.44886850986656,80.23151388532806,2.2546789288460323,1082.0387468945924,8.01902045795234,316314621.29539675,18518675.258978773,14.379573363797792,282254094.73386425
2009-6,0.7676584482402207,513.686,0.4443889715056729,-8866.763268778828,2.338774353162325,0.7718384341547616,0.4904351794060748,189638270.6395514,7720328.288910389,0.5851435517618442,0.4433481167831031,1.291969523984904,889.9560145503808,1064.5625298695525,17.335058756263404,13.30762887978817,79.36655705452469,2.27752076040699,1088.161418922615,8.016006180824196,316977949.4817267,18520603.46448614,14.38465921719634,282407594.93182534
2009-7,0.7677734878614317,576.387,0.4406435988198508,-9104.309037125651,2.304832376935664,0.932626674231297,0.4945814397751699,189797917.5481869,7724279.190153912,0.5788217871313215,0.4464803644930593,1.3286236218327765,889.6508119784564,1054.1501049647509,17.73309204445213,13.763781355905106,79.69554097153697,2.3292974207874173,1096.4560451901414,8.01299190369605,317641277.66805667,18522531.669993512,14.389745070594888,282561095.1297864
2009-8,0.7678885274826428,557.411,0.4435740975951859,-9151.584889714371,2.2790124389025963,0.9077579231188913,0.519129981023956,189957564.45682243,7728230.091397434,0.5750680318928113,0.4495276406537494,1.5100586114442212,889.0703671005137,1101.2410067078692,18.377867617313942,14.380603696882332,79.59054926947144,2.3521766558723365,1103.255435059548,8.009977626567906,318304605.8543866,18524459.87550088,14.394830923993434,282714595.3277474
