Ano, NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%)
2007,-8434.701866226666,3.6759356899541427
2007,-8141.0511751828235,3.6385200341821604
2007,-8026.170619784551,3.601931188268772
2007,-7955.022260278307,3.560009340555952
2007,-7983.790257906689,3.5118118337828608
2007,-7895.376088335307,3.4696074818411153
2007,-7988.122113095049,3.4226070580234054
2007,-8017.515428278837,3.3732677481944013
2007,-7877.11519891132,3.3132900029546954
2008,-8333.785630800456,3.2555579562369243
2008,-7957.479510093275,3.199376609861489
2008,-7892.607761543437,3.141468520965748
2008,-8007.976541076512,3.0675634134381013
2008,-7622.164669581103,2.9835085870162175
2008,-7526.222983080984,2.8968331481222203
2008,-7372.476799457021,2.8193033709764
2008,-7330.909560613458,2.746140251198851
2008,-7785.307445305803,2.665912474404139
2008,-7703.954458964581,2.598260780235978
2008,-7476.287871104045,2.5386157863332808
2008,-7673.72643892393,2.504755709594416
2009,-8468.75016667358,2.4603898818450602
2009,-8362.130172448553,2.419211323171128
2009,-8556.283355305572,2.3849149759039174
2009,-8805.162211693303,2.3630365952461503
2009,-8667.302626906909,2.3525692667827225
2009,-8866.763268778828,2.3387743531623255
2009,-9104.309037125651,2.3048323769356633
2009,-9151.584889714371,2.2790124389025963
2009,-9303.102943424732,2.2481389818642237
2009,-9568.345532304107,2.217904930844287
2009,-9497.345398002253,2.177604887432468
2009,-9190.300907588446,2.124224012723041
2010,-9688.588371030834,2.0799573598611705
2010,-9576.958631035537,2.030863470139216
2010,-9737.230041667011,1.9872203448387618
2010,-10059.393149424637,1.938766300428007
2010,-9786.943488370514,1.900423502203311
2010,-9905.786117325402,1.8856666637377417
2010,-10012.607609861001,1.8938061232400991
2010,-10127.16701415496,1.9055306692046645
2010,-10250.239819329277,1.9300080246741707
2010,-9855.109255533838,1.9496834440674367
2010,-9697.432210565863,1.9809369678190991
2010,-10050.732911371206,2.016086379686157
2011,-10517.124472033394,2.035093128055376
2011,-10136.637212959105,2.0617197249168107
2011,-10178.562458683811,2.079526018829988
2011,-10225.7655016099,2.095742570726438
2011,-9993.389038138808,2.1045733049199136
2011,-9975.112230204764,2.095226448555367
2011,-9903.241596764477,2.0859703688695106
2011,-9768.231853083638,2.087218082990609
2011,-9679.164240091173,2.0753447287883238
2011,-9537.77691961498,2.077328519541877
2011,-9968.453886702957,2.074663694821419
2011,-9986.589161982563,2.076644486808949
2012,-10404.150759011012,2.0905714352596823
2012,-9928.241624071832,2.1011962123086314
2012,-9880.218215766452,2.117529533577395
2012,-10098.092464217463,2.1289644149802243
2012,-9610.545103294866,2.157948049971086
2012,-9553.334932170872,2.190346510129612
2012,-9513.302050841186,2.214523649851895
2012,-9248.591121065274,2.219844415701115
2012,-8953.98283753283,2.2352385737928797
2012,-8835.504327700251,2.2363657278565263
2012,-8581.940757744464,2.249359243852222
2012,-8544.01174850321,2.257490310710041
2013,-8401.94723497529,2.2677230439962424
2013,-7683.858924014924,2.2834910014644234
2013,-7874.3575303630005,2.30250674180213
