,Paraná - PIB - Estadual,Paraná - PIB - Construção Civil,Paraná - PIB - Per Capita,Paraná - PIB - Preços de Mercado
2009-11,220943626.337168,11375040.920130054,17.86965389258752,189150608.87735
2009-12,221405387.6002366,11379406.254199907,17.87782674799522,189271011.41362745
2010-1,221867148.86330518,11383771.58826976,17.885999603402915,189391413.94990486
2010-2,222299563.35699505,11383926.40782357,17.892773086432282,189495159.4358336
2010-3,222731977.85068494,11384081.22737738,17.89954656946165,189598904.92176232
2010-4,223164392.34437484,11384236.046931189,17.906320052491015,189702650.40769106
2010-5,223596806.8380647,11384390.866484998,17.91309353552038,189806395.8936198
2010-6,224029221.33175457,11384545.686038807,17.91986701854975,189910141.37954852
2010-7,224461635.82544446,11384700.505592618,17.926640501579115,190013886.86547726
2010-8,224894050.31913435,11384855.325146427,17.933413984608485,190117632.351406
2010-9,225326464.81282422,11385010.144700237,17.940187467637852,190221377.83733472
2010-10,225758879.30651408,11385164.964254046,17.94696095066722,190325123.32326347
2010-11,226191293.80020398,11385319.783807855,17.953734433696585,190428868.8091922
2010-12,226623708.29389387,11385474.603361664,17.960507916725952,190532614.29512092
2011-1,227056122.78758374,11385629.422915474,17.96728139975532,190636359.78104967
2011-2,227444572.4561097,11381755.771910356,17.970977590376542,190717421.561734
2011-3,227833022.1246357,11377882.12090524,17.97467378099776,190798483.3424183
2011-4,228221471.79316166,11374008.469900124,17.978369971618985,190879545.12310266
2011-5,228609921.46168762,11370134.818895007,17.98206616224021,190960606.903787
2011-6,228998371.13021362,11366261.16788989,17.985762352861432,191041668.6844713
2011-7,229386820.79873958,11362387.516884774,17.989458543482655,191122730.46515566
2011-8,229775270.46726555,11358513.865879657,17.993154734103875,191203792.24583998
2011-9,230163720.13579154,11354640.21487454,17.9968509247251,191284854.0265243
2011-10,230552169.8043175,11350766.563869422,18.000547115346322,191365915.80720863
2011-11,230940619.47284347,11346892.912864305,18.00424330596754,191446977.58789295
2011-12,231329069.14136946,11343019.26185919,18.007939496588765,191528039.3685773
2012-1,231717518.80989543,11339145.610854072,18.01163568720999,191609101.14926162
2012-2,232059968.6486878,11329835.036728228,18.014034395966966,191674318.25002494
2012-3,232402418.4874802,11320524.46260238,18.016433104723948,191739535.35078824
2012-4,232744868.32627258,11311213.888476536,18.01883181348093,191804752.45155156
