,Sergipe - PIB - Estadual,Sergipe - PIB - Construção Civil,Sergipe - PIB - Per Capita,Sergipe - PIB - Preços de Mercado
2010-7,23597845.62818268,1312328.4492764636,9.96642303579613,20543283.36784943
2010-8,23634585.183279313,1311700.8946717966,9.96550385216754,20546381.615915038
2010-9,23671324.73837595,1311073.3400671296,9.96458466853895,20549479.863980643
2010-10,23708064.293472588,1310445.7854624626,9.963665484910361,20552578.112046253
2010-11,23744803.84856922,1309818.2308577956,9.962746301281772,20555676.360111862
2010-12,23781543.40366586,1309190.6762531286,9.961827117653185,20558774.60817747
2011-1,23818282.958762497,1308563.1216484616,9.960907934024595,20561872.856243078
2011-2,23850277.72860078,1307651.1012287901,9.958903544991482,20563337.071732983
2011-3,23882272.498439062,1306739.0808091187,9.956899155958371,20564801.287222892
2011-4,23914267.268277347,1305827.060389447,9.954894766925259,20566265.502712797
2011-5,23946262.038115628,1304915.0399697756,9.952890377892146,20567729.718202703
2011-6,23978256.807953913,1304003.0195501042,9.950885988859035,20569193.933692608
2011-7,24010251.577792197,1303090.9991304325,9.948881599825922,20570658.149182513
2011-8,24042246.34763048,1302178.978710761,9.94687721079281,20572122.364672422
2011-9,24074241.117468763,1301266.9582910896,9.944872821759699,20573586.580162328
2011-10,24106235.887307044,1300354.9378714182,9.942868432726586,20575050.795652233
2011-11,24138230.65714533,1299442.9174517468,9.940864043693473,20576515.011142142
2011-12,24170225.42698361,1298530.897032075,9.938859654660362,20577979.226632047
2012-1,24202220.196821894,1297618.8766124037,9.93685526562725,20579443.442121953
2012-2,24226328.486168772,1295787.5457394451,9.933443363437583,20577268.64367179
2012-3,24250436.775515653,1293956.2148664864,9.930031461247918,20575093.84522162
2012-4,24274545.06486253,1292124.8839935279,9.92661955905825,20572919.046771456
2012-5,24298653.35420941,1290293.5531205693,9.923207656868584,20570744.248321287
2012-6,24322761.643556286,1288462.2222476108,9.919795754678917,20568569.449871123
2012-7,24346869.932903163,1286630.8913746523,9.91638385248925,20566394.65142096
2012-8,24370978.222250044,1284799.5605016935,9.912971950299585,20564219.85297079
2012-9,24395086.51159692,1282968.229628735,9.909560048109919,20562045.054520626
2012-10,24419194.8009438,1281136.8987557765,9.906148145920252,20559870.256070457
2012-11,24443303.09029068,1279305.5678828177,9.902736243730587,20557695.457620293
2012-12,24467411.379637558,1277474.2370098592,9.89932434154092,20555520.659170125
2013-1,24491519.668984435,1275642.9061369007,9.895912439351253,20553345.86071996
2013-2,24509385.90823745,1273897.797839503,9.8930826356373,20549768.307585113
2013-3,24527252.147490468,1272152.6895421054,9.890252831923346,20546190.754450265
2013-4,24545118.386743482,1270407.5812447076,9.887423028209394,20542613.201315418
2013-5,24562984.6259965,1268662.47294731,9.88459322449544,20539035.64818057
2013-6,24580850.865249515,1266917.3646499123,9.881763420781487,20535458.095045723
2013-7,24598717.10450253,1265172.2563525147,9.878933617067535,20531880.541910876
2013-8,24616583.343755547,1263427.148055117,9.87610381335358,20528302.98877603
2013-9,24634449.58300856,1261682.0397577195,9.873274009639628,20524725.43564118
2013-10,24652315.82226158,1259936.9314603219,9.870444205925674,20521147.882506333
2013-11,24670182.061514594,1258191.823162924,9.867614402211721,20517570.329371486
2013-12,24688048.30076761,1256446.7148655264,9.864784598497767,20513992.77623664
2014-1,24705914.540020626,1254701.6065681288,9.861954794783815,20510415.22310179
2014-2,24717178.976352293,1253369.4420503022,9.859317488584022,20506251.085531205
2014-3,24728443.412683964,1252037.2775324755,9.85668018238423,20502086.947960623
2014-4,24739707.84901563,1250705.113014649,9.854042876184437,20497922.810390037
2014-5,24750972.2853473,1249372.9484968223,9.851405569984644,20493758.672819454
2014-6,24762236.72167897,1248040.7839789956,9.848768263784851,20489594.53524887
2014-7,24773501.15801064,1246708.619461169,9.846130957585059,20485430.397678286
2014-8,24784765.594342306,1245376.4549433421,9.843493651385266,20481266.2601077
2014-9,24796030.030673973,1244044.2904255155,9.840856345185474,20477102.122537114
2014-10,24807294.467005644,1242712.1259076889,9.838219038985681,20472937.98496653
2014-11,24818558.90333731,1241379.9613898622,9.835581732785888,20468773.847395945
2014-12,24829823.33966898,1240047.7968720356,9.832944426586096,20464609.709825363
2015-1,24841087.77600065,1238715.632354209,9.830307120386303,20460445.572254777
2015-2,24848181.64605493,1237360.760831351,9.828949388780746,20458072.266983148
2015-3,24855275.516109213,1236005.8893084927,9.827591657175189,20455698.96171152
2015-4,24862369.386163495,1234651.0177856346,9.826233925569632,20453325.656439885
2015-5,24869463.256217778,1233296.1462627766,9.824876193964077,20450952.351168256
2015-6,24876557.12627206,1231941.2747399183,9.82351846235852,20448579.045896627
2015-7,24883650.996326342,1230586.4032170603,9.822160730752962,20446205.740624998
2015-8,24890744.86638062,1229231.5316942022,9.820802999147405,20443832.43535337
2015-9,24897838.736434903,1227876.660171344,9.819445267541848,20441459.13008174
2015-10,24904932.606489185,1226521.788648486,9.818087535936293,20439085.82481011
2015-11,24912026.476543467,1225166.9171256279,9.816729804330736,20436712.519538477
2015-12,24919120.34659775,1223812.0456027696,9.815372072725179,20434339.214266848
2016-1,24926214.216652032,1222457.1740799116,9.814014341119622,20431965.90899522
2016-2,24930324.93683337,1221067.8294910258,9.814690277801809,20433062.77910971
2016-3,24934435.65701471,1219678.48490214,9.815366214483994,20434159.6492242
2016-4,24938546.377196047,1218289.1403132542,9.816042151166181,20435256.51933869
2016-5,24942657.097377386,1216899.7957243687,9.816718087848368,20436353.389453176
2016-6,24946767.817558724,1215510.4511354829,9.817394024530556,20437450.259567667
2016-7,24950878.53774006,1214121.106546597,9.818069961212743,20438547.129682157
2016-8,24954989.257921398,1212731.7619577113,9.818745897894928,20439643.999796648
2016-9,24959099.978102736,1211342.4173688255,9.819421834577115,20440740.869911138
2016-10,24963210.698284075,1209953.07277994,9.820097771259302,20441837.740025625
2016-11,24967321.418465413,1208563.7281910542,9.820773707941488,20442934.610140115
2016-12,24971432.13864675,1207174.3836021684,9.821449644623675,20444031.480254605
2017-1,24975542.85882809,1205785.0390132826,9.822125581305862,20445128.350369096
2017-2,24972137.646478392,1205129.395527482,9.82270760404682,20444840.03935905
2017-3,24968732.434128694,1204473.7520416812,9.82328962678778,20444551.728349008
2017-4,24965327.221778993,1203818.1085558804,9.823871649528737,20444263.41733896
2017-5,24961922.009429295,1203162.4650700798,9.824453672269696,20443975.106328916
2017-6,24958516.797079597,1202506.8215842792,9.825035695010655,20443686.79531887
2017-7,24955111.584729895,1201851.1780984784,9.825617717751612,20443398.484308828
2017-8,24951706.372380197,1201195.5346126775,9.826199740492571,20443110.173298784
2017-9,24948301.1600305,1200539.891126877,9.82678176323353,20442821.86228874
2017-10,24944895.9476808,1199884.2476410763,9.82736378597449,20442533.551278695
2017-11,24941490.735331103,1199228.6041552755,9.827945808715448,20442245.240268648
2017-12,24938085.5229814,1198572.9606694747,9.828527831456405,20441956.929258604
2018-1,24934680.310631704,1197917.317183674,9.829109854197364,20441668.61824856
2018-2,24925066.464524213,1198179.432968067,9.829771586713841,20441947.79285605
2018-3,24915452.61841672,1198441.5487524602,9.83043331923032,20442226.967463534
2018-4,24905838.77230923,1198703.6645368533,9.831095051746797,20442506.142071024
2018-5,24896224.926201735,1198965.7803212462,9.831756784263275,20442785.316678513
2018-6,24886611.080094244,1199227.8961056392,9.832418516779752,20443064.491286
2018-7,24876997.23398675,1199490.0118900323,9.83308024929623,20443343.665893488
2018-8,24867383.38787926,1199752.1276744255,9.833741981812707,20443622.840500977
2018-9,24857769.54177177,1200014.2434588184,9.834403714329184,20443902.015108462
2018-10,24848155.695664275,1200276.3592432113,9.835065446845663,20444181.18971595
2018-11,24838541.849556785,1200538.4750276045,9.83572717936214,20444460.36432344
2018-12,24828928.00344929,1200800.5908119977,9.836388911878618,20444739.538930926
2019-1,24819314.1573418,1201062.7065963906,9.837050644395095,20445018.713538416
2019-2,24797304.219963375,1202038.6518809127,9.83713404611501,20442804.756528415
2019-3,24775294.28258495,1203014.597165435,9.837217447834922,20440590.799518414
2019-4,24753284.345206525,1203990.5424499572,9.837300849554836,20438376.842508413
2019-5,24731274.4078281,1204966.4877344794,9.83738425127475,20436162.885498412
2019-6,24709264.470449675,1205942.4330190017,9.837467652994663,20433948.92848841
2019-7,24687254.53307125,1206918.3783035239,9.837551054714577,20431734.97147841
2019-8,24665244.595692825,1207894.323588046,9.837634456434492,20429521.01446841
2019-9,24643234.6583144,1208870.2688725684,9.837717858154404,20427307.05745841
2019-10,24621224.720935974,1209846.2141570905,9.837801259874318,20425093.100448407
2019-11,24599214.78355755,1210822.1594416127,9.837884661594233,20422879.143438406
2019-12,24577204.846179124,1211798.104726135,9.837968063314145,20420665.186428405
