,Mato Grosso - PIB - Estadual,Mato Grosso - PIB - Construção Civil,Mato Grosso - PIB - Per Capita,Mato Grosso - PIB - Preços de Mercado
2005-11,63402740.88203493,2730704.408757241,16.930809374428957,51860197.296840616
2005-12,63474347.79324939,2732897.8039582847,16.93407049657344,51878777.95605652
2006-1,63545954.70446385,2735091.1991593284,16.937331618717923,51897358.615272425
2006-2,63627781.02050937,2737794.2592700636,16.947348195741647,51933667.67440438
2006-3,63709607.3365549,2740497.319380799,16.95736477276537,51969976.73353635
2006-4,63791433.65260042,2743200.379491534,16.967381349789093,52006285.792668305
2006-5,63873259.968645945,2745903.4396022693,16.977397926812817,52042594.85180026
2006-6,63955086.28469147,2748606.4997130046,16.98741450383654,52078903.91093223
2006-7,64036912.60073699,2751309.5598237403,16.997431080860267,52115212.970064186
2006-8,64118738.91678252,2754012.6199344755,17.00744765788399,52151522.02919614
2006-9,64200565.23282804,2756715.6800452108,17.017464234907713,52187831.08832811
2006-10,64282391.548873566,2759418.740155946,17.027480811931436,52224140.147460066
2006-11,64364217.864919096,2762121.8002666812,17.03749738895516,52260449.20659202
2006-12,64446044.18096462,2764824.8603774165,17.047513965978883,52296758.26572399
2007-1,64527870.49701014,2767527.9204881517,17.057530543002606,52333067.324855946
2007-2,64596882.94204144,2769696.674793095,17.063394883989893,52356076.78743855
2007-3,64665895.387072735,2771865.4290980375,17.06925922497718,52379086.25002116
2007-4,64734907.832104035,2774034.1834029807,17.075123565964464,52402095.71260376
2007-5,64803920.27713533,2776202.937707924,17.08098790695175,52425105.17518637
2007-6,64872932.72216663,2778371.6920128665,17.08685224793904,52448114.63776898
2007-7,64941945.16719793,2780540.4463178096,17.092716588926322,52471124.10035159
2007-8,65010957.61222922,2782709.200622753,17.09858092991361,52494133.56293419
2007-9,65079970.05726052,2784877.9549276954,17.104445270900897,52517143.02551679
2007-10,65148982.50229181,2787046.7092326386,17.110309611888184,52540152.4880994
2007-11,65217994.94732311,2789215.4635375817,17.11617395287547,52563161.95068201
2007-12,65287007.39235441,2791384.2178425244,17.122038293862754,52586171.41326462
2008-1,65356019.83738571,2793552.9721474675,17.12790263485004,52609180.87584722
2008-2,65404657.683555245,2795351.2928554965,17.128215473554977,52614381.134255685
2008-3,65453295.529724784,2797149.6135635255,17.12852831225991,52619581.39266414
2008-4,65501933.37589432,2798947.9342715545,17.128841150964845,52624781.65107261
2008-5,65550571.22206386,2800746.254979584,17.129153989669778,52629981.90948107
2008-6,65599209.0682334,2802544.575687613,17.129466828374714,52635182.16788953
2008-7,65647846.91440295,2804342.896395642,17.129779667079646,52640382.42629799
2008-8,65696484.760572486,2806141.217103671,17.13009250578458,52645582.68470646
2008-9,65745122.606742024,2807939.5378117,17.130405344489517,52650782.943114914
2008-10,65793760.45291156,2809737.858519729,17.13071818319445,52655983.20152338
2008-11,65842398.2990811,2811536.179227758,17.131031021899386,52661183.45993184
